,abs_vo1000_cluster1,abs_vo1000_cluster2,abs_vo1000_cluster3,abs_vo1000_cluster4,abs_vo1000_cluster5,abs_vo1000_cluster6,abs_vo1000_cluster7,abs_vo1000_cluster8
1965-01-01,7.502428e-05,2.8428734e-05,1.20003915e-05,5.748392e-05,1.0863365e-05,0.00011550073,8.6911e-05,6.607102e-05
1965-02-01,7.338213e-05,2.8859464e-05,9.999299e-06,5.1642157e-05,1.6696158e-05,0.000111678004,8.696484e-05,3.227673e-05
1965-03-01,7.5114025e-05,2.5548234e-05,1.42796725e-05,5.3553515e-05,8.369249e-05,0.00010217504,8.995303e-05,2.7897651e-05
1965-04-01,7.798555e-05,2.3143333e-05,1.153377e-05,5.0412782e-05,9.228912e-05,0.00010529783,8.980048e-05,1.9848398e-05
1965-05-01,7.4458956e-05,3.3714143e-05,7.58542e-06,5.373299e-05,8.128758e-05,0.000109721776,9.0078654e-05,1.0515934e-05
1965-06-01,7.5742166e-05,3.144384e-05,-1.2804217e-06,5.480084e-05,9.452354e-05,0.000108456516,8.849034e-05,7.231625e-06
1965-07-01,7.1784845e-05,3.0519568e-05,2.7666406e-06,5.9529884e-05,9.3751805e-05,0.00010670668,9.482565e-05,7.3123883e-06
1965-08-01,7.056445e-05,3.3938482e-05,4.1306134e-06,5.9772166e-05,8.593587e-05,0.00011159725,9.909705e-05,1.0129734e-06
1965-09-01,7.278091e-05,3.567037e-05,5.934294e-06,5.5114913e-05,7.949288e-05,0.00011034095,9.670112e-05,4.683141e-06
1965-10-01,6.953249e-05,4.5451514e-05,1.5329571e-05,5.611995e-05,3.529827e-05,0.000110879366,9.4502604e-05,3.0185904e-05
1965-11-01,6.773778e-05,3.294242e-05,1.42796725e-05,5.9332466e-05,-5.371012e-05,0.000108635984,8.5735475e-05,4.345774e-05
1965-12-01,7.367826e-05,4.198773e-05,1.6253844e-05,5.3840668e-05,-5.4607463e-05,0.000100873884,9.025813e-05,5.2215903e-05
