,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8
1967-03-01,28.876495,11.181854,21.986664,27.90091,27.210266,25.532501,27.09607,18.176392
1967-04-01,29.670807,13.9313965,23.997955,29.384338,28.575012,26.246674,29.025238,20.598358
1967-05-01,29.764465,19.454987,27.285889,30.091492,29.82306,28.255463,29.76648,25.002625
1967-06-01,29.034271,24.819305,29.987335,29.059814,28.42978,29.22757,29.651276,28.497375
1967-07-01,28.441772,26.817596,32.251556,27.495728,25.671234,29.135925,28.973175,30.886322
1967-08-01,28.016571,27.43161,33.366882,26.742981,24.527344,27.808746,28.241943,32.79596
1967-09-01,28.27951,25.963196,33.012817,27.238312,25.402283,27.919922,28.783356,32.043213
1967-10-01,27.989532,22.324707,31.451752,27.866852,27.503235,28.291534,29.068817,29.399872
1967-11-01,28.069672,19.55014,28.774323,27.81076,27.265839,26.987396,28.157318,25.791931
1967-12-01,28.210907,16.20514,24.514832,27.24231,26.022797,25.628143,27.338959,20.486694
1968-01-01,27.994507,13.276367,21.48938,26.868286,25.424011,24.041077,26.262878,17.137787
1968-02-01,28.107758,11.847931,20.102478,27.022583,25.474945,23.403534,26.367218,16.448303
1968-03-01,28.645905,11.614471,21.985962,27.510284,26.488892,24.458527,28.04544,18.187866
1968-04-01,29.553009,13.691345,24.245361,29.164246,28.579132,26.476532,29.330444,22.273834
1968-05-01,29.174133,20.78061,28.047913,30.013,29.692505,28.240326,30.095123,26.220825
1968-06-01,29.114807,24.016357,30.309265,28.925354,28.446075,29.117767,29.905182,28.161682
1968-07-01,29.019836,25.924072,31.979095,27.546387,26.414215,29.164246,29.248352,30.057037
1968-08-01,28.693878,27.54242,32.57065,27.215973,25.486816,27.16159,28.470306,31.562134
1968-09-01,28.507416,25.87857,32.49646,27.194702,25.496704,27.490479,29.235962,31.42215
1968-10-01,28.653809,22.82779,31.434021,28.225494,27.301544,28.156738,29.137543,28.75473
1968-11-01,28.044952,19.372437,28.606842,28.316498,27.307983,27.111633,27.889648,24.849762
1968-12-01,28.154266,15.558014,25.405212,27.846619,26.74411,26.236664,26.913269,22.270874
1969-01-01,28.683594,13.979462,22.875153,27.512482,26.208038,24.400085,26.090607,18.926483
1969-02-01,28.86972,11.589539,21.224121,27.421722,25.832703,23.646332,26.697723,17.540497
1969-03-01,29.494751,10.829651,23.385345,28.482086,27.08075,25.596832,27.906769,19.370514
