,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7,vo500_cluster8
1965-01-01,-2.7783099e-06,-9.60716e-06,-1.9280618e-05,7.4963755e-06,-4.644804e-06,-8.979019e-06,-1.2335113e-05,1.3808312e-07
1965-02-01,1.4661637e-06,-1.1599288e-05,-2.1290689e-05,-1.6207268e-06,-5.1832176e-06,6.2670006e-06,-2.0061321e-05,-1.4861216e-06
1965-03-01,6.585469e-07,-1.827559e-05,-2.5589012e-05,7.3169067e-06,-5.488313e-06,-2.042485e-06,-6.142926e-05,-5.0800736e-07
1965-04-01,4.701069e-07,-9.248222e-06,-1.4461839e-05,-9.275143e-06,7.2630646e-06,4.624846e-06,-6.826709e-05,-3.3705655e-06
1965-05-01,4.230009e-06,7.7520235e-07,-1.4861216e-06,-1.4928461e-05,-3.729503e-06,-2.0693988e-06,-8.136844e-05,-1.3079916e-05
1965-06-01,2.596833e-06,4.7907815e-07,9.008363e-07,-1.3160679e-05,-9.60716e-06,-1.6211678e-05,-6.614933e-05,-8.602125e-06
1965-07-01,-3.119305e-06,-2.4373148e-06,-1.8719875e-06,-8.490024e-07,-1.5341247e-05,-2.1532978e-05,-5.5183693e-05,-6.475406e-06
1965-08-01,9.955118e-06,1.7353741e-06,-1.361833e-05,-1.1850541e-05,-1.1105738e-05,-1.5888632e-05,-6.3161155e-05,-4.2589454e-06
1965-09-01,4.014648e-06,6.0516395e-06,-1.8719875e-06,-1.8796054e-05,-5.4434495e-06,-3.5948979e-06,-7.006179e-05,-2.4373148e-06
1965-10-01,4.0595114e-06,2.2019958e-06,-1.22992205e-05,3.1621603e-06,-1.046421e-06,-2.3363573e-05,-6.533275e-05,-1.1271841e-06
1965-11-01,1.2059318e-06,-5.3178155e-06,-1.358243e-05,7.1284594e-06,-5.910071e-06,-1.4183657e-05,-4.3975764e-05,-3.7833452e-06
1965-12-01,-2.6437046e-06,-9.750736e-06,-1.295429e-05,2.5160698e-06,5.540147e-06,-1.2577402e-05,-4.3724496e-05,-1.7912243e-06
1966-01-01,-4.9312002e-06,-1.1033157e-05,-1.6198228e-05,1.4572244e-05,-1.3281675e-05,1.2522214e-06,-8.704282e-05,-1.5991609e-06
1966-02-01,-3.920999e-06,-6.8864356e-06,-1.545687e-05,2.0098742e-06,-1.6792947e-05,-2.0716725e-06,-5.322545e-05,4.2939428e-07
1966-03-01,1.3825702e-06,-1.22551755e-05,-6.3080115e-06,2.8408467e-06,-6.234688e-06,-3.2529606e-06,-7.033373e-05,-1.2532168e-05
1966-04-01,1.5210644e-06,-8.206214e-06,-6.7560904e-08,1.3499848e-06,-1.2385524e-05,-5.9495505e-06,-4.6569505e-05,-1.1725635e-05
1966-05-01,4.087309e-06,3.7125574e-06,1.5943879e-06,-1.3126886e-05,-2.120556e-06,-2.4850131e-05,-2.7424525e-05,-8.418032e-06
1966-06-01,1.4151592e-06,-7.5300304e-06,7.517112e-06,-1.2230736e-05,-1.5318376e-05,-9.9088975e-06,-6.0940467e-05,-2.9026487e-06
1966-07-01,9.915238e-07,-4.0757877e-06,-2.7234164e-06,-7.1308386e-06,-1.5269492e-05,-3.6847414e-06,-5.9058555e-05,-5.4363045e-06
1966-08-01,-1.4088073e-07,-1.4932521e-06,-7.6196447e-06,-8.637995e-06,-1.434076e-05,-1.9668769e-05,-6.72298e-05,-4.2876054e-06
1966-09-01,2.3194516e-06,3.1504278e-06,-1.1497523e-05,9.589385e-07,-3.5462435e-06,-1.217371e-05,-6.0818267e-05,-3.016703e-06
1966-10-01,1.1463126e-06,2.686058e-06,-6.316157e-06,-1.3710487e-06,-3.88841e-06,-2.4622022e-05,-5.3567608e-05,-6.8049667e-06
1966-11-01,2.7756723e-06,-3.0818774e-06,-1.5179878e-05,6.4417363e-06,-4.018759e-06,-1.3954887e-06,-5.3355798e-05,-4.988229e-06
