,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5,vo1000_cluster6,vo1000_cluster7,vo1000_cluster8,vo1000_cluster9
1965-01-01,-0.001510695437900722,-2.7804789794503897e-07,0.004532875391305424,0.0018588933016872033,0.0023352591597358696,-7.051296700197743e-06,0.00752554478822276,0.001627248275326565,-0.004437059760675766
1965-02-01,-0.0015207379571317385,-6.808021543281128e-07,-0.002479036629665643,-0.00037322183743526693,-0.0016714191588107497,-4.323465286333821e-07,0.003934340929845348,0.002053490788966883,0.0032236381230177358
1965-03-01,-0.0014226527127902955,-9.79145845066626e-07,-0.0021604762878268957,0.0004589013315126067,0.004951041410095058,-3.157658992909382e-06,0.008403156243730336,0.0053979230870027095,-0.0028263122658245265
1965-04-01,-0.0013471631973516196,2.3512064895814053e-07,3.444729372859001e-05,0.005329953637556173,-0.004184006684226915,-7.024202707899794e-06,0.013002984633203596,-0.0025526192985125817,-0.0019083205188508146
1965-05-01,-0.0010289989101390045,-4.0541177519622737e-07,0.0019135033653583378,0.004137797805014998,-0.0004276887921150774,-9.784930980523243e-06,0.012719421647489071,0.0013113800378050655,0.0005441433586383937
1965-06-01,-0.0008730903573450632,-4.1195916872187556e-07,-0.004364373307907954,0.005612248423858546,-0.0007318914867937565,-8.386001380466764e-06,0.016211019828915596,-0.00012169183492005686,-0.0006924077752046287
1965-07-01,-0.0011110592216330892,9.654830616185336e-08,-0.0015484823961742222,0.006408346234820783,-0.0019002443877980113,-9.578156392527613e-06,0.02272220590384677,-0.003388951881788671,-0.001503614566900069
1965-08-01,-0.0010666721209418029,-4.6547704344550165e-08,-0.0011204450856894255,0.005798657002742402,-0.0010863455827347934,-8.35889618074297e-06,0.014101342821959406,-0.001131213502958417,0.0031653100450057536
1965-09-01,-0.0006120969070858944,-5.929121791040907e-07,-0.0021003535948693752,0.002647277324285824,0.0030746774427825585,-6.926967726288866e-06,0.011560041457414627,0.0013436846529657487,0.0010852469131350517
1965-10-01,-0.0005668526379546772,-7.056033514789332e-07,-0.0001647647877689451,0.0009855106327449903,-0.005062514537712559,-6.220134729112859e-06,-0.0003235960321035236,-0.0044065491238143295,0.004986935527995229
1965-11-01,-0.0007506946227901305,-1.6914958960818222e-07,0.007431323319906369,3.7607841818498855e-05,0.0103378486528527,-9.61997831307999e-06,0.006516920984722674,-0.0005075533408671618,-0.005813598545501009
1965-12-01,-0.0011608107646073527,-8.78013078653203e-08,0.0072051909228321165,-0.00014023472658664105,0.00875043187988922,-1.0524947149906116e-05,0.005872622568858787,0.0032469692087033764,-0.009883988968795165
1966-01-01,-0.0010904721420956776,-1.3951281493680396e-06,0.002188807411585003,-0.000714454199624015,0.00698238582117483,-2.1849505593302553e-06,0.002294715704920236,0.009386507008457556,-0.004741677548736334
1966-02-01,-0.0016063574245587613,-1.1166802328739198e-06,-0.0003195931640220806,-0.0007760067092021927,0.01024273515213281,-4.540975963415759e-06,0.0037261092074913904,0.009186095849145204,-0.0037469530070666224
1966-03-01,-0.0013072535997101418,-7.593319760567961e-08,0.003480075247352943,0.0009525187124381773,-0.0023212627638713457,-5.86649271131556e-06,0.011282267951173708,-0.0016369311197195202,0.005749774936703034
1966-04-01,-0.0012272894916047032,-6.981214542408937e-07,0.0014384866517502815,0.0021809877580381,0.00670783847454004,-6.745585778844543e-06,0.015333673218265176,0.008404817344853655,-0.0044133616029284894
1966-05-01,-0.0007363150264912596,-4.7116285090775937e-08,-0.003956325963372365,0.00414145652030129,-0.0022210566385183483,-8.75632472440323e-06,0.01433243160136044,-0.0025713690774864517,0.005141208748682402
1966-06-01,-0.0006069908219312008,-2.474220875654075e-07,-0.00490624297526665,0.004146811625105329,0.00089428031060379,-1.0704166951080693e-05,0.01679113629506901,-0.0016328576748492196,-0.0006699058303638594
1966-07-01,-0.00073656665335875,-5.740403943471302e-07,-0.0010658404789865017,0.006949435191927478,-0.0021697320335078984,-5.601274219545097e-06,0.018520701269153506,-0.0048614354454912245,0.0015582447304041125
1966-08-01,-0.000840592838358134,-3.378427569212758e-07,0.0006515056156786159,0.0052801820856984705,-0.0032068201107904315,-9.03641813102753e-06,0.020860462973359972,0.0013276900972414296,0.0005219713784754276
1966-09-01,-0.0006718194223746348,-7.33494140236657e-07,-0.003386864409549162,0.0035987988667329773,0.0002058754034806043,-5.329124217090059e-06,0.01227699249284342,-0.0008377297490369529,0.005544475061469711
1966-10-01,-0.0002726207033750446,-8.656882215780346e-07,-0.0005395570042310283,0.0011474397069832776,0.0035631728678708896,-4.855570644375551e-06,0.011428095604060218,0.0026613217414706014,-0.005543322913581505
1966-11-01,-0.0005183162405349625,2.3748777628306978e-07,0.0089262131950818,0.0007040742730168859,0.003654417014331557,-6.158042848539533e-06,0.009467159543419257,-0.002726158891164232,-0.004034535231767222
1966-12-01,-0.0010835402160106848,1.5720635609735723e-07,0.006847149052191526,0.0004129563876631437,0.004972569877281785,-8.844719062745489e-06,0.008988128683995456,-0.000771740815252997,-0.0038219033740460873
1967-01-01,-0.0015400750271510333,-2.1602856651071586e-07,0.003164370355079882,-0.0015547586372122169,0.002374355790379923,-7.437649646366069e-06,0.004743597673950717,0.004284827446099371,-0.004603437628247775
1967-02-01,-0.001356375044755017,2.327689821533273e-07,0.0013100419891998172,0.0016680040062055923,-0.002187677637266461,-7.012515217208234e-06,0.007486592221539468,0.0016300578863592818,0.0031563497032038867
1967-03-01,-0.0015297384379664436,8.498331369499796e-07,0.005523987420019694,0.002312184551556129,0.0014471916074398905,-9.692846254547992e-06,0.012732768664136529,0.0007165283022914082,0.0019252105630584992
1967-04-01,-0.00136392785255642,-3.800788617742306e-08,0.003495615237625316,0.002571344703028444,-0.0028477603336796165,-2.1990193458127868e-06,0.006125521031208336,-0.0039160848245956,0.0015105531929293647
1967-05-01,-0.0011594225118945665,-4.4749648603010934e-07,-0.0024756111088208854,0.002881841646740213,0.000560129819859867,-4.861310700875012e-06,0.010212743654847145,-0.001541228630230762,-0.0005916073405387579
1967-06-01,-0.0005936267067833494,-3.5819523259086317e-07,-0.004859289765590802,0.005507465903065167,-0.0032961033866740763,-8.361571449732759e-06,0.017286781803704798,-0.001384830193273956,0.005236053038970567
1967-07-01,-0.001351151877315715,4.912777373779579e-07,-0.0011642674508038908,0.007384624768747017,-0.002500474511180073,-1.2842925661326063e-05,0.01776079152477905,9.926589683573184e-06,0.001829767097660806
1967-08-01,-0.0010107287986708495,1.8800606956249545e-07,-0.0020713805497507565,0.006709447916364297,-0.0031397044949699193,-1.0915899897780243e-05,0.018104066839441657,-0.0014602221199311316,0.0017038461010088213
1967-09-01,-0.0004891414088585104,-5.48982224116294e-07,-0.0035110519092995673,0.0029328428354347125,-0.0008434493793174624,-4.295474699968167e-06,0.012739987869281322,-0.0005202251031732885,-0.0004961638751410646
1967-10-01,-0.0006011194879344355,-8.78524774106963e-08,0.0020455172489164397,0.0022789712602389045,-0.00024993605620693415,-9.11755150874271e-06,0.011227330105612054,-0.0007800877938279882,-8.551687074032088e-05
1967-11-01,-0.0007965462524831917,-2.058555154862631e-07,0.0073077360866591334,0.0013640144061355386,-0.003504635242279619,-8.32743217928355e-06,0.00493849438498728,-0.005079852417111397,-0.0014465873391600326
1967-12-01,-0.0013614530568399157,-5.460776615017231e-07,0.0028964872399228625,0.0008023683221836109,-0.0009108211088459939,-4.1558348100884454e-06,0.010719636338762939,0.0026494573830859736,-0.003886409103870392
1968-01-01,-0.001457226365649452,1.3863952834132123e-07,0.0055843498557806015,-0.0004274488674127497,0.002170112929889001,-8.095642616798944e-06,0.0105060993519146,0.0011269512469880283,-0.005225073982728645
1968-02-01,-0.0008325407179654576,-1.6189775956523092e-06,0.0028531463613035157,0.0001841455514295376,0.006126868538558483,1.0451740566793836e-06,0.00413174057030119,0.0024241566279670224,-0.0029535687644965947
1968-03-01,-0.0014028075383976102,5.813303272770004e-07,0.00498134468216449,0.0021983523765811697,-0.0046862780436640605,-5.252059538101906e-06,0.00745757351978682,-0.003665449912659824,0.00287734110315796
1968-04-01,-0.0013344751399320862,-6.289568108401555e-07,0.0029741197067778558,0.0022943269868846983,-0.0002456297806929797,-3.4283012539149985e-06,0.013577888603322208,0.003422651207074523,0.0001740547304507345
1968-05-01,-0.0006502787073259242,-5.858989155512135e-07,-0.005050127947470173,0.004484102828428149,-1.4850229490548372e-05,-5.681263472276397e-06,0.01629885664442554,-0.0010766227205749601,-0.0017633785319048911
1968-06-01,-0.0005263094256709641,-5.858737907339061e-07,-0.0056428969401167706,0.004725355393020436,-0.0004122004611417651,-6.392700383235314e-06,0.012652909208554775,-0.001075692125596106,0.0017950958863366395
1968-07-01,-0.0012067560116217162,8.23201995213691e-08,-0.0013464858056977391,0.005765095556853339,-0.00275442871497944,-9.90321979693266e-06,0.017421116353943944,-0.0017745449440553784,0.00148335711855907
1968-08-01,-0.0009812287316890433,-2.4846599653940374e-07,-9.767027222551405e-05,0.004925921530229971,-0.0010468444088473916,-8.233230781773641e-06,0.01470480056013912,5.8664591051638126e-05,-0.00042988103814423084
1968-09-01,-0.0005629052490500424,-5.817329733947984e-07,-0.0044480540964286774,0.0035225384635850787,0.0027182148187421262,-4.5979483281455216e-06,0.016136938938871026,0.001886290920083411,-0.0027683869120664895
1968-10-01,-0.0004662016787430427,-5.955549782000863e-07,-0.0043447609641589224,0.0007433229711750755,0.0027526453777682036,-8.987555044401002e-06,0.006295300408964977,0.006442329322453588,0.004031239586765878
1968-11-01,-0.0007836013537598774,-8.619879112927197e-07,0.004119642835576087,0.0003882081728079356,0.0019477083696983755,-7.437647388755106e-06,0.005807685374747962,0.002311558637302369,-0.0017968784959521145
1968-12-01,-0.0012777658412232995,-6.979223033752568e-07,0.008325789531227201,0.00020426166429388104,0.003791154085774906,-7.680294769902793e-06,0.00915864366106689,0.0012060492736054584,-0.005781550862593576
1969-01-01,-0.0012218106955212231,-6.343855353041842e-07,0.0032695512345526367,-0.00024120588477671845,0.0038157188100740314,-4.356555977120215e-06,0.002800118090817705,0.00486652716062963,0.0010234936780761927
1969-02-01,-0.0011679589078994468,-1.450129904268165e-06,0.0036478064430411905,0.00039437422856281046,0.004156960858381353,4.795042481909156e-06,0.0003039967850781977,0.0005423244147095829,0.0031485818908549845
1969-03-01,-0.001080092503495204,-1.2369018654002634e-06,0.001193211937788874,0.0003601223625082639,0.00425716643803753,-4.893216952196065e-07,0.006213440065039322,0.004710350549430586,-0.0007052847649902105
1969-04-01,-0.0010105290736343402,-2.2315455380839838e-07,-0.0006312591722235084,0.002253907950944267,-0.003189670678693801,-9.297855930726526e-06,0.01039681228576228,-0.0007531307346653193,-0.0032176554668694735
1969-05-01,-0.000610675730664904,-5.42340505061061e-07,-0.0020549057808239013,0.0018295995687367395,0.0017700731405057013,-8.390783000483957e-06,0.009579818288329989,0.0003085107891820371,-0.0019330333088873886
1969-06-01,-0.0003740879947145004,-8.743082905092477e-07,-0.007640258991159499,0.0035893383028451353,-0.0012234668247401714,-5.642751048136163e-06,0.013326256885193288,-0.0023248299839906394,0.00010539006325416267
1969-07-01,-0.0009750732715474442,-1.6509874752365932e-07,-0.0008488233106618281,0.0053914784075459465,-0.0010176387149840593,-7.344744762579964e-06,0.012164410145487636,-0.005206427886150777,0.007799582817824557
1969-08-01,-0.0006420218293593887,-3.514154369586523e-07,-0.003273626498412341,0.005977624823572114,-0.0033973046811297536,-7.2446768017277685e-06,0.01514079631306231,-0.000609592825639993,0.003970090256188996
1969-09-01,-0.0004722129536579208,-3.1124784632176024e-07,-0.0011855510820169002,0.003074297637795098,0.000961203477345407,-6.866746437655356e-06,0.014685807400383055,-0.002064836007775739,-0.0005761903594247997
1969-10-01,-0.00015354159283257712,-4.6665958414888033e-07,-0.0018562990589998662,0.0008575981155445334,-0.007559913501609117,-7.726172004774353e-06,0.006257674976950511,0.000888982685864903,0.004508133133640513
1969-11-01,-0.0005252729048758435,-4.877435423009926e-07,0.006640443461947143,-0.000173125704350241,0.0014983433175075334,-2.4505957395725072e-06,0.004843055648962036,-0.0016622063412796706,0.0015579254977637902
1969-12-01,-0.0011396007418322067,-2.750865233168111e-07,0.004906248796032742,0.0010870709957089275,0.0017222268070327118,-5.299762132065082e-06,0.009333366324426606,-0.0026317668016417883,-0.00977257004706189
1970-01-01,-0.0010694104275899008,-1.858050421358789e-06,0.0017953043425222859,-0.00017618968968236004,0.007469837146345526,-1.352672764027478e-06,0.0022604168407269754,0.009496397979091853,-0.005926047015236691
1970-02-01,-0.0012332680247103176,4.284691617671758e-07,0.006992570706643164,0.0004157023795414716,0.0036533230741042644,-9.382952705743156e-06,0.010364229819970205,-0.0028217866201885045,-0.002733463770709932
1970-03-01,-0.0011027331008032586,-6.503050634104173e-07,-0.003718789230333641,0.0010221260708931368,-0.001014006556943059,1.2773056472247097e-06,0.005712296115234494,-0.00039007536543067545,-0.0006428890628740191
1970-04-01,-0.0013726372950865577,-7.552768314593539e-07,-0.001121776585932821,0.001542020618217066,-0.0013802622561343014,-5.8165104140546955e-06,0.011825201363535598,0.001424186848453246,-0.0021281695808283985
1970-05-01,-0.0008811154960615871,-1.473556186831238e-07,0.0010943945198960137,0.003933758489438333,0.0036970792280044407,-9.945303922872463e-06,0.009839965787250549,-0.0019037164747714996,0.0024678536647115834
1970-06-01,-0.0008593210926240621,-4.6972647110199316e-07,-0.0014029508747626096,0.0029538503440562636,-0.0005910300387768075,-7.863320903159044e-06,0.010907131218118593,-0.0026751222321763635,-0.0012133405107306316
1970-07-01,-0.0008781598201797655,-3.671483972175673e-07,-0.004044529487146065,0.005610977677861229,-0.0011355517926858738,-8.855056824597715e-06,0.016071985010057688,-0.0014159155398374423,0.0021129420929355547
1970-08-01,-0.0007600866107774589,-2.0488049382678127e-07,-0.0028995753382332623,0.005819931175210513,-0.0038192658394109458,-8.279142848357182e-06,0.01777442521415651,-0.0010909850971074775,0.0005766127742390381
1970-09-01,-0.0006083038897486404,-7.716316147533209e-08,-0.001415105361957103,0.003868878775392659,-0.001496945696999319,-9.91467394740552e-06,0.013316153490450233,-0.0007563310646219179,0.005554287417908199
1970-10-01,-0.0003369829755683895,-5.126504650703738e-07,0.003825916792266071,0.0028501015549409203,-0.003564832150004804,-5.238974424967037e-06,0.009468037751503289,-0.0005221543688094243,0.007025792729109526
1970-11-01,-0.0006083560947445221,1.1687661192861097e-07,0.00512482802150771,0.0015588208043482155,0.00612554867984727,-7.859263411857863e-06,0.005936748857493512,0.0005928188784309896,0.002988066444231663
1970-12-01,-0.0013634727414076528,-2.7670745056845155e-07,0.006885610491735861,0.0009842062354437076,-0.004696821270044893,-7.081418763591372e-06,0.00612716976320371,0.0008748032996663824,0.0006471087544923648
1971-01-01,-0.0013679920812137425,-1.0831397683408993e-06,0.0035281802411191165,3.377313078090083e-05,0.007749607175355777,-6.930606995159364e-06,0.006053905235603452,0.007794384146109223,-0.0060564736486412585
1971-02-01,-0.001366202438172574,1.740132297720071e-07,-0.0004279045242583379,0.0017773889339878224,0.0024792498152237386,-8.402088309891262e-06,0.009293566108681262,-0.0019469880498945713,0.0015845493180677295
1971-03-01,-0.001358829225258281,-2.423872471673193e-07,0.0023888676878414117,0.0023393444280372933,-0.0016509657143615186,-5.048024722266404e-06,0.00713683184585534,-0.002722284261835739,0.0015770867321407422
1971-04-01,-0.0009420390900534888,-5.775352230011442e-07,-0.0007247559551615268,0.00044494063331512734,0.0002901775360442116,-4.4312662097620483e-07,0.0049809277697931975,-0.0007230974460981088,-6.720511009916663e-05
