,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1968-12-01,-0.360848,0.3428693,-0.55960464,0.25566554,0.024349118,-0.2242382,0.3108757,0.21673532,0.015005839
1969-01-01,-0.44879302,0.0072679045,-0.0734361,0.14081562,0.25483087,-0.20622683,-0.09054599,0.038610745,0.03497678
1969-02-01,0.059051704,-0.11961758,-0.47816744,0.1944164,0.34461972,-0.23696387,0.038307905,0.10447611,-0.11643787
1969-03-01,-0.39746344,0.024377763,-0.35188764,0.22969599,0.13778731,-0.06828804,0.021500885,-0.10250771,-0.23968938
1969-04-01,-0.39170972,0.24862285,-0.26028174,0.17639807,-0.13672742,-0.025286246,0.11522655,0.030585766,-0.061322927
1969-05-01,-0.08812332,0.07676725,0.19865604,0.22439651,-0.05238948,-0.05435785,0.12173738,-0.15656276,0.09872235
1969-06-01,-0.67394656,0.10175066,0.0036339401,0.16383064,0.11462088,-0.23423848,0.10462751,-0.20637818,0.34991926
1969-07-01,-0.07267904,0.17957775,-0.034825373,0.17321834,0.29813546,-0.15853113,0.10977562,-0.17942634,0.4206299
1969-08-01,0.1904796,0.32705566,-0.10069074,-0.058597468,-0.025589084,-0.19153953,0.20652957,-0.10826144,0.3359891
1969-09-01,0.31085426,0.36339515,-0.07237619,-0.0048452853,0.015595722,-0.040124893,0.09993372,-0.26800397,0.22379084
1969-10-01,-0.47317082,-0.00060563086,-0.04587865,0.19774754,-0.52934563,-0.03906498,0.11749778,-0.014990067,0.18729992
1969-11-01,-0.20713523,-0.14853776,-0.47226223,0.25316527,0.10356762,-0.017412687,0.033916853,0.3420457,-0.00075707433
1969-12-01,-0.48558682,0.29540998,-0.77433455,0.33008394,0.6241312,-0.1783665,0.1397557,0.2336328,-0.016655613
1970-01-01,-0.4518279,0.14969257,-0.16265802,0.06692295,0.04073,-0.12349963,0.17994538,-0.28445515,-0.13921538
1970-02-01,-0.5631479,0.14013214,-0.35962886,0.1990662,0.5713986,-0.052647732,0.1716946,0.2608815,0.0072030546
1970-03-01,-0.54651535,0.3794045,-0.5550281,0.10739102,0.082638666,-0.06757774,0.036408186,-0.0618153,-0.22669974
1970-04-01,-0.29624206,0.69922006,-0.3283283,0.11380825,-0.29964703,-0.09665189,0.14668038,-0.13908443,-0.029859925
1970-05-01,-0.085519984,0.23521248,-0.099533126,0.15925297,-0.037193965,-0.17025399,-0.17234945,0.581221,0.057886362
1970-06-01,-0.3685344,-0.15113321,0.17274232,0.12533316,0.37324914,-0.1917322,0.21019821,-0.31156483,0.34286535
1970-07-01,-0.028812218,0.17929058,0.09010367,0.10699811,0.13148847,-0.23848657,-0.017942142,0.045706652,0.4126695
1970-08-01,0.1322743,-0.05186205,-0.041908644,0.11839201,0.36722475,-0.1557169,0.093246795,-0.027371597,0.27502573
1970-09-01,-0.4535305,0.2980755,-0.0318244,0.061291434,0.12179713,-0.052516818,0.22552106,-0.16802761,0.24123684
1970-10-01,-0.12913103,0.35727146,-0.42170605,0.30331406,-0.50002295,-0.09180619,-0.02187109,0.019120837,0.11603465
1970-11-01,-0.46322185,-0.019120837,-0.0009167671,0.26795357,0.56576717,-0.33265013,0.088401124,0.1377748,0.05487418
