,zgv850_cluster1,zgv850_cluster2,zgv850_cluster3,zgv850_cluster4,zgv850_cluster5,zgv850_cluster6,zgv850_cluster7,zgv850_cluster8,zgv850_cluster9
1965-01-01,-0.74602735,-0.07344003,-0.12141893,0.15320864,0.023842286,-0.25461182,-0.36499268,0.19530049,-0.32201773
1965-02-01,-0.90733063,-0.23901136,-0.23768678,0.039737105,-0.03635206,-0.71938884,0.18926637,-0.31392315,0.25240427
1965-03-01,-0.7104112,0.030759454,-0.22944501,0.114354566,0.043563653,-0.061371755,-0.3577811,-0.086391404,-0.07152681
1965-04-01,-0.39501625,0.28272218,-0.18131895,-0.14202337,0.21001796,-0.16836758,-0.5218806,-0.035322,-0.63829565
1965-05-01,-0.26579708,-0.008388949,-0.11788676,0.23577352,-0.027227258,0.07770815,-0.2506382,-0.2607932,-0.17013368
1965-06-01,-0.21987867,-0.28125042,-0.12715876,0.19294572,-0.12657006,0.28596002,-0.07991572,0.39133692,-0.30891922
1965-07-01,-0.33864847,-0.16056733,-0.026491404,0.2317998,-0.21619931,0.6930446,-0.051952552,0.21546344,-0.1464386
1965-08-01,-0.2778654,-0.033702947,-0.061371755,0.11288281,-0.07756095,0.33526343,-0.21752386,0.2738917,0.2375396
1965-09-01,-0.1919155,-0.113177165,-0.10699584,-0.05254128,-0.026344229,0.29567352,-0.1643939,0.33040673,-0.09904842
1965-10-01,-0.2831637,-0.053277157,-0.15350299,0.108614765,-0.0045624017,-0.26094037,-0.068583295,1.2545152,-0.59340745
1965-11-01,-0.4300438,-0.08918772,-0.04621277,0.30494553,0.41635656,0.21325581,-0.09007077,0.22135043,-0.2566723
1965-12-01,-0.6035625,0.18087743,-0.16012582,0.20678015,0.20310077,-0.021929074,-0.088599026,-0.28522414,-0.17293
1966-01-01,-0.56289876,-0.12730685,-0.21801296,0.35501248,-0.21381764,-0.49924535,-0.026040029,-0.28238964,0.4969307
1966-02-01,-0.8095558,-0.0052080154,-0.24173832,0.1532022,0.1209415,-0.36861116,-0.02502737,0.21902561,0.11689081
1966-03-01,-0.51993275,-0.0402174,-0.13989285,0.20050827,0.071465395,-0.44658667,-0.2285736,-0.19356422,0.108500145
1966-04-01,-0.45642394,-0.14553484,-0.15580621,0.020398045,0.40709257,-0.23624101,-0.09041681,-0.31161243,-0.11095951
