,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5,r600_cluster6,r600_cluster7,r600_cluster8,r600_cluster9
1970-01-01,5.8902206,66.29893,52.02174,7.146324,23.176096,59.915817,28.000252,20.840973,34.04741
1970-02-01,23.707333,66.88974,54.484295,34.565407,23.209194,66.67791,23.64279,17.023018,27.376339
1970-03-01,27.909231,62.576965,50.289017,35.91915,20.63245,59.768528,21.699886,10.5373,31.92412
1970-04-01,18.131832,73.509514,71.01386,58.154957,11.083431,73.65184,11.593155,13.327534,16.84925
1970-05-01,61.53104,80.54798,81.46979,67.14792,18.2725,75.793335,24.046595,44.111115,21.459919
1970-06-01,56.7797,76.79623,79.14294,57.3821,10.82526,58.869892,39.442524,46.08877,17.96799
1970-07-01,57.916645,74.01262,82.20624,65.75611,21.071007,36.395775,51.07677,38.166565,15.093357
1970-08-01,61.061035,73.41187,79.66259,75.92242,27.088379,39.546783,51.44582,43.518646,17.512882
1970-09-01,58.967533,63.816517,65.99608,72.46194,23.682508,55.833073,56.632412,43.293575,17.395382
1970-10-01,37.35399,73.91001,64.59434,52.579456,24.832693,64.42388,31.346546,47.824806,22.603485
1970-11-01,33.35068,75.64108,68.08792,50.338665,16.13266,60.544693,10.572052,35.42598,23.3118
1970-12-01,11.16618,75.80657,54.67296,39.54182,17.173618,68.73831,12.390835,28.404058,26.952673
1971-01-01,20.358501,66.87161,62.608112,13.601475,13.983532,71.647354,16.123737,13.941269,27.658192
1971-02-01,22.268795,58.992077,63.22008,25.40472,15.388359,67.32468,18.627403,15.981731,23.4099
1971-03-01,18.588524,74.07494,57.31677,60.66401,14.739197,70.64994,18.987488,10.157871,27.424898
1971-04-01,23.54007,64.075485,65.186165,80.93678,18.74067,71.764,13.687691,24.10809,22.642403
1971-05-01,53.68552,68.59088,71.71666,76.70202,12.568562,79.892044,20.945114,32.559025,20.0018
1971-06-01,60.27857,83.218994,77.34442,70.93564,9.37516,59.35385,51.560528,21.822498,19.09906
1971-07-01,62.011356,77.61321,74.65987,70.955925,31.15758,48.784687,50.064415,30.849903,15.768726
1971-08-01,72.556854,79.28853,72.521355,83.41679,20.0559,39.392128,49.557255,44.139122,12.495869
