,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6,r300_cluster7,r300_cluster8,r300_cluster9,r300_cluster10
1969-07-01,24.582018,47.95472,25.918938,43.997437,74.06644,58.45957,52.814426,42.339657,26.899902,33.338844
1969-08-01,14.356251,43.357388,19.779133,38.46092,79.053154,58.38938,51.258583,32.877605,21.365055,42.0071
1969-09-01,17.969276,50.130558,30.900637,37.83925,63.59167,48.88221,65.95635,21.817936,12.688442,21.283169
1969-10-01,37.222595,35.73026,39.97498,41.16317,56.597908,54.81312,64.355385,18.8717,11.600525,25.967402
1969-11-01,42.483376,42.0188,41.1615,50.25924,23.256798,55.55511,33.591187,46.886856,16.079208,13.961861
1969-12-01,29.104149,42.775826,48.863827,27.710411,49.03763,46.154892,23.90353,49.373528,23.599382,25.380827
1970-01-01,26.830208,53.51119,67.325,31.002317,32.377575,43.65766,14.490959,36.61257,16.220371,23.59976
1970-02-01,16.09956,51.838043,53.650204,18.504192,27.396198,35.505417,13.349049,35.86123,12.577843,13.373871
1970-03-01,34.15995,49.903416,44.552986,43.64773,28.038317,77.360565,6.9675903,52.56291,16.54805,20.22699
1970-04-01,67.55669,55.427612,41.53768,23.862896,27.621271,69.120605,29.320896,28.405714,33.56417,20.989918
1970-05-01,47.824806,49.890175,38.07223,31.288624,29.35234,55.621243,54.873207,27.159542,38.782204,16.157486
1970-06-01,27.91254,40.8906,33.565826,28.033352,68.84589,54.48264,36.58444,27.141336,32.261726,28.03997
1970-07-01,19.19265,50.01264,20.776428,38.706078,66.66633,55.816525,41.01141,54.404858,18.68127,31.136368
1970-08-01,18.457855,53.3639,20.596039,57.01967,72.7681,62.413124,32.860817,53.50126,12.417316,41.408596
1970-09-01,17.804153,30.232769,24.592726,51.182686,75.51365,58.02091,38.143394,36.177322,16.961788,43.075123
1970-10-01,34.151672,48.948513,53.262947,47.859562,50.987404,47.124767,55.12145,29.555899,18.2725,12.316364
1970-11-01,45.53271,34.1103,55.15455,40.639046,33.327515,54.474365,47.809914,50.699444,21.549286,18.68127
1970-12-01,59.654335,47.358112,50.21289,41.20504,29.726357,75.229,28.574518,66.25424,33.981216,31.927431
1971-01-01,40.539993,43.13326,52.47003,28.775629,40.26782,54.289036,15.8667755,55.000748,25.730991,29.00216
1971-02-01,41.048843,40.5924,49.263103,23.584026,17.19215,41.704765,8.065002,63.46521,13.953102,13.72319
1971-03-01,50.840366,40.81893,40.40306,47.246307,46.96399,56.501934,33.718727,47.63175,40.392918,24.099636
1971-04-01,70.08023,44.362274,41.447807,47.99521,43.637035,57.857735,57.115597,37.75401,35.691566,31.164341
1971-05-01,69.569695,46.965683,36.4168,37.486908,37.256996,66.962906,37.011868,36.40159,18.372135,16.172764
1971-06-01,31.132221,41.838318,33.659554,34.115997,58.99884,60.83475,35.644234,26.75376,25.120712,30.188908
1971-07-01,21.69402,55.120773,21.484394,49.777023,64.49812,66.30867,46.881157,51.53179,21.440437,36.94256
1971-08-01,20.12183,49.961292,32.56579,45.009743,56.638866,51.7262,37.715126,45.99701,11.572842,28.550789
1971-09-01,18.74236,43.173832,16.441555,48.176098,70.61613,60.66401,54.415825,40.46054,24.086113,36.30692
1971-10-01,37.194443,44.345367,30.48813,44.19998,53.1716,69.999084,46.2303,20.459934,20.417671,21.437057
1971-11-01,61.032543,35.938385,44.661495,50.020462,45.626785,63.79993,50.361946,34.065285,24.491837,24.956732
1971-12-01,54.94665,43.319218,50.924892,53.000854,37.14711,68.73965,36.645023,53.518158,38.912018,33.111824
1972-01-01,64.32018,58.402477,46.67434,55.621597,21.646397,48.50442,31.31041,55.7825,30.86833,22.662207
1972-02-01,51.077267,58.127804,58.864063,38.347946,28.1037,62.980938,23.523615,47.81692,29.655859,21.11655
1972-03-01,41.499393,43.776436,49.118786,29.410439,29.20565,46.853123,12.811283,61.804222,17.262974,28.661177
1972-04-01,44.273773,44.602085,43.043427,50.607555,35.711716,67.78694,41.618042,30.97885,69.825066,15.793705
1972-05-01,54.1247,48.972507,33.0251,26.753078,54.48714,62.70464,62.61362,27.013126,40.820023,13.765335
1972-06-01,33.379414,41.08332,30.328732,41.6733,67.153076,65.99749,53.90691,17.566902,32.956833,15.79208
1972-07-01,30.507513,50.714825,28.412506,36.69339,68.690605,65.53265,64.708626,35.30864,62.985813,27.347937
1972-08-01,13.77346,42.46482,23.22781,27.57548,71.923325,55.366425,49.357704,57.006348,67.299355,32.09868
1972-09-01,47.10504,27.016376,39.498653,38.45034,68.48744,62.0854,51.72901,38.04239,53.95729,13.297249
1972-10-01,37.203735,51.468964,29.473825,44.775993,55.25428,51.033382,60.401592,33.86375,43.592777,12.037643
1972-11-01,39.158966,63.700943,37.454033,34.180683,39.58642,54.737434,52.58879,34.270073,42.430687,11.374523
1972-12-01,33.192505,54.119823,46.14612,24.323261,32.184822,41.75294,32.03692,43.638283,33.437923,15.522278
1973-01-01,25.574041,57.12305,55.21477,17.341507,24.260252,41.282036,24.013916,38.09445,41.20485,34.010212
1973-02-01,29.313414,51.989418,48.75421,16.628777,19.243217,44.517242,20.366508,39.025604,38.252106,31.098526
1973-03-01,56.973606,66.72685,41.80591,33.427216,15.0588,72.62576,9.69854,48.801838,26.27035,17.362858
1973-04-01,45.23654,47.941307,35.966118,30.049135,36.964596,62.202488,43.81929,36.2026,39.666077,24.378492
1973-05-01,52.620037,49.128643,38.792404,32.491142,39.5659,60.018314,61.91017,35.509575,45.99197,16.37423
1973-06-01,20.885456,47.86576,37.37844,44.57308,60.43544,64.25857,60.29421,31.187206,22.007103,20.082401
1973-07-01,18.500927,44.004864,19.850845,29.788021,73.68829,58.719303,45.96898,54.209724,18.330135,22.347046
1973-08-01,20.042988,52.95341,19.069141,55.4102,64.74139,68.218,48.1121,38.76777,13.143951,21.979183
1973-09-01,18.59782,45.702934,20.062695,37.521313,62.838036,46.033028,48.954567,32.638943,18.872074,21.31572
1973-10-01,27.222847,40.232647,33.15789,53.314705,54.094765,52.142147,54.756588,28.40854,16.031002,18.06902
1973-11-01,60.230164,35.11872,47.09884,62.734573,35.59661,62.310875,53.961746,37.26184,30.952366,30.55823
1973-12-01,57.111557,45.18399,57.92446,44.91959,44.83748,55.774773,17.970486,40.825493,32.33677,33.911674
1974-01-01,47.562298,52.341515,51.148365,38.88468,36.944572,38.147636,13.33934,65.78678,13.243488,27.855467
1974-02-01,40.988396,44.24891,55.664825,38.636795,23.279514,65.937164,21.85831,56.714203,22.112804,17.622787
1974-03-01,48.074593,46.529446,56.562164,43.159866,30.39711,50.06924,28.015764,47.025215,27.900085,27.18122
1974-04-01,56.425003,43.95971,42.616173,41.94358,28.924675,65.64136,57.639637,38.091454,29.51464,24.17851
1974-05-01,50.70713,53.010803,37.82043,46.94424,41.307343,60.81256,41.155304,31.388649,20.352821,21.8517
1974-06-01,43.31025,42.307144,22.573868,37.370934,68.87543,62.4139,50.52039,22.38713,37.693184,37.623775
1974-07-01,13.479805,50.589798,26.070696,37.84522,59.60784,52.76953,39.616768,46.9806,17.634354,33.079224
1974-08-01,27.620802,62.16436,26.326843,47.643276,64.23337,48.132435,55.45495,53.85361,17.34681,25.40967
1974-09-01,12.468437,50.28077,17.179897,46.3047,71.26834,51.566463,53.385937,36.742958,18.237541,29.332859
1974-10-01,42.38977,39.17884,31.742298,44.711624,46.82195,58.779907,59.483902,56.45971,21.06673,16.023102
1974-11-01,58.11888,44.306747,46.874832,38.83345,35.625824,65.975174,51.007896,57.47273,15.104279,18.706867
1974-12-01,42.89215,53.382633,50.24772,20.742828,34.779713,64.917534,23.130783,62.308132,18.078896,28.144665
1975-01-01,49.611248,53.29555,41.857414,18.561348,36.41327,58.204666,12.680946,40.118977,21.259548,24.334743
1975-02-01,63.50888,54.732727,52.97289,34.41143,22.831718,55.363243,26.190065,50.195667,20.73275,24.734781
1975-03-01,47.54356,60.111023,43.92346,56.72304,25.602354,64.06202,30.95431,38.02495,23.798065,25.199024
1975-04-01,55.76657,55.348427,29.370619,37.134327,15.361042,58.42856,41.745472,31.940413,44.280693,21.228271
1975-05-01,48.40784,53.471703,39.420967,39.865456,47.120472,56.663776,43.148075,28.705534,23.002928,24.211273
1975-06-01,34.2287,45.556538,30.009363,42.379276,74.3412,64.80448,49.497658,17.79749,14.886921,19.38118
1975-07-01,10.853611,62.20176,22.260468,39.92472,67.89943,60.364544,37.934402,51.180122,13.291706,39.040684
1975-08-01,20.182903,49.560215,23.786541,56.899193,67.92906,48.84739,51.306885,45.479164,13.599552,25.587538
1975-09-01,24.971842,44.692257,22.168278,42.705235,65.981544,59.511787,34.944817,32.30259,11.736,19.804264
1975-10-01,35.736664,40.207874,35.763,36.349068,40.836742,52.706196,57.218563,50.253284,30.236546,11.2404785
1975-11-01,49.88617,44.6511,31.64738,57.98901,52.956425,64.358345,36.05768,37.000984,22.986465,24.509245
1975-12-01,50.044212,47.42338,39.552666,39.557606,24.477966,54.456158,30.946077,58.56355,19.019005,24.571802
1976-01-01,57.16841,51.65457,40.984417,32.46109,44.284195,40.72529,16.952793,64.451866,14.3894005,30.260145
1976-02-01,45.273144,44.041466,46.590103,48.709045,24.216568,60.19266,27.265417,55.71041,24.567537,25.881216
1976-03-01,59.930252,62.47889,47.13624,38.033974,25.592567,64.78807,50.001404,38.916317,43.990627,27.288378
1976-04-01,63.21527,50.93295,39.580536,37.428795,29.09571,59.740005,53.962116,49.57663,56.546833,26.940687
1976-05-01,56.866642,52.61892,40.751534,41.133663,34.91296,63.690884,54.129402,40.70725,30.356907,23.827877
1976-06-01,32.031395,42.306297,28.76606,46.909912,73.52297,62.787216,46.665543,28.7595,42.07997,39.7265
1976-07-01,11.115864,62.84626,20.451015,35.58702,61.988514,59.43004,38.30294,52.069504,41.39935,31.814909
1976-08-01,21.599052,38.442345,27.616386,45.342026,68.67663,44.241554,43.242764,54.150723,18.274673,41.31571
1976-09-01,39.085243,49.074776,44.89921,29.595924,64.74052,52.27123,46.649143,36.57597,31.993675,15.919563
1976-10-01,30.002657,49.24042,34.942482,33.90105,39.442772,57.41934,59.935173,27.270336,23.014412,14.235237
1976-11-01,42.501465,54.933025,39.157406,36.707172,40.123394,54.00476,49.9604,38.514507,20.723267,14.584564
1976-12-01,32.879303,61.726105,42.15377,34.140495,21.467846,61.555542,19.529312,52.33191,25.64997,19.09142
1977-01-01,20.285748,57.184814,52.96272,19.775654,26.981968,41.241898,4.9893837,58.51691,12.252556,14.413151
1977-02-01,33.58722,44.25536,50.036983,21.122368,34.440083,48.85109,4.6920967,55.602547,10.767757,24.63943
1977-03-01,45.06274,54.647335,35.30757,25.690485,12.400387,75.109634,16.281338,50.462605,28.088259,23.947388
1977-04-01,35.52688,39.411076,46.575157,37.99288,28.788422,61.88614,38.517597,45.525723,26.746414,18.24374
1977-05-01,42.871277,46.160908,42.179237,44.28135,43.44473,47.389034,52.35028,48.985924,21.937872,20.342606
1977-06-01,17.54845,41.968052,29.997055,27.774729,72.61601,61.634342,25.300602,24.71253,18.948776,14.086624
1977-07-01,23.39993,53.929302,30.037668,42.031406,64.24818,55.85597,53.72624,48.027466,15.217285,14.473259
1977-08-01,21.348175,55.217537,27.662638,41.57492,65.12704,48.23053,43.706276,57.94996,16.334946,20.466068
1977-09-01,34.134674,57.542206,35.250713,49.99962,60.85133,68.072266,41.331245,47.32243,17.02861,20.381592
1977-10-01,36.274155,48.760117,41.43034,51.0523,45.007507,47.68307,48.513195,52.25281,7.1662216,12.881241
1977-11-01,41.825096,48.563553,49.093143,44.341457,35.936256,45.608574,48.251648,55.462837,14.5756035,15.412224
1977-12-01,21.476513,55.435223,66.97247,30.369066,32.85294,44.744335,21.705566,27.789349,37.73296,11.862675
1978-01-01,37.158875,61.226673,66.89276,24.05417,14.108028,48.117214,15.996193,32.948517,23.984472,17.27134
1978-02-01,8.538567,56.511005,50.30318,14.082684,21.60367,41.06035,7.705364,45.099632,25.533657,21.278944
1978-03-01,45.080624,51.00174,47.303024,31.218752,19.48265,61.377155,11.798508,39.763023,24.3092,17.654678
1978-04-01,58.093456,47.20006,43.66925,32.414696,26.951366,70.20656,37.420242,39.05021,32.59211,20.984314
1978-05-01,45.64771,40.499603,46.004116,36.216377,45.5891,59.373356,46.368443,36.038963,24.52146,19.745602
1978-06-01,24.839851,53.15127,32.12957,45.24853,70.65642,62.516075,49.27356,38.65262,14.971325,34.37573
1978-07-01,15.418022,51.339138,29.401865,30.227146,68.28354,57.44717,41.43418,66.45081,11.095196,28.65737
1978-08-01,28.294626,48.576584,29.072386,53.108505,71.05243,54.272766,49.33217,37.7418,12.337078,16.688416
1978-09-01,19.986374,45.104385,33.50768,46.90543,65.38476,56.243305,55.05528,26.842068,15.273876,19.696495
1978-10-01,24.158716,44.31237,45.080624,48.75558,42.8313,53.596386,51.04451,37.94297,14.508789,14.249004
1978-11-01,49.872326,51.209248,27.801992,32.870895,27.790903,47.60557,43.396797,48.7239,13.482334,12.181843
1978-12-01,43.037224,49.49374,51.0651,42.604782,27.120857,48.66846,49.001106,59.919846,30.962137,18.779339
1979-01-01,40.745167,62.569775,54.725925,18.681099,28.3047,49.752327,11.621956,54.793877,35.441505,22.015705
1979-02-01,61.38705,53.65969,41.76286,44.670326,27.769157,66.600105,49.705406,35.52402,45.565056,16.168411
1979-03-01,55.54461,49.991783,45.581238,34.079185,22.777763,59.13162,9.368145,59.794983,32.504913,29.103971
1979-04-01,58.636524,64.38998,43.01516,31.849644,19.714973,59.484333,42.81615,44.0911,41.783894,39.5948
1979-05-01,40.71604,47.32701,39.604507,30.929026,54.392624,56.395657,44.741516,35.417236,41.87288,23.282566
1979-06-01,29.980904,31.158775,33.27021,37.287594,63.441853,57.084904,61.825516,22.15485,31.763891,23.526876
