,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1965-01-01,1175.7284120071765,5618.660820855035,3722.1356427228006,2216.7521601137905,3272.135482295867,4850.195021856399,3266.2182223412296,1185.0206951762354,1173.1681440787886,2552.7908325195312
1965-02-01,1175.953035576399,5666.673109266493,3766.0153989438654,2214.9923573369565,3280.9546685987902,4867.76355561756,3290.5623897429437,1182.3724791061047,1171.6135385874156,2551.8243408203125
1965-03-01,1177.7066962663519,5652.707248263889,3742.0765064380785,2211.611673106318,3283.709519909274,4866.671316964286,3278.9353893649195,1181.8962629451307,1172.585929958977,2548.970947265625
1965-04-01,1177.8026492096658,5681.235419379341,3774.88697193287,2210.552978515625,3291.9711205267135,4860.235305059524,3285.3224231350805,1179.2762224064318,1172.494612881576,2548.1533813476562
1965-05-01,1177.1878974382269,5684.4736735026045,3780.84242078993,2212.969572647758,3294.3229429183466,4887.824939546131,3289.550978137601,1177.479801621548,1171.594473938224,2553.7481689453125
1965-06-01,1178.5815216774165,5689.664035373264,3772.156891999421,2212.632419752038,3301.304380355343,4877.212960379465,3293.188673450101,1177.7418269667514,1172.076298187138,2548.638916015625
1965-07-01,1176.7416665720386,5691.226535373264,3790.895815248842,2210.8852220618205,3294.614927230343,4871.480887276786,3291.0148374495966,1180.6145956349928,1171.6069166264479,2547.0115661621094
1965-08-01,1176.5929466070131,5681.239488389757,3778.084988064236,2210.4049019191575,3290.3781029485885,4859.044538225447,3287.227310672883,1179.8834512400074,1171.6186287780527,2542.29736328125
1965-09-01,1176.2858546057414,5669.876776801216,3756.3842773437495,2212.3898713485055,3281.5528131300402,4870.7856677827385,3273.8143428679437,1178.568853333939,1171.5785435267858,2542.5485229492188
1965-10-01,1176.3936597247457,5637.851291232639,3779.598659939236,2211.089291779891,3279.8192178049394,4846.461123511905,3289.132788873488,1183.0009992732557,1172.2114238959944,2547.540283203125
1965-11-01,1176.1271986850472,5673.322889539931,3787.949173538773,2215.3248662533965,3289.1384986139115,4827.108038039435,3283.1556750882055,1183.1153337345568,1172.2543605966457,2540.670623779297
1965-12-01,1176.2287583462028,5685.392591688368,3779.109700520833,2217.6887843919835,3298.6930601058466,4856.804547991072,3289.0201691658267,1183.7955208711846,1171.4388225069379,2547.1775817871094
1966-01-01,1176.4119702716207,5635.7025146484375,3735.11646412037,2217.584361200747,3287.9177954889115,4853.8484119233635,3281.3011907762098,1185.8229526253633,1171.252205749276,2552.6063537597656
1966-02-01,1176.3914596202762,5664.104546440973,3786.3572862413193,2220.3732697860055,3281.915086315524,4855.811128162202,3292.0091198336695,1184.4664107921512,1171.913718440818,2551.270751953125
1966-03-01,1176.7982660337937,5640.240817599826,3757.1716308593745,2215.9468941066575,3285.197005733367,4850.583902994792,3282.617384387601,1183.0738866051963,1171.448107391711,2551.2646484375
1966-04-01,1177.2365836210029,5663.24462890625,3767.6823368778932,2212.738169794497,3283.874708606351,4860.497756231399,3290.7598680065526,1179.129454146984,1171.8607191873793,2546.5869140625
1966-05-01,1177.98554176508,5683.488633897569,3781.5230758101848,2210.4570471722145,3291.7628134450606,4877.567545572917,3285.5171449722784,1179.405034974564,1172.6798628287886,2547.9690551757812
1966-06-01,1178.171166708303,5669.842190212674,3764.7589789496524,2212.861168902853,3298.2799899193546,4867.045665922619,3290.1780651461695,1179.3481871139172,1172.5763151544402,2548.7896728515625
1966-07-01,1176.1864240779432,5709.029134114584,3785.622377748842,2208.099895974864,3297.9988344254034,4876.218959263393,3287.8431750882055,1178.9867312409158,1171.5845763453185,2545.834197998047
1966-08-01,1176.7107231672421,5698.497178819444,3787.51966688368,2210.6954823369565,3294.9008080267135,4876.450311569941,3290.1075793850805,1180.244623228561,1172.4319516922058,2543.529815673828
1966-09-01,1176.8377259720203,5649.241468641493,3763.6752658420137,2206.173971424932,3284.3208559097784,4853.236607142857,3279.9462103074598,1180.0375295239826,1172.1472309362935,2542.4659729003906
1966-10-01,1176.6199156295422,5664.1265869140625,3770.2878598813654,2210.527237601902,3287.383048765121,4868.213471912202,3282.1968324722784,1181.7694375681324,1172.5382801188466,2548.5202026367188
1966-11-01,1175.445592126181,5672.0428466796875,3772.4170826099535,2217.959860096807,3286.6713000882055,4849.329485212053,3272.6729854460687,1184.931271575218,1172.8189711405043,2547.1701049804688
1966-12-01,1176.4931257380995,5638.354153103299,3741.9318305121524,2217.8417703379755,3287.6685357862902,4849.519275483631,3280.8948147681454,1184.7887615824854,1172.7086129796091,2551.9924926757812
1967-01-01,1176.8806634947312,5648.164537217882,3754.1687011718745,2218.1681757387905,3286.3948698966733,4856.164260137649,3286.171402469758,1185.627072356468,1173.1102195945946,2553.679656982422
1967-02-01,1177.3316849109738,5673.76708984375,3755.464454933449,2216.3680366847825,3295.5318327872983,4886.689685639881,3282.4551490045365,1185.170160337936,1173.215793918919,2557.6864624023438
1967-03-01,1176.4495494753814,5687.923177083334,3763.2206669560182,2218.6597741168475,3288.9764601184474,4862.339855375744,3280.6473270539313,1181.6464446311772,1172.7179921271718,2548.1265258789062
1967-04-01,1176.883253940316,5717.999267578125,3796.5928819444443,2215.1628577190895,3295.2361076108873,4880.069405691965,3291.4493683845767,1178.7296029024346,1172.8655369585547,2552.635955810547
1967-05-01,1176.7385083575582,5682.014634874132,3775.6946705005785,2209.2912756878395,3295.0699344758063,4880.596051897322,3286.6092804939517,1179.1122081667877,1172.287941715432,2553.3753967285156
