,mgu200_cluster1,mgu200_cluster2,mgu200_cluster3,mgu200_cluster4,mgu200_cluster5,mgu200_cluster6,mgu200_cluster7,mgu200_cluster8,mgu200_cluster9,mgu200_cluster10
1968-09-01,1.7311226,2.4666762,-1.0564693,0.80739516,0.17686844,0.3931219,2.9123116,-0.8704842,0.63818514,-1.9681625
1968-10-01,-0.041938018,1.1042423,-0.64329034,1.7730602,0.7286247,0.8591795,1.3263305,0.0025527955,0.5061722,0.66480637
1968-11-01,-1.1224762,1.2041638,-0.08205223,3.7693028,0.5094536,2.062614,-1.0747039,-0.21406555,0.90658724,2.0888705
1968-12-01,0.8934593,0.71148527,-0.2782484,0.33149186,0.5200294,0.677935,-1.1698841,0.67939377,-0.04047928,1.1629555
1969-01-01,2.1993554,0.50389445,1.2048352,-2.428247,-0.49327946,0.28827134,-1.742234,0.56924516,0.66577756,-0.4385437
1969-02-01,1.6815281,2.2524314,0.57024,-0.35793382,0.31248778,-1.991362,0.33438188,-2.7258065,-1.0263656,0.10250397
1969-03-01,2.1280334,1.7200081,0.22457962,-0.10250397,1.1534172,-1.3998909,0.07364349,-3.2200813,-2.2945602,-0.91556853
1969-04-01,3.3146234,0.8691269,-0.48730773,0.18875313,1.6755568,0.28130493,3.056871,-0.9580299,-3.0930295,-3.5398667
1969-05-01,2.374839,0.31182402,-0.01890869,1.6782109,1.543861,0.45844764,0.8362854,-0.5151733,-2.1595473,-1.8394305
1969-06-01,0.33338642,2.579183,-0.3552807,2.5831642,0.18311386,-1.0210581,1.1000096,1.0618607,0.37120324,-0.9663227
1969-07-01,1.4678952,-0.6302826,-0.7337818,-2.434218,0.64786375,1.4284197,2.1074665,1.6725714,0.34765053,-2.1058078
1969-08-01,0.90561676,-0.9374626,-0.40603486,-1.7803829,0.7795601,2.2232394,0.6680996,0.5997639,0.871117,-1.7113835
1969-09-01,1.2015178,1.4124966,0.053076554,-0.14065246,1.0436157,0.5997639,3.6984324,1.156071,0.7002773,-3.2914023
1969-10-01,0.66445065,1.9701309,-0.0069664,1.8792378,1.037976,0.7643005,1.5780289,1.6828549,-0.09852314,-0.04013939
1969-11-01,0.24813232,2.343988,1.000159,2.0650055,1.0973552,0.9188858,-0.94409716,-1.8875309,-2.498905,1.7183498
1969-12-01,-0.9925297,1.3458195,0.73577213,3.2214081,1.2104747,1.0057983,-1.2061615,-0.18444061,1.5587887,2.3569255
1970-01-01,1.3810952,0.42897147,1.0170183,-1.1980584,1.3301773,0.53446656,-3.6813664,-1.4266869,0.110487364,3.746261
1970-02-01,1.7078984,1.7045708,0.67490613,2.024386,1.0363203,-0.73514175,-3.8767166,-0.2692299,-1.0885693,3.5698802
1970-03-01,-0.37838706,2.141861,0.9271637,1.0173508,1.1278385,-0.30350798,-0.7434616,-1.916893,-2.6317344,2.27864
1970-04-01,1.7272003,2.846386,1.0992184,0.8845661,0.7970413,-0.095178984,1.902916,-0.379718,-2.3485267,-1.9345315
1970-05-01,0.9854027,2.1152382,-0.0302845,1.2446492,1.0779194,1.3008915,2.5448754,-0.1391079,-3.2706985,-1.8007479
1970-06-01,0.20533371,1.0319941,-0.8273258,1.9072418,0.8423012,-0.14676209,4.274405,-0.05624218,0.2675663,-2.698626
1970-07-01,1.3541386,-0.49253464,-1.1225135,-1.6140506,0.6512772,0.7501175,2.96952,1.2453148,0.78672487,-1.3165325
1970-08-01,1.1521327,0.4086712,-1.8430126,-3.4567306,0.6725769,1.4286842,2.1208954,1.0666046,1.3181969,-1.0606142
1970-09-01,1.5747808,0.7075199,-0.60601807,-0.6213261,0.7131775,1.2945683,2.3312213,2.8257535,0.83165187,-1.9698074
1970-10-01,1.272604,2.4729917,-0.3084999,-0.9458004,0.85894126,-0.80835646,2.275312,-1.0815799,0.5487774,-1.4699509
1970-11-01,0.11248474,2.2763104,0.2965191,0.28653565,0.30583763,1.0499649,0.07421303,-1.1644462,1.4679539,-0.9271641
1970-12-01,-2.628406,2.1258876,2.0540042,1.5634658,-0.643956,-0.6712456,2.0287118,1.0496315,0.24127579,-0.68056357
1971-01-01,0.34131965,1.249655,0.4935255,-1.054335,-0.047686767,1.3064868,-1.8986524,1.0353905,-0.19303341,2.1210816
1971-02-01,0.04115448,1.5782363,-0.048340034,2.1161828,1.2326705,0.6140488,-3.8763473,-0.92499316,0.5761608,3.1538596
1971-03-01,-1.4462814,1.9613636,-0.9262993,1.6811225,0.35993728,1.7121513,0.31812972,-0.6218872,0.46021003,1.6334352
1971-04-01,0.11497078,1.6144912,-0.5934719,0.9975029,1.1464424,-0.40729713,3.2815692,-1.1461163,-1.1738789,-3.4066646
1971-05-01,-0.079695895,2.3559227,1.3231449,1.9966387,1.0112209,-0.8537893,3.0738378,-0.6084965,-1.7523258,-2.238339
1971-06-01,1.0722992,1.3303305,-0.91356087,0.30735093,0.5363129,1.676223,2.9337165,1.1670196,0.21459064,-1.7895607
1971-07-01,1.6674042,-0.6545502,-1.0164471,-0.18519478,0.7277134,1.1268454,1.4181917,2.961806,1.0889572,-3.2325757
1971-08-01,1.342089,1.0990822,-1.256514,-0.6535702,0.86326104,0.98280466,1.6445404,1.0069749,0.5826931,-1.9179232
1971-09-01,1.1826973,2.138719,-1.1549345,0.3925995,0.9481834,0.9279324,2.7096543,0.8093687,0.83092576,-2.3474305
1971-10-01,1.6576055,3.0284371,-1.0171001,0.9605948,0.49091262,-0.5421921,1.9509119,0.14893952,-0.47098845,-1.5501468
1971-11-01,-1.4665321,2.0675156,0.45335084,2.2700212,-0.2756687,0.9543888,1.0765457,0.5023445,-0.63037986,0.53598654
1971-12-01,0.49809837,1.8509655,1.2346302,-0.51867545,-0.12084999,-0.109745026,0.9563484,2.988589,-1.0922229,-0.70289004
1972-01-01,0.011476517,0.7307781,1.2368996,-1.2153809,-0.18075772,0.9657629,-0.5907623,1.4311432,-1.3628563,0.48833275
1972-02-01,1.0584373,1.2320225,0.2676937,-0.7563137,1.1327488,0.9181347,-0.07373772,-0.9855606,-1.6337063,1.0053581
1972-03-01,1.2785031,-0.15464821,0.0083206175,0.21117096,1.0156868,1.6621109,-2.9595497,-0.7296303,-0.290934,2.047727
1972-04-01,2.116588,1.7318318,-0.29380304,-0.71298903,0.9720753,0.24187088,0.05709648,0.4077095,-1.7260936,-1.3028908
1972-05-01,2.0666637,2.1765532,-0.5666615,0.7434023,0.75287056,-0.19194774,1.4893868,-1.8371303,-2.3733783,-1.7413002
1972-06-01,2.3501382,1.3292869,0.08607521,-2.056048,0.18793067,-0.0892313,2.4617488,0.55461085,-0.74454993,-2.246848
1972-07-01,2.6895611,-0.31503487,0.18362693,-2.074698,1.1660312,1.581487,1.561116,2.0965033,-0.58617175,-3.32537
1972-08-01,0.07201614,-0.5950661,0.66851693,-2.0064116,0.8524307,0.75660056,2.06609,1.8391386,1.319245,-0.7812754
1972-09-01,1.5599684,0.61199415,0.13944168,0.4263588,0.49665374,-1.3683077,0.41975975,2.5974607,-0.15636978,-1.5837828
1972-10-01,1.2208322,1.4044592,0.09439583,0.2593731,0.27199745,-2.3128388,-0.012911225,2.1444182,0.05709648,-0.8903038
1972-11-01,1.994935,3.3385682,-0.12681732,1.0618801,0.4277935,-0.99215966,1.3028908,-1.0541337,-1.3077682,-0.12107925
1972-12-01,1.776878,1.4297081,0.3609417,-0.6682297,0.9416622,0.053079605,-1.8520501,0.14546737,-0.581868,1.2945697
1973-01-01,1.2818619,2.2356124,0.61449087,1.9444549,0.8018007,-0.887492,-2.3088806,-1.523645,-0.2076973,2.4136844
1973-02-01,1.9801323,2.9813485,0.96330756,1.4761803,1.08181,-2.5471587,-1.9788582,-2.9166825,-0.7138802,2.3025098
1973-03-01,0.4290924,2.5713692,1.0349823,0.8750683,1.3098948,-1.3369716,2.0158105,-2.2330642,-3.209433,0.72630346
1973-04-01,1.7778507,3.225679,1.621759,0.60047454,1.2557404,-0.5198805,1.1528476,-2.4261086,-1.9549668,-2.9593678
1973-05-01,1.9508255,2.2646012,0.98656195,1.4041865,0.5590626,1.5497658,3.4168122,-0.2051487,-2.457645,-3.743648
1973-06-01,0.09779606,1.4809583,-0.0958847,1.4086463,0.48133546,0.9285854,4.345078,0.5593811,0.33862305,-2.6226563
1973-07-01,0.895137,0.018157577,-1.1244965,-0.6441166,0.84862787,0.8948185,2.2869,2.870173,1.2257965,-2.6784031
1973-08-01,1.260519,1.7807178,-1.8695942,-1.9661162,0.8839874,0.65845126,0.8900402,0.8167728,0.9008713,-1.7036273
1973-09-01,0.40520096,1.9826809,-1.9673904,1.282499,0.14621659,1.6109283,2.125712,1.6797359,0.16246262,-2.1843257
1973-10-01,1.2767651,2.4277012,-0.61735785,0.8323822,0.70623434,0.38799897,1.5679238,-0.5240215,0.4204916,-1.1675009
1973-11-01,-0.28128356,2.4277012,1.0454944,0.3306593,-0.81295013,1.705539,0.7756794,2.0078468,-0.3058117,0.26758558
1973-12-01,-1.7405798,0.6711933,0.1723381,3.0797813,-0.2863802,1.9963787,0.944194,-0.7406384,1.1598556,1.4328566
1974-01-01,-0.38722688,1.4115041,-1.1393278,0.12030945,-1.4736319,-0.033200074,-3.401877,2.3585343,1.497299,3.6237595
1974-02-01,-0.38426858,2.5948803,-0.017093277,1.5686302,0.23568897,0.2412773,-0.15285262,-1.7586281,-0.3783516,1.7638876
1974-03-01,0.33824825,1.2527348,-0.22221145,2.074524,-0.16731605,0.18243714,-1.6991303,0.48386917,0.18506698,2.2457843
1974-04-01,0.73073465,1.3335987,0.9756279,0.7925331,0.5837986,0.02531128,2.328621,-0.6061516,-0.21728095,-2.520919
1974-05-01,1.4154488,1.9867566,-0.0456913,1.1130307,1.1146743,2.1741242,2.848977,1.8273296,-3.5751095,-2.4048824
1974-06-01,0.9999527,0.7984501,-0.559145,1.7951149,0.2997883,0.4861702,3.864708,0.076919556,-0.4342331,-3.3049057
1974-07-01,1.68894,0.42798766,-0.67649615,-0.2695465,0.93749654,0.6847143,3.2887986,0.85498923,0.7455265,-3.824276
1974-08-01,2.0610461,0.07165985,-0.93815386,-0.6860291,0.5328476,-1.0630659,1.1127021,1.5170224,1.6287855,-2.0153546
1974-09-01,1.8996468,2.0146976,-1.4864514,1.2024415,0.49077225,0.31721038,0.17849274,2.4808164,0.77774066,-1.5331291
1974-10-01,1.7346318,1.9285736,-1.6324011,2.1189003,0.24489327,-0.68076974,2.9492352,-0.40234795,-0.8891754,-0.42141303
1974-11-01,-0.14167634,1.6876255,0.56900656,2.1787262,-1.0423568,1.568959,2.8262954,0.12326851,1.0739136,-1.6396328
1974-12-01,-1.6011732,1.9308746,1.7908417,2.988681,-0.17487678,1.0702976,1.2931671,-1.7556694,-0.5321903,2.1041076
1975-01-01,-1.2195762,0.19951515,0.86266595,1.1556046,-0.9969427,2.2766907,-0.09912415,0.92568666,0.011717605,1.1255192
1975-02-01,0.42943305,1.5546356,0.07252236,1.1220356,0.050670624,0.43608323,-0.2685539,0.020902252,-0.58017766,1.2376277
1975-03-01,0.5557926,2.0983937,-0.67423475,0.2742544,0.3743286,-0.3508938,2.4999576,-1.0469795,-1.0561638,-1.134703
1975-04-01,0.85474855,3.1317558,-0.06238823,-0.5532589,0.33600885,-1.5210663,0.7882435,-0.026919555,-1.670861,-1.6936626
1975-05-01,0.012350845,2.7026398,0.68848574,1.4795796,1.183157,1.255996,2.2500882,-0.9415218,-2.962326,-2.8033473
1975-06-01,-1.0890999,2.3248277,-0.25525284,0.78000945,0.17671356,0.1773468,2.1227787,0.34392625,0.7714588,-2.410334
1975-07-01,0.7078041,0.2739376,-1.4751457,0.10324135,0.41074753,0.54470843,2.6649537,0.57036036,1.2284439,-2.3951328
1975-08-01,0.9966259,0.45666847,-1.8352234,-2.0021195,0.33854216,1.3760216,1.3076165,1.3091999,0.8623489,-1.1302696
1975-09-01,1.6778278,1.5543187,-2.1747158,-0.02406845,0.756575,-1.0761154,0.94975567,1.361454,1.6889122,-1.4808462
1975-10-01,0.3379093,2.8749194,-2.083509,1.2021583,0.5589596,0.80661166,2.7805457,0.080122754,-0.63908213,-1.4270089
1975-11-01,-1.5625528,2.2253864,1.1283696,1.5264498,0.2584198,1.466912,2.6934555,-0.38509598,1.0238615,-1.0571142
1975-12-01,-0.7271225,1.4669117,0.4680687,1.800071,-0.6210308,1.5945385,-0.8069283,-0.18969727,-1.2623297,1.5923216
1976-01-01,-0.90961856,1.6200905,-0.6489109,2.1714454,-1.135678,1.5201805,-1.9776809,-0.15575257,-1.5790498,2.2713559
1976-02-01,-0.74242896,1.4996605,-0.38147467,0.38988456,-0.65261096,0.8934719,0.455146,0.7915428,-0.9607512,1.2063214
1976-03-01,1.388649,2.0204034,-0.4514454,-0.6926424,-0.19241962,0.15070572,1.2160771,-0.5607742,-1.402441,-2.2256057
1976-04-01,1.6402748,0.9398945,-0.27988282,0.31587735,0.6391552,-0.043395232,2.934732,-0.68726003,-1.6157173,-2.7799892
1976-05-01,1.1484611,1.5908238,0.03162136,0.8517586,1.3260791,1.2241504,2.2656372,-0.9748802,-1.9218391,-1.9147747
1976-06-01,1.089928,1.9090557,0.078380585,-0.007736969,0.47061998,1.1228949,2.4049058,0.71686304,-0.23985156,-1.8091459
1976-07-01,1.2359245,0.19309196,0.05214157,-0.93081206,0.75924873,1.3428987,3.165837,0.53049886,0.12581292,-3.2395082
1976-08-01,2.3682384,-0.6596756,-0.19006462,-0.5341991,1.0105381,-2.0167027,1.5618938,1.7432117,2.2935586,-1.8209198
1976-09-01,2.136797,1.7778606,0.20217514,1.0051556,0.81576383,-0.15911599,2.6683052,0.21394882,-0.8292198,-1.4727485
1976-10-01,1.4148877,2.7591326,-0.07938995,1.6947708,0.52915305,0.13287696,1.9383228,-1.1730179,-0.18939209,-1.512443
1976-11-01,2.3083596,1.7795433,0.20486602,1.7677689,1.2150681,0.78279704,0.30612183,-0.80466306,-1.0784905,0.015138054
1976-12-01,0.21865806,2.3470454,0.79154336,1.9063648,1.1235679,0.25633487,-1.1679726,-1.913092,-2.0934021,2.2414165
1977-01-01,1.291843,2.3080509,0.3506485,1.1241264,0.94756395,-0.85592157,-4.765774,-2.7609572,-1.5052044,4.5945177
1977-02-01,0.29898873,2.2238383,-0.9808245,3.0882523,0.5190727,0.24874458,-3.3065674,-2.6944358,0.43026048,3.583264
1977-03-01,0.18753204,2.447815,1.986417,-0.1507326,0.27634352,-0.42919922,2.0356,-0.526149,-1.7475799,-1.3456256
1977-04-01,1.6078163,-0.16347122,2.1017663,0.66732866,1.6389534,0.27032813,1.5943702,-0.45396727,-2.2946053,-2.8886902
1977-05-01,1.0123154,1.6969814,0.98860896,-0.29438895,1.1290805,0.13374862,2.9184124,-0.74870986,-1.0664517,-2.6385307
1977-06-01,0.77560157,1.093343,0.18859291,2.5306115,0.78586274,0.17762414,3.1933403,1.6531067,-1.3091809,-0.42990685
1977-07-01,2.5907636,-0.89661217,-0.3039421,-2.6785138,0.8364609,0.37223187,2.281514,2.6696682,-0.46458206,-2.0126007
1977-08-01,2.0076466,-0.06298218,-0.5997459,-0.28448144,0.16913223,0.73703384,2.4945207,2.7209735,1.1701248,-0.7444641
1977-09-01,2.6926675,1.8109157,0.09376602,-0.9620708,0.41186142,-0.2926201,0.3361408,2.2712524,1.656291,0.010260964
1977-10-01,1.6018007,2.164041,0.27740517,1.2989199,0.028660584,0.5498558,2.7846642,-0.3478176,-0.9521637,-1.5023737
1977-11-01,0.19319268,-0.41858405,0.42141494,1.2925507,1.040622,2.4297695,-0.09164276,-0.25334436,-0.65246755,1.3841934
1977-12-01,0.63477594,0.6687439,0.31137276,0.72818834,-0.8647671,0.18257752,-2.3388343,-1.0703437,1.1294342,2.7567105
1978-01-01,1.4034954,2.4165833,0.044550132,2.169007,0.6553272,-1.5997196,-2.930439,-2.129219,0.2210495,3.1831155
1978-02-01,1.9911476,1.9799255,0.6223396,2.6855843,1.1787052,-0.7430668,-3.6548011,-2.3131995,-1.8469555,3.4851036
1978-03-01,1.3994144,2.3329246,0.4383585,0.99812394,1.0001647,-1.2637241,-0.70531845,-1.4136978,-1.0692002,0.81958425
1978-04-01,2.2206993,1.7894821,0.5580656,0.80360067,1.0535568,-0.63730353,1.9132702,-0.79373854,-1.6830384,-2.2914348
1978-05-01,1.3946537,2.1720684,-0.27614212,-0.14895363,0.14895363,1.6350874,1.9666622,-0.4485607,-0.86311376,-2.038758
1978-06-01,1.8493357,0.99268305,-0.33361474,-1.9207519,0.6859337,-0.8835186,1.0066261,1.1538792,1.7265682,-2.5369706
1978-07-01,0.95697516,0.38734704,-1.7758793,-0.5526241,0.5043335,0.010542298,1.1246331,2.147583,1.7071835,-1.6697752
1978-08-01,1.9384358,0.31185037,-1.2018303,-2.4465096,0.61825866,1.3055534,1.3878517,2.0458999,0.96479684,-1.1617012
1978-09-01,1.0416542,1.7507133,-0.8937206,-1.1525192,0.6876343,1.0464151,3.2324264,0.37952536,0.5516039,-1.8166885
1978-10-01,1.6568524,2.1322792,-0.3788452,0.9233074,0.29484636,0.108824536,2.5328891,-0.007821655,-1.0569576,-1.4647093
1978-11-01,0.47780722,2.371013,0.50365293,0.5539843,-0.41115227,0.65124667,0.2489357,0.68083304,-1.8364124,-0.034347914
1978-12-01,1.048116,2.3737335,0.6447849,-0.6869545,-0.28668442,-0.725383,0.5706482,1.1977494,0.15031394,-0.30470848
1979-01-01,1.8855782,2.84026,0.4941391,-0.27858582,-0.48521978,-1.455362,-1.9465278,-1.21632,-1.1015564,2.115998
1979-02-01,1.6340481,0.811375,-0.57946855,-1.6227505,0.9377346,0.023785401,0.92346346,-0.38234863,-1.3007572,-0.49651796
1979-03-01,1.5287987,1.770517,-0.51405925,0.20782319,0.8634054,-1.8689283,-1.5050132,-1.4776604,-2.4751554,1.558828
1979-04-01,2.0960777,1.2734047,0.5452774,-0.9850079,1.7434609,-1.4413875,1.669132,-0.47659683,-0.63595885,-2.679709
1979-05-01,0.3582657,1.5793419,0.12576465,2.2964687,1.3325698,1.635535,2.6202455,-0.11744003,-1.499067,-1.787761
1979-06-01,2.3229296,0.96895295,0.3288315,-0.87827146,1.0037391,0.7438847,0.9969004,1.0034412,-0.27442247,-2.5560253
1979-07-01,1.4428742,0.37194213,-0.79650956,-0.73645175,0.2550972,1.0346596,0.9826294,1.9319592,0.8788662,-1.0944201
1979-08-01,1.8115463,1.0976906,0.22982521,-0.9344643,0.9115707,0.6392294,0.9882782,1.5998571,-0.91097623,-1.4363337
1979-09-01,1.931662,1.896281,-0.27858505,1.106313,0.28809968,-0.57292783,2.5239153,0.12249432,2.0612917,-2.5699995
1979-10-01,0.72872144,1.5064999,-0.2595566,2.2524657,1.044471,0.4673809,2.2967663,0.9088947,0.10435791,-0.59968626
1979-11-01,0.68293494,1.948906,0.6722313,1.956934,1.2808373,-0.6288231,1.1877769,-0.68352926,-0.08324852,-0.2776928
1979-12-01,0.3609417,0.76915663,0.9035433,1.5876671,0.5568727,0.14330634,-2.2364106,-1.2026432,0.69215167,2.656221
1980-01-01,1.6925751,1.3647293,0.44061622,-1.3930908,0.14687213,0.38456878,-3.2845337,-0.4794449,0.11682244,3.1420517
1980-02-01,2.3148398,2.6524777,0.13032798,1.5129516,0.36633644,-1.2235969,-5.011885,-2.833789,0.8248474,4.214386
1980-03-01,0.68405306,3.3912277,-0.0958889,0.5172604,-0.15227433,-1.3613529,0.84510577,-1.5119393,-2.1419702,0.95686376
1980-04-01,0.5338043,1.0790886,0.94031906,1.3620281,1.8600429,0.0631382,3.019151,-2.0264976,0.25761718,-1.148304
1980-05-01,2.7058234,2.7284455,0.52435076,0.87819403,0.8184326,-1.0375589,2.6619315,-1.6729915,-1.65611,-2.7433019
1980-06-01,3.0107105,0.121212006,-0.41090393,-2.1855252,0.65467834,-0.7225437,1.2040138,2.3445523,0.35046768,-1.7216117
1980-07-01,2.8547218,-0.17219505,-0.63475764,-2.0349388,0.5949165,0.42846146,0.3582329,1.5105884,-0.46796495,-1.546716
1980-08-01,0.87481767,0.3241318,-1.2901115,-1.3654045,0.74077606,1.0919187,-0.46222535,1.5814922,0.43656462,-0.54899806
1980-09-01,2.273986,1.1712631,-0.74280167,-1.3866756,0.94639665,-1.086179,2.952299,2.5153966,0.46425095,-2.2334697
1980-10-01,2.0511456,2.581236,-0.49092445,2.4313247,0.4804573,-0.13302918,2.4698155,-0.51658475,-1.1959108,0.05064545
1980-11-01,-1.140876,0.4483818,0.3180542,3.3932533,0.7985115,1.9589707,0.24276122,0.42002028,-0.7232189,1.036546
1980-12-01,1.017976,1.233051,-0.3251446,0.41731873,0.6087597,0.9886015,-4.165429,0.039503478,-0.55912703,3.1953976
1981-01-01,1.3188179,0.90404856,-0.07597961,3.2829132,0.98149717,-0.85082626,-5.179103,-1.4061768,-0.925338,4.288268
1981-02-01,1.5680462,1.671922,0.15452881,0.6863869,-0.73557204,-0.64564437,-2.884662,-1.6572396,-0.0044048307,3.2106032
1981-03-01,0.3373211,2.7554588,1.045364,2.003737,1.077665,-1.187046,-0.5733353,-2.995144,-1.3999363,2.2599387
1981-04-01,1.4806877,0.88753164,0.49552003,0.68602026,0.5256184,1.2733028,0.9334133,0.06166458,-1.8631561,-2.6376355
1981-05-01,1.2611904,1.7067916,-0.07524566,1.9787772,1.0130631,0.3362198,0.46175155,-0.2517975,-0.76860696,-0.28776854
1981-06-01,-0.31382942,1.9332631,-0.41330034,2.743346,-0.118190765,2.9375167,4.5742016,1.9226182,-0.9436909,-2.9169624
