,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9
1965-01-01,,,,,,,,,
1965-02-01,,,,,,,,,
1965-03-01,,,,,,,,,
1965-04-01,,,,,,,,,
1965-05-01,,,,,,,,,
1965-06-01,,,,,,,,,
1965-07-01,,,,,,,,,
1965-08-01,,,,,,,,,
1965-09-01,,,,,,,,,
1965-10-01,,,,,,,,,
1965-11-01,,,,,,,,,
1965-12-01,,,,,,,,,
1966-01-01,,,,,,,,,
1966-02-01,,,,,,,,,
1966-03-01,,,,,,,,,
1966-04-01,,,,,,,,,
1966-05-01,,,,,,,,,
1966-06-01,,,,,,,,,
1966-07-01,,,,,,,,,
1966-08-01,,,,,,,,,
1966-09-01,,,,,,,,,
1966-10-01,,,,,,,,,
1966-11-01,,,,,,,,,
1966-12-01,,,,,,,,,
1967-01-01,7.120898946470194,6.0907758588842515,6.486463949048881,8.443917553461093,5.42155677028728,5.6282246266535765,0.0,5.223193254050282,8.52997892399443
1967-02-01,6.687219629287407,4.593154274772436,5.8051255809233595,8.73517708705612,6.968556458302453,5.702117414443185,2.438803601917715,5.54791513826267,8.34762155294722
1967-03-01,6.867007511639493,2.52878243067878,6.054480669352338,8.663868796953318,6.935308014980021,5.145528473385531,0.0,3.72187324863305,8.279281865376332
1967-04-01,7.226742196806114,0.0,6.294368689538566,8.728873195338485,6.3657085898011605,6.175887810428917,2.8409617120232338,5.622681426754128,8.48011104595372
1967-05-01,7.465350042970162,0.0,6.2477245907161745,7.986917724712227,3.2987654456669078,5.411226284342135,0.0,4.569307600888638,8.515998858436255
1967-06-01,7.882881880199951,5.287743470801911,6.944134457205013,6.800842526054516,2.7604890015103054,5.141370459417534,0.0,0.0,8.428020763484456
1967-07-01,7.882074197037416,7.337784770245296,6.920062020750644,5.7957865215412445,2.4349440315478237,5.519547201536913,0.0,0.0,8.406547449844858
1967-08-01,8.102472798476457,7.937098940388227,7.431692443404282,5.6672433038348276,2.695368092636297,6.562461055429958,0.0,3.2138197011049776,8.060267301538763
1967-09-01,8.330242135352966,8.27022008450999,7.852185931197019,6.1543391785368105,2.4052419492112325,7.1898119025377145,0.0,6.02440999555192,8.288321285731945
1967-10-01,8.394040483378728,8.115867036281927,7.863821582826391,6.445174344387393,2.580832876964591,7.197297105613229,3.271758986656837,6.613060179351988,8.275782231276263
1967-11-01,8.200531523891046,7.963709260742384,7.569701542175066,7.022558946419162,2.9772498513592884,6.656542846158256,2.7485426178598678,6.516672489587466,8.404634906020057
1967-12-01,8.023385454465146,6.779995900867632,7.016638729274682,7.312153689081728,2.8000168917527843,5.975379858679801,3.7223445847586185,5.496178365969224,8.460339786273577
1968-01-01,7.707262681448802,4.827884393469041,6.808568092146278,8.035136617457109,3.7010754348888883,6.015505092418222,2.9523327765312195,5.364854169500054,8.419614028419
