,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9
1965-01-01,-26.106502532958984,0.9434318542480469,-28.7249755859375,-10.600979804992676,2.4147939682006836,-24.105579376220703,-9.72761344909668,-31.46402359008789,-23.395156860351562
1965-02-01,-12.931045532226562,-1.1389617919921875,-31.910484313964844,-18.373294830322266,10.556985855102539,-19.670310974121094,-7.853785514831543,-28.56855010986328,-26.127685546875
1965-03-01,-16.188247680664062,-1.981369972229004,-20.157506942749023,-20.908666610717773,2.799337387084961,-24.09580421447754,-4.262552261352539,-33.47635269165039,-32.79525375366211
1965-04-01,-28.149791717529297,5.856121063232422,-34.90209197998047,-6.793035507202148,5.403144836425781,-23.140966415405273,-6.75718879699707,-29.624412536621094,-25.946821212768555
1965-05-01,-29.402812957763672,-2.170381546020508,-28.606029510498047,-13.346546173095703,0.5523719787597656,-16.781354904174805,-12.404743194580078,-21.18892478942871,-17.319061279296875
1965-06-01,-20.39377212524414,-8.48274040222168,-20.726173400878906,-14.141700744628906,-0.22159957885742188,-10.323980331420898,-14.904268264770508,-14.267166137695312,-14.469215393066406
1965-07-01,-24.19519805908203,-12.48458480834961,-18.068593978881836,-22.595111846923828,-1.8542747497558594,-11.353771209716797,-21.252473831176758,-13.120058059692383,-12.574203491210938
1965-08-01,-23.523880004882812,-5.486244201660156,-17.325580596923828,-18.81486701965332,-2.5288543701171875,-13.401947021484375,-19.787628173828125,-18.4107723236084,-9.100288391113281
1965-09-01,-16.694997787475586,-11.389617919921875,-20.471982955932617,-8.142192840576172,-4.969718933105469,-14.472475051879883,-16.13773536682129,-15.942206382751465,-9.665695190429688
1965-10-01,-10.120304107666016,-17.237590789794922,-26.737089157104492,-1.1047439575195312,-11.068622589111328,-19.466632843017578,-11.678024291992188,-17.164268493652344,-10.374492645263672
1965-11-01,-24.65143394470215,-25.322751998901367,-29.60323143005371,-6.838658332824707,-19.39493751525879,-26.559478759765625,-15.862363815307617,-21.213367462158203,-17.604209899902344
1965-12-01,-17.3809814453125,-36.09645080566406,-26.246633529663086,1.1096324920654297,-25.330902099609375,-26.409576416015625,-15.779266357421875,-32.63068389892578,-16.046489715576172
1966-01-01,-19.526397705078125,-36.932430267333984,-19.41808319091797,-18.807575225830078,-30.093759536743164,-33.43021774291992,-21.476083755493164,-30.86838150024414,-24.011659622192383
1966-02-01,-14.356776237487793,-32.6720085144043,-16.33600425720215,-33.68787384033203,-26.30106544494629,-30.387527465820312,-19.263816833496094,-27.316932678222656,-28.725040435791016
1966-03-01,-33.48109436035156,-27.646806716918945,-37.38374710083008,-10.787276268005371,-21.63691520690918,-33.08065414428711,-24.325119018554688,-17.703081130981445,-33.077369689941406
1966-04-01,-26.307628631591797,-25.903905868530273,-23.993608474731445,-27.31037139892578,-20.268198013305664,-32.580101013183594,-21.807598114013672,-24.0428409576416,-25.577316284179688
1966-05-01,-28.52810287475586,-15.69759750366211,-37.75792694091797,-5.890085220336914,-11.530715942382812,-22.93670654296875,-25.268779754638672,-19.2227840423584,-12.992982864379883
1966-06-01,-24.549959182739258,-7.701915740966797,-23.978836059570312,-14.867172241210938,-6.215034484863281,-13.232589721679688,-14.473297119140625,-14.394521713256836,-21.567989349365234
1966-07-01,-24.732126235961914,-3.405385971069336,-22.503442764282227,-27.815845489501953,-0.9584312438964844,-11.79330062866211,-11.899974822998047,-11.279621124267578,-16.275279998779297
1966-08-01,-20.655508041381836,6.390636444091797,-14.202508926391602,-17.199247360229492,9.712322235107422,-8.392837524414062,-10.221078872680664,-19.80867576599121,-13.949771881103516
