,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11,mgu600_cluster12
1968-02-01,2.811296,1.5816044,-2.616923,-1.6873611,-0.25272065,0.12690774,2.0451093,-0.27460176,-2.3569083,1.5932747,0.35009003,-1.0185436
1968-03-01,1.7077827,0.39275742,0.3530075,-0.19145545,-0.15863419,0.44600028,1.2198448,-0.12982559,-1.5199741,1.5064812,1.3894196,-0.50179595
1968-04-01,1.1119007,0.15462342,0.0007293701,-0.5437336,0.054701995,1.174625,0.1553524,-0.51237106,-1.0232842,1.251572,0.48939666,-0.16848144
1968-05-01,1.1071594,0.16994019,-0.28153077,-0.4554817,0.28189546,0.9109634,0.4985138,-0.8146885,-1.2369846,1.3646218,0.2133358,-0.43651885
1968-06-01,0.7268013,-0.2538147,-0.9401375,-0.5214882,0.2348526,0.5918709,-0.08533478,-0.7990078,-0.4759037,1.8518302,1.2523015,-0.06637116
1968-07-01,0.043761443,0.21443024,2.1326318,0.29247093,0.32565612,0.7140377,0.3329506,0.33878517,0.0043762205,0.81578255,1.7085121,0.28590697
1968-08-01,-0.12471924,0.16993943,1.4652725,0.33039743,0.18635026,0.45694008,-0.15170594,1.0703274,0.17759743,-0.31435165,1.3565991,0.52695847
1968-09-01,-0.41172028,0.6272446,1.5630058,0.38218156,0.33696136,0.803384,-0.14295311,1.6574574,-0.003281784,0.27387238,1.0593868,0.90075266
1968-10-01,0.051784515,0.1294609,1.5104923,-0.59260046,0.2286522,0.74685895,-0.25199205,0.8416748,-0.726437,1.3051792,2.0075479,0.019692231
1968-11-01,1.077256,0.2902832,-0.19182053,0.20968933,-0.43651885,1.2555832,0.39531022,0.22208862,-0.7286251,1.6574577,1.1304992,0.08642845
1968-12-01,1.8908508,0.84276885,0.70273286,0.33039778,-0.3905693,1.4156765,1.258501,-0.413179,-1.0969486,0.81140673,-0.1276371,-0.9689468
1969-01-01,2.2640417,0.5065483,0.6933109,0.21694985,-0.50754356,1.281464,1.417804,0.4644188,-2.20798,1.9910297,1.2582432,-0.9447605
1969-02-01,2.19836,0.48797148,1.7296283,0.6989502,-0.033504486,0.5330868,1.4446747,-0.43190956,-2.0494142,1.3103249,0.73311806,-0.7971417
1969-03-01,1.9837319,0.72946966,-0.35328978,-0.6740707,-0.6292877,1.3395164,1.6390667,-0.93016434,-1.482823,1.4702173,1.394915,-0.51981735
1969-04-01,1.0363175,-0.22093086,1.5199764,-0.28959846,-0.066345595,1.2496182,0.21097907,0.6561573,-1.4241072,1.4931066,1.7641281,-0.16851768
1969-05-01,0.40868872,0.3785015,1.2589066,0.5417112,-0.09520607,0.8021177,0.2487957,-0.55531234,-0.871117,1.8099064,1.9681408,-0.19339713
1969-06-01,0.43821257,0.47238046,0.8721123,-0.24348812,0.14629212,1.1305279,0.4027172,-0.49327928,-0.8077572,0.8595066,1.9276699,0.05738907
1969-07-01,0.033504486,0.48896638,1.0847496,-0.2272335,0.12539291,1.0721439,0.10482597,1.4546261,0.07895126,0.7457241,1.5504955,0.6249752
1969-08-01,0.39143866,0.40802497,0.50588495,0.6846859,0.10084534,0.4000637,0.5271152,1.1597198,-0.08591767,0.4027176,0.933482,0.069662854
1969-09-01,-0.0066345213,0.2753338,0.6020859,0.208325,0.15359001,0.24945907,0.11709976,2.241816,-0.31978568,0.93514025,1.8769156,0.7858631
1969-10-01,0.8598385,-0.33106422,0.7832092,0.68037355,0.2338684,0.2909252,0.17581558,0.010947037,-0.79415625,1.2980506,1.2433157,-0.040470887
1969-11-01,1.5601155,-0.15690765,0.5486776,0.70060885,-0.14994088,1.2486233,0.07132111,0.5596247,-0.7855314,2.0646737,1.6453698,-0.01227417
1969-12-01,1.809243,0.4212944,0.04013939,-0.31646806,-0.8090836,0.8359537,0.94575614,0.24050255,-0.98191416,2.9231849,2.1330094,-0.92485696
1970-01-01,3.0753484,1.6476628,-1.5265255,-0.36041564,-0.38171464,0.31182784,2.1857905,-0.813681,-1.6849358,1.599075,0.08918877,-0.8476261
1970-02-01,2.9382377,0.53413427,-1.3052177,-0.3510975,-0.15308532,1.0522941,2.0134034,0.04326286,-2.0167313,1.6959178,0.65427285,-0.9504593
1970-03-01,2.782157,0.7680885,-1.6127193,-1.8945961,0.05923767,1.1940647,1.9495068,-0.3580864,-2.7861507,2.2463589,1.3408264,-1.0765884
1970-04-01,1.5598049,-0.40733987,0.6016914,-0.27987975,0.73414344,1.1624492,0.5168293,-1.290575,-1.1667755,1.9278749,1.1121972,-0.88290215
1970-05-01,0.6169998,0.67557144,0.99804914,-0.2346199,0.38171464,0.99172574,0.15308532,-0.5311392,-0.9764172,0.94213945,0.69121325,-0.48088723
1970-06-01,0.9068634,-0.10982208,-0.47522965,-1.5355113,0.36440963,1.3701127,0.026290894,1.0569532,-0.7294842,1.9195553,2.4220738,0.29951477
1970-07-01,-0.030617142,0.86526453,1.7774525,0.11947288,0.051250458,1.0096966,0.29452246,1.2579609,-0.38204765,0.28054506,0.78106725,0.17105599
1970-08-01,-0.65760076,0.9291607,1.5478245,0.9677647,0.13378295,-0.008985519,0.4406189,0.07687569,0.8253288,-0.11215134,0.3291332,0.26057777
1970-09-01,0.17970887,0.15008965,1.4316794,1.2656151,0.31415787,0.37938538,0.07388039,1.9468445,-0.08386421,0.50251883,0.572073,0.3793846
1970-10-01,0.5577625,0.24194069,1.6123865,0.53280294,-0.018636322,1.8263733,0.0888565,0.6732418,-0.5404571,0.8842335,0.76243097,0.28487167
1970-11-01,1.8842793,-0.19834518,-0.14077187,-0.0046592713,0.21298829,2.079296,0.56009215,-0.23162422,-1.1624492,2.306262,0.65061224,-0.65593684
1970-12-01,2.448032,0.09950562,0.23994446,-0.027954865,-0.5627548,1.7661374,1.2912407,-0.27089423,-1.4399993,2.7332368,1.51754,-1.687598
1971-01-01,1.9368671,1.4508537,-1.0706666,-0.68492603,-0.036254883,0.12346306,1.8950596,-1.1415431,-1.7239097,1.3597263,-0.20217896,-0.8786125
1971-02-01,2.6887505,1.3081204,-0.9896641,-0.70256346,0.10615158,0.43146744,2.2324595,-0.45727044,-1.2676189,1.3254311,-0.14534645,-1.1529751
1971-03-01,2.257283,0.310944,0.41187018,-0.6679413,0.0777359,0.37659472,1.287543,0.6620623,-0.9282589,1.3989208,1.6301693,-1.2235253
1971-04-01,0.960268,0.09014778,1.4096997,0.50920296,-0.19825935,1.0102412,0.64769095,-0.15220566,-0.9922768,1.3136727,1.0703394,-0.6405052
1971-05-01,1.1023483,0.0901474,0.69374466,-0.19662647,0.19629936,0.98443794,0.3955391,0.23157501,-1.5576591,1.361686,1.4074131,-0.67055434
1971-06-01,0.7956505,0.32204896,0.2658701,-1.2986482,0.29330635,1.8568447,-0.11333771,1.1232523,-0.3752884,1.699413,1.8996322,0.20381203
1971-07-01,0.13228187,0.4752346,1.9048582,0.10680542,0.24268036,0.94034386,0.11595078,1.9358871,0.5513374,0.55231744,1.0484558,0.46543616
