,r100_cluster1,r100_cluster2,r100_cluster3,r100_cluster4,r100_cluster5,r100_cluster6,r100_cluster7,r100_cluster8,r100_cluster9,r100_cluster10,r100_cluster11,r100_cluster12
1968-10-01,90.49794,22.565643,70.6132,97.77646,10.091404,80.63605,58.82464,50.89263,52.407246,89.39055,96.27956,71.93144
1968-11-01,93.21008,12.302963,78.44541,97.53342,4.7733536,89.43562,45.859478,33.76188,47.393406,96.13952,90.08267,63.086807
1968-12-01,70.50214,5.9274216,38.320206,101.464005,4.625271,80.05338,40.122936,27.74366,19.943638,70.3283,97.64287,51.443108
1969-01-01,72.56909,5.657917,43.23205,84.1886,4.031887,73.8542,31.926722,24.884497,22.817284,69.87854,77.41542,47.842754
1969-02-01,78.352936,5.96875,51.462463,97.98394,3.365097,68.73046,31.455458,24.167572,23.093021,88.31968,83.25944,46.2936
1969-03-01,73.090485,4.397869,32.167366,96.06713,3.4118881,78.02205,22.738739,15.337215,15.285412,68.51989,83.79086,34.065796
1969-04-01,74.39232,6.4249725,34.784386,96.60524,5.2568398,82.95027,28.84178,19.202587,18.3503,69.22512,77.96189,41.54586
1969-05-01,102.14009,10.360531,46.350418,82.03114,4.690319,89.85881,51.382248,30.6015,34.70083,64.71301,94.38428,70.21444
1969-06-01,103.80623,14.100567,44.983418,85.52719,4.7020187,67.6158,70.6974,41.333626,35.770367,65.80929,70.475136,85.06929
1969-07-01,93.4735,15.746647,25.751823,69.45406,13.064453,55.93112,82.03783,57.667446,16.553814,47.9213,76.05511,81.489685
1969-08-01,81.063545,23.88849,32.78235,61.19023,18.107983,52.015617,69.15827,58.31585,23.91523,44.07097,58.447872,76.095215
1969-09-01,82.104675,25.942333,53.146984,81.21729,21.020798,56.360607,78.2744,77.1447,39.761074,71.82041,80.69589,86.959366
1969-10-01,95.18977,19.86102,82.303535,87.34373,6.0690193,68.83574,64.32698,43.352375,63.16887,94.92239,75.13097,78.916115
1969-11-01,93.60051,21.958313,78.53008,97.35391,4.7053604,82.61437,60.5084,51.619553,50.536648,94.7887,90.18468,78.47493
1969-12-01,80.674164,11.371578,70.42166,101.247696,4.4897804,78.444855,56.547775,40.965973,43.54957,92.48084,95.41371,73.23922
1970-01-01,76.632385,5.888565,55.19923,92.591,4.07806,75.19259,36.51824,25.34738,29.713118,76.240166,74.15494,54.724262
1970-02-01,71.510345,7.159561,57.98119,96.49501,4.2170753,62.121857,40.759857,31.346546,36.04493,82.40483,86.69279,56.58111
1970-03-01,79.824776,4.8856735,62.28735,103.142914,3.498829,68.56289,48.162415,35.705666,31.358131,85.8951,80.9551,66.19136
1970-04-01,86.42468,6.0855064,44.72179,91.08501,4.2766533,80.483444,32.05652,18.625004,25.239809,75.02048,78.93276,49.635315
1970-05-01,102.76559,9.400356,33.903435,84.69858,5.584057,87.10983,54.8881,34.490936,25.703192,57.92823,92.304695,69.11398
1970-06-01,100.733315,15.225754,50.846733,89.726295,7.8265038,80.25009,70.16653,47.616283,40.233585,61.301003,89.84214,76.02171
1970-07-01,88.21864,16.860836,31.373026,71.8645,10.188107,63.819824,70.4396,54.48264,19.018879,55.588142,81.57405,77.59391
1970-08-01,91.27367,19.773533,20.788013,79.77512,21.349037,64.301414,74.970825,60.12103,12.854221,43.97872,77.68328,78.05895
1970-09-01,100.66878,27.61796,35.220764,85.075905,18.995712,86.61335,86.04239,61.14875,28.958464,48.453686,82.4611,82.00102
1970-10-01,96.587685,22.335384,59.055244,95.63444,10.605152,91.14293,67.361404,60.675434,45.678345,85.565765,99.44246,88.437096
1970-11-01,92.35434,10.686245,62.242664,99.77345,5.9415245,95.48053,55.823143,43.250546,38.843437,89.83055,102.68945,70.05399
1970-12-01,71.237274,6.7474823,56.898857,100.576096,4.1955605,73.19673,49.07263,35.387917,30.100374,77.979515,107.56161,55.551735
1971-01-01,65.544556,4.477707,45.920937,98.95779,2.3949814,66.31543,42.72415,23.644882,26.040358,82.37373,98.35089,58.85853
1971-02-01,71.51718,5.1927986,55.847702,99.60864,3.6780891,60.72994,53.43532,37.158943,24.833323,81.697525,93.96736,66.185265
1971-03-01,84.121735,7.617012,65.186165,104.02091,4.6924057,62.682495,49.075455,33.015465,38.673653,89.87291,98.87664,62.883667
1971-04-01,83.74475,9.228085,42.58722,106.92523,5.1403923,85.41499,35.67466,26.065716,24.591578,67.88593,93.60727,49.844646
1971-05-01,103.684494,10.37257,48.968952,91.76798,4.9358406,86.55609,50.96546,29.852493,29.396051,70.895065,95.69338,66.40165
1971-06-01,92.971634,11.4900055,31.362133,65.573296,8.107265,81.790504,70.50287,56.86371,26.809547,41.04377,84.97545,76.260796
1971-07-01,86.44621,23.697289,22.745525,64.90553,24.956732,72.34385,67.017,63.60045,18.586834,38.022804,75.18562,82.92484
1971-08-01,78.390854,28.307352,30.148335,69.74889,20.664486,64.74325,67.33313,56.80792,22.246819,40.646496,71.400536,74.179756
1971-09-01,95.77791,34.45072,66.16836,81.26306,13.855053,85.15127,86.199394,63.720478,51.78875,70.376076,85.196915,90.27356
1971-10-01,99.841934,23.430187,58.440968,92.410385,8.404797,90.67928,73.80277,53.344032,52.248573,75.966644,97.03904,84.515625
1971-11-01,85.185074,15.156757,74.58379,102.227264,6.8123245,74.50434,56.34979,43.170452,48.617325,94.91405,102.18331,71.71835
1971-12-01,68.051605,9.988819,52.262096,103.15198,4.2139854,82.69493,44.554993,34.98324,31.441587,72.64814,98.251144,57.27281
1972-01-01,62.399082,6.394615,47.540623,99.02189,3.8071404,70.5922,35.796227,27.17403,22.502928,73.573,84.904564,50.05333
1972-02-01,78.908844,4.6327934,50.287373,105.36867,3.1228905,65.84471,51.691628,31.928022,23.41472,78.92998,92.02336,70.4443
1972-03-01,85.33039,5.300789,55.97591,97.24869,3.9420433,69.69504,44.088493,26.632807,24.997759,82.27646,84.875305,63.136967
1972-04-01,87.05646,7.738735,37.2785,89.22298,5.666481,77.2803,38.75752,26.005442,19.536762,66.800385,78.678055,56.505756
1972-05-01,96.67821,12.209927,54.92922,91.89496,6.223957,79.80763,64.672874,43.030422,28.804203,86.21293,84.05291,80.32285
1972-06-01,94.88388,18.818382,71.15293,83.11186,7.213764,73.21868,80.39599,70.007095,44.194138,92.38093,88.25592,96.4913
1972-07-01,89.12546,19.102806,62.06752,87.534294,16.39344,74.37752,70.11924,59.31752,39.97324,93.12531,80.30985,90.633736
1972-08-01,85.80173,30.019924,40.00087,71.10255,19.362854,65.04019,77.68987,53.455074,26.291494,58.293583,65.96173,80.47563
1972-09-01,86.86467,28.878967,68.31841,87.8496,9.835365,79.58334,62.273933,44.540325,45.86494,91.75844,77.50621,74.793594
1972-10-01,87.23199,22.150238,88.2738,87.90324,5.897274,76.106834,60.396717,42.708614,64.94592,100.12384,77.51434,68.23877
1972-11-01,91.88034,11.868614,66.3128,90.23717,6.0663033,86.86467,53.772007,40.379566,39.76195,87.443275,89.41313,69.6349
1972-12-01,82.6129,5.8533897,52.107704,94.26627,3.4690819,88.42171,28.082571,20.243767,26.67669,87.31163,73.73878,43.724426
1973-01-01,62.435688,4.9294815,47.53567,90.82175,2.6796188,82.62863,33.496193,20.289322,23.066345,79.11588,87.54384,45.564987
1973-02-01,60.2433,4.8440857,43.653427,96.21649,3.932644,63.332348,27.792704,22.530977,19.721111,83.865234,70.43831,39.64144
1973-03-01,65.89916,4.0755196,48.98741,97.63539,3.5319405,62.68859,37.690464,29.219807,23.343884,79.997765,84.88506,49.512924
1973-04-01,83.52036,7.8116074,26.040436,95.24922,4.065666,83.23297,25.577326,18.427029,16.724026,48.302597,92.60686,35.966118
1973-05-01,101.30907,8.749325,39.725197,81.50534,4.84573,91.02539,65.67746,38.953342,26.925602,61.532455,92.68897,81.02745
1973-06-01,101.58004,10.6740265,49.33228,82.3281,5.622509,87.75405,73.07246,48.51116,44.440056,62.911934,93.23419,85.53867
1973-07-01,92.93859,13.608704,20.130028,67.2146,18.282509,77.12714,73.515854,53.748253,16.699394,32.236595,70.523705,76.596695
1973-08-01,93.25883,30.674828,18.316998,68.26891,23.317608,75.29604,67.34433,50.306126,15.108067,32.647156,74.97909,70.68136
1973-09-01,95.72711,24.716793,43.70598,80.405045,8.713196,74.1202,68.51196,47.038074,39.188183,53.34098,78.61172,73.11515
1973-10-01,89.95958,24.490166,58.42206,82.04892,12.244007,84.169044,72.42213,59.474735,45.24147,73.7507,93.633255,81.10792
1973-11-01,90.44075,11.895851,67.86492,100.31387,4.8703613,83.75192,64.95981,45.765343,46.524055,88.28941,102.31084,77.75775
1973-12-01,79.17829,9.516251,68.78786,106.058426,3.0688286,91.43759,59.7145,36.953102,46.735905,89.595,96.41521,69.0539
1974-01-01,60.39612,4.109764,65.27118,90.95369,3.0124626,62.470085,48.39354,33.989784,29.998842,86.366165,99.17189,62.91297
1974-02-01,69.71989,5.431816,59.49547,101.136795,3.1529312,54.03705,55.81521,35.361412,28.609035,79.152725,97.12436,60.905106
1974-03-01,79.71129,5.3227463,62.154446,99.26609,3.610691,50.677383,48.970284,33.727028,28.855268,87.26021,91.10573,67.86075
1974-04-01,93.71843,11.134819,53.880054,93.14334,4.3956604,87.78903,38.759087,26.908546,31.160595,78.465256,93.56474,56.507633
1974-05-01,92.578156,13.246796,53.2967,90.70911,6.507637,82.71565,59.059193,37.456867,38.21374,80.451645,89.34244,69.64387
1974-06-01,95.256966,19.58273,65.110886,87.01232,5.3706703,67.302185,72.91264,44.001022,45.985752,80.11948,86.53473,80.07981
1974-07-01,87.26517,19.057213,55.91932,76.76477,12.793991,65.181946,82.505775,63.045177,36.134815,74.56025,77.128334,85.13997
1974-08-01,94.65874,27.516691,46.521183,75.274155,18.92831,70.04544,67.279045,54.417137,29.929436,62.118088,83.1321,85.62417
1974-09-01,101.1401,26.288836,56.038303,80.67308,12.926197,85.60103,89.182144,64.16892,42.700455,69.38607,86.52977,91.66099
1974-10-01,87.36432,31.542337,73.39684,94.162964,15.679371,84.15504,85.89354,74.90563,62.579155,87.237076,99.908936,91.05945
1974-11-01,95.91138,13.7971,65.33067,100.58318,7.631382,95.422226,57.533875,44.751286,45.15286,82.21823,101.70362,71.51622
1974-12-01,66.13712,9.39632,60.487007,105.301254,6.1754723,57.09264,42.99461,36.12986,30.864786,87.622116,95.90312,52.526604
1975-01-01,63.820023,5.262951,47.263695,95.6914,3.402687,83.29679,30.745235,24.876358,24.636005,83.70835,85.552155,39.718937
1975-02-01,75.863976,3.5162811,49.695206,92.78906,2.526886,67.41049,34.635323,21.771534,23.998907,75.77179,78.339935,54.11209
1975-03-01,73.063705,3.8340073,45.04126,108.80542,2.7408981,52.25677,45.72116,23.526434,20.319542,81.37398,92.3808,69.16539
1975-04-01,86.243576,7.2203407,36.133408,90.65059,5.2300262,82.50001,31.625978,21.555874,18.59098,69.47818,87.155594,43.49214
1975-05-01,97.28003,8.797447,33.75293,91.51486,4.2537994,86.54978,58.947124,33.203087,24.377544,52.15141,100.00293,75.3273
1975-06-01,99.31973,13.273598,48.595512,70.44124,4.9715652,78.102875,68.576035,42.4336,36.757336,62.20505,73.73867,73.02585
1975-07-01,84.686226,19.631409,34.71599,55.927906,17.084663,66.69931,68.7884,44.443672,32.505074,33.96859,69.66585,65.77741
1975-08-01,82.29093,22.724712,21.228271,63.541805,24.45492,74.80544,82.12302,61.441193,16.734013,33.03846,77.790085,84.44588
1975-09-01,94.494576,34.2073,46.657875,71.92286,23.179075,74.22102,69.59836,59.43112,40.948685,53.15562,90.56334,76.372665
