,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,sst_cluster11,sst_cluster12
1968-05-01,25.46109,13.49054,28.931793,20.586212,15.440796,17.015625,28.627106,23.694366,26.603668,11.368164,19.08014,14.281403
1968-06-01,27.768463,14.719147,29.50058,22.611145,16.943909,18.773956,29.455597,26.126862,28.57962,16.382538,20.225159,18.664642
1968-07-01,28.636993,17.165497,29.50357,24.885376,19.58908,22.509277,29.8844,28.055847,29.290375,21.206451,23.9664,22.639832
1968-08-01,28.239838,20.200409,29.510986,26.95929,22.80603,25.500183,29.596039,27.94751,29.06186,24.020782,26.437958,24.205292
1968-09-01,28.734924,19.286377,29.363586,26.408783,22.41925,24.754303,29.396729,28.021698,29.318573,21.77478,25.695557,23.233887
1968-10-01,27.351013,17.459778,29.192932,24.805237,20.359192,22.76944,29.22113,26.42163,28.245758,18.05133,24.040588,20.143036
1968-11-01,26.881134,16.540314,29.351715,22.640839,18.882782,20.60254,28.252197,25.46408,27.795166,14.669189,22.445465,17.90445
1968-12-01,24.671204,14.154297,29.29483,21.221802,16.25293,18.228912,27.299072,23.042938,25.786072,10.072266,19.939758,15.098022
1969-01-01,23.891418,12.927795,28.293915,19.847382,15.323364,16.728302,26.92743,21.569183,25.222534,6.0779724,18.535248,11.460846
1969-02-01,23.08487,11.282898,28.182129,19.792511,14.204559,15.882263,26.70285,21.108215,24.497498,4.272064,18.0112,9.607239
1969-03-01,23.508392,10.991669,28.072906,19.32846,13.475952,15.479767,26.967407,21.884003,24.890778,4.5227966,17.477966,8.755035
1969-04-01,24.400604,11.84436,28.556946,19.559204,14.362488,16.287354,27.850891,22.762878,25.989594,6.0969543,18.33731,9.9010315
1969-05-01,26.050629,12.855499,29.240967,21.796844,15.272614,18.408081,28.513367,25.225616,26.71875,9.992828,21.004639,14.146606
1969-06-01,27.608368,14.06662,29.289154,23.924255,17.286194,19.445374,29.266602,27.311462,28.483612,14.601929,23.154602,17.760986
1969-07-01,28.099579,16.922638,29.325043,26.112152,20.871857,23.377655,28.723602,27.984192,28.997894,19.844818,25.560425,21.48816
1969-08-01,28.596954,20.208344,29.521423,28.184692,22.673126,25.213287,28.056,28.426697,29.431702,23.46225,26.314697,24.471863
1969-09-01,29.23993,19.629974,29.641418,27.758606,22.523407,24.502625,28.673859,29.19635,29.633728,22.188599,25.611206,24.121155
1969-10-01,28.194946,16.809845,29.37735,24.872314,20.010437,21.962463,29.196869,27.711426,28.947662,17.655884,24.026794,20.167328
1969-11-01,26.355713,14.78653,29.085083,23.020782,18.383972,19.966858,28.804596,25.381989,27.681671,13.368256,22.006042,17.220032
1969-12-01,25.270721,12.7847595,29.196869,20.86673,16.08841,17.847137,27.96112,23.63147,26.463379,9.480072,20.248352,14.159424
1970-01-01,23.82132,10.215118,28.651703,19.636139,13.831024,15.980438,27.198608,21.387817,25.086914,5.739624,18.23471,11.420258
1970-02-01,23.443207,10.275024,28.430084,18.024994,12.868683,14.769104,27.007477,20.7359,24.538849,4.826874,16.233063,10.173279
1970-03-01,22.831604,9.582336,28.413574,17.71402,11.787537,14.151825,27.025055,20.48175,24.589447,4.331482,15.555328,8.577606
1970-04-01,24.055847,10.853058,28.74469,19.109772,12.959595,14.702484,27.945557,21.839294,25.894806,7.1255493,16.322937,10.277618
1970-05-01,25.79306,12.811859,28.760681,21.134705,14.507721,16.514587,29.200287,23.910187,27.116486,11.235321,18.562744,13.973602
1970-06-01,27.933167,14.181274,29.117645,22.802155,16.89682,18.942932,29.170319,26.287384,28.454376,15.361603,21.568604,18.031708
1970-07-01,27.899597,17.435608,29.241608,25.779602,20.60263,23.530518,29.150696,27.350983,28.71109,20.664124,25.006836,21.460144
1970-08-01,28.171295,22.242706,29.491638,27.91922,24.983063,25.740875,29.29068,28.054047,28.503448,24.270752,26.854065,25.270813
1970-09-01,28.176453,21.602692,29.317535,27.93161,23.790863,24.449982,28.674927,28.12378,28.682678,23.352295,25.865356,24.128693
1970-10-01,27.295197,19.161438,29.840302,25.958344,21.446686,23.26706,29.229736,26.778656,28.19403,18.438751,24.186035,20.627441
1970-11-01,26.116943,16.962433,29.720459,23.393097,19.358246,20.690979,28.334534,24.864777,27.389221,13.788666,22.329498,17.052307
1970-12-01,24.577057,14.474152,29.14035,20.91568,16.543488,18.349396,27.967255,23.323883,26.515198,8.191223,20.100037,13.931244
1971-01-01,23.92691,12.029633,28.552979,19.51477,14.264618,16.563812,26.929749,22.020538,25.69046,6.1445007,18.48056,11.541931
1971-02-01,22.84671,12.145752,28.338043,18.173187,13.08313,15.481659,26.268585,20.776306,24.83908,5.5159607,16.753052,10.009125
1971-03-01,23.21634,11.100159,28.587555,18.38272,12.850403,15.042877,26.677246,20.74765,25.00064,5.9058228,16.911682,9.975037
1971-04-01,24.661194,11.725739,28.78424,19.802856,13.750702,15.989136,27.335938,22.53592,26.041779,7.6288757,19.021637,11.063599
1971-05-01,26.837341,12.854828,28.940887,21.244751,15.085358,16.446686,28.21054,25.082672,27.964478,10.254211,20.101807,14.367371
1971-06-01,28.014374,14.312042,29.144958,24.208557,17.972076,19.348267,29.11087,26.965332,29.158783,14.949982,22.42276,18.295746
1971-07-01,28.818817,17.58667,29.321838,27.230194,20.82373,23.644257,28.60141,28.4917,29.664795,19.867096,25.812012,22.127747
1971-08-01,29.060944,20.398773,29.52594,28.679962,23.391266,26.143097,28.674042,28.798065,29.466125,22.143066,27.399658,23.98471
1971-09-01,28.36621,19.922943,29.238342,27.082916,22.728638,24.46402,28.79956,27.962982,28.748169,21.297607,26.25772,23.151093
1971-10-01,28.334564,17.234833,29.204742,25.210663,20.855347,22.988037,28.32666,27.755463,28.746674,17.490814,24.737762,20.092407
1971-11-01,26.360016,15.95108,29.344574,23.180267,19.334412,20.928497,28.405731,25.389526,27.538513,13.393433,22.523071,17.455719
1971-12-01,24.893433,13.246185,28.951263,21.512573,16.806427,18.6456,27.645264,23.672913,26.289856,9.847534,20.052887,14.768616
1972-01-01,23.618866,11.349579,28.20279,19.796753,15.7135315,17.561462,27.279327,21.89624,25.488312,8.187439,18.485413,13.381622
1972-02-01,22.601654,11.101379,28.444305,18.320435,14.259674,16.001923,27.350586,20.74414,24.525116,6.351471,17.29602,11.698212
1972-03-01,22.106659,11.574371,28.445282,18.759918,13.538971,15.027252,27.01294,20.157349,24.292236,7.0803223,16.042084,11.535126
1972-04-01,22.21762,11.322327,28.384521,18.776184,13.916779,15.719757,27.537079,20.824982,24.40509,8.486359,16.862274,12.164032
1972-05-01,24.55429,12.804871,28.813995,20.932098,15.609741,17.840271,28.267853,23.4682,26.025848,11.521759,19.307983,14.996643
1972-06-01,26.262085,14.783356,28.566742,23.341003,18.183655,21.163086,28.561493,25.89386,27.112396,16.563843,22.262085,19.105713
1972-07-01,27.799164,18.1669,28.49405,26.301788,21.54425,24.414185,27.841736,27.83313,28.221924,21.80011,25.538055,22.802979
1972-08-01,27.998596,21.348175,28.25827,26.627472,23.937378,25.6557,28.052155,28.221466,28.57965,25.18988,26.319977,25.154022
1972-09-01,28.309448,20.910583,28.672424,27.110962,23.821167,24.401276,28.581573,28.243927,28.378784,21.500732,25.923492,23.235779
1972-10-01,27.085144,18.537079,28.720734,24.79007,21.366333,23.056915,28.88382,26.200409,27.870422,17.613586,23.956024,20.562408
1972-11-01,25.931152,16.010986,28.822601,23.305145,18.131989,21.229095,28.448608,24.81015,27.140137,13.170258,21.975159,17.14682
1972-12-01,25.053589,13.2438965,28.517487,21.172668,16.562408,19.232422,27.803467,23.250122,26.521301,9.036804,20.078918,14.579132
1973-01-01,23.953888,10.630737,28.10434,20.05249,14.526337,16.847656,26.90921,21.85733,25.451935,7.2332153,18.240387,12.733154
1973-02-01,23.245178,11.0928955,28.146576,19.3685,13.925873,16.211273,26.636871,20.4122,25.169891,6.4749756,17.220978,12.132202
1973-03-01,22.592743,10.396759,27.942688,19.860748,12.891876,15.556915,27.124237,20.183563,24.981567,6.922058,16.74524,11.453064
1973-04-01,24.321869,10.831726,28.647034,21.270905,13.180237,15.80545,27.39804,22.125763,25.913574,9.034668,18.026794,12.884613
1973-05-01,25.660187,12.3880005,28.814514,22.022858,15.577301,17.543304,28.590729,24.100494,26.943665,12.720062,19.394714,15.653503
1973-06-01,27.445618,13.807892,28.860626,23.153412,17.193298,19.208313,29.10965,26.437836,28.311615,17.729706,21.553925,19.724823
1973-07-01,28.24997,17.410278,28.828125,26.560669,20.829163,22.71994,29.045105,27.48639,29.12326,22.991302,23.991272,24.67865
1973-08-01,28.692688,20.944702,29.262085,27.959198,24.455353,25.421356,29.162567,28.180054,29.424225,26.131073,26.639313,26.671356
1973-09-01,28.622284,20.21997,29.644135,27.912598,23.902924,25.490784,28.849945,28.616455,28.981995,22.88208,27.201447,24.52185
1973-10-01,28.132965,18.065613,29.581024,25.887848,21.476746,23.341766,28.579102,27.808716,28.634918,18.038422,25.716003,20.490356
1973-11-01,27.162598,15.58847,29.526154,22.901001,19.164642,20.424316,28.16745,26.04367,27.976196,12.605011,22.889343,17.294739
1973-12-01,25.660675,13.344299,29.302368,20.837433,16.10495,17.807373,27.548523,24.08255,26.824738,7.7604065,20.081604,12.685089
1974-01-01,23.990631,12.3871765,29.03955,19.044525,14.589325,16.233948,26.860931,21.52124,25.415497,5.837555,17.809082,11.050446
1974-02-01,22.828644,10.519836,28.577484,18.48944,12.883026,14.831604,26.741486,20.215332,24.643097,4.6148376,16.889862,9.410706
1974-03-01,22.697937,10.554108,28.712585,17.843353,12.377411,14.362213,27.070892,20.517334,24.770386,5.0152283,16.557495,8.920746
1974-04-01,23.733185,11.411163,28.749786,19.459106,13.093506,15.228577,27.871185,21.316162,25.623047,6.7881165,16.798798,10.736206
1974-05-01,24.857513,12.87323,28.94168,21.853607,14.982361,16.833069,28.529541,22.827179,26.67688,10.182587,18.474762,13.754272
1974-06-01,27.271576,13.237396,29.338623,23.997986,16.049927,18.385681,28.402252,25.191315,28.359192,15.349487,20.804657,18.075836
1974-07-01,28.33374,14.94223,29.276947,26.253479,17.983826,21.473297,28.502594,26.778198,29.19522,19.545746,23.47229,20.463501
1974-08-01,28.417938,19.277008,29.38562,27.919647,22.778229,25.74002,29.171722,28.041046,28.883911,24.087555,26.013641,25.2995
1974-09-01,29.17807,20.444397,29.320526,27.351868,23.522705,25.889801,28.76889,28.638672,29.282349,22.646545,26.53247,23.347961
1974-10-01,28.488403,17.531555,29.325409,25.80072,20.390564,23.287262,28.456116,27.614227,28.751251,17.715118,24.512909,20.176178
1974-11-01,27.647003,14.621643,29.096344,23.141907,18.270172,20.360718,28.388062,26.165375,28.098785,12.177216,22.537384,16.736633
1974-12-01,26.168793,12.066101,28.626434,21.436096,15.373474,17.912842,27.508484,24.160004,27.09439,9.13855,19.742981,13.966217
1975-01-01,24.247833,11.737427,28.147339,19.75003,13.877899,16.020233,26.707947,21.89331,25.688171,6.392395,17.539795,11.974579
1975-02-01,23.24173,11.324432,28.072845,18.948517,12.76712,14.892029,26.683899,20.828735,24.964478,5.1066895,16.482758,10.886902
1975-03-01,22.919708,11.002869,28.3779,18.508636,13.012756,14.932556,27.079956,20.779236,25.236023,5.9520264,15.715668,10.492279
1975-04-01,24.150238,11.495087,28.566498,19.515717,14.123993,15.473328,27.542938,22.35254,26.025269,8.23819,17.208801,12.074982
1975-05-01,25.825378,13.262146,28.971008,20.874481,15.577545,16.69397,28.451447,23.989471,27.289276,12.620483,18.266785,15.203644
1975-06-01,27.805542,14.3220215,28.919617,23.337433,17.445007,18.72931,28.969574,26.545776,28.822968,18.275269,20.601013,19.581726
1975-07-01,29.056824,16.294159,28.952606,26.194519,19.771729,22.428925,29.155823,28.098785,29.424072,20.981018,24.308197,22.840027
1975-08-01,28.786194,21.431763,28.967712,27.67212,23.720734,25.238403,28.83899,28.285492,29.071411,25.651398,26.315704,26.409515
1975-09-01,28.466522,21.993744,29.251526,27.484924,23.862183,25.774933,29.096405,28.45285,28.739044,24.055481,25.955505,25.931458
1975-10-01,28.091248,18.125336,29.37033,25.722107,20.21347,23.826355,29.171387,27.621674,28.847015,19.806122,24.488739,22.265778
1975-11-01,27.023376,16.473328,29.26944,22.49585,18.85611,21.14746,28.70227,26.064392,27.917755,15.185272,22.879639,18.26065
1975-12-01,25.635834,13.55304,28.890839,20.557648,16.7529,18.621338,27.474548,24.236511,26.630157,11.183929,20.49353,15.363495
1976-01-01,24.143799,11.759155,28.389893,19.176239,14.169342,16.062897,26.67038,22.198547,25.496338,7.2018127,17.856018,12.363831
1976-02-01,23.14682,10.600067,28.049255,17.819702,13.24646,15.023651,26.282501,20.703308,24.446655,6.350006,16.656616,11.070953
1976-03-01,23.14383,9.891968,28.427185,18.267242,12.994354,15.303101,26.709167,21.061829,24.83548,6.8218994,16.932098,10.634369
1976-04-01,24.02945,10.106293,28.713593,19.45221,12.805389,15.44928,27.529144,22.295013,25.619171,9.112274,17.333893,12.667145
1976-05-01,25.566956,11.307159,28.53012,21.316925,14.156921,16.873932,28.15866,24.155731,26.54654,11.966522,18.863953,14.943085
1976-06-01,26.59726,14.237488,28.771759,23.17218,16.292633,18.581512,28.261078,25.319824,27.523651,16.755096,20.467102,19.391052
1976-07-01,27.7146,16.897308,28.53656,24.926483,19.01065,21.408905,28.642487,26.911041,28.051239,20.618774,23.382507,22.247772
1976-08-01,27.777252,18.523834,28.691711,27.65445,22.182648,23.41632,28.699188,27.372986,28.23175,23.457092,25.069702,25.106506
1976-09-01,27.60968,18.908203,28.845856,27.557983,22.428772,24.015015,28.401306,27.351624,28.164124,21.692352,25.571442,22.65155
1976-10-01,27.203918,17.118073,29.280975,24.836975,19.98227,22.89273,28.947296,26.936401,27.824982,18.297577,24.311401,20.095642
1976-11-01,26.839935,15.392609,28.963715,22.45514,19.303528,20.967834,28.522156,25.979187,27.44809,11.8750305,22.626678,16.38263
1976-12-01,25.395416,12.437408,28.541534,20.535736,16.737183,18.703827,27.570892,23.937958,26.80066,9.52301,19.528778,13.98587
1977-01-01,23.627533,10.666748,27.930115,18.9216,13.803558,16.067963,27.098114,21.852112,25.36502,6.7086487,17.203583,11.894318
1977-02-01,22.708923,10.335876,28.039093,18.131927,12.753082,14.734314,27.237274,20.128235,24.668274,4.6729126,16.280579,9.496094
1977-03-01,22.822784,10.738739,28.38211,18.70459,12.940887,14.3567505,27.67517,20.624542,25.074554,5.34433,15.756073,9.644989
1977-04-01,23.560883,11.216064,28.369476,19.997375,13.879456,15.756073,27.87854,21.300354,25.846222,7.8763733,16.849854,11.049164
1977-05-01,24.570465,12.03833,28.93097,21.934814,14.565491,17.2211,29.052094,23.076263,26.75705,11.569305,18.432617,14.3567505
1977-06-01,26.413055,15.262726,28.990326,23.55017,16.762756,17.962128,29.833038,25.485687,27.701447,16.132202,20.04309,18.439423
1977-07-01,27.53894,17.008484,29.26474,26.238373,19.971588,20.950043,29.538177,27.535034,28.295044,22.220428,23.557465,23.300568
1977-08-01,27.960785,21.726074,29.338684,27.058228,23.733124,24.883331,29.141144,27.960785,28.539764,24.580688,25.80243,24.524261
1977-09-01,28.0318,22.459808,29.847137,26.529816,23.45578,24.711578,28.60498,28.277039,28.622467,22.537659,25.957642,23.365753
1977-10-01,27.431885,18.483704,29.611633,25.194733,21.262878,23.488373,29.20633,27.42215,28.035217,18.154297,24.885773,21.10669
1977-11-01,26.182434,15.52594,29.207794,23.596405,18.2117,20.934479,28.768463,24.86969,27.238739,15.323059,21.849182,18.628693
1977-12-01,24.810822,13.15741,28.90567,21.21521,15.924438,18.56009,27.645966,22.652954,26.466095,11.355713,19.771118,14.818024
1978-01-01,23.59671,10.663971,28.345673,19.988373,13.745056,16.929047,26.988556,21.14685,25.09497,7.0783386,18.26007,12.136139
1978-02-01,23.228912,9.58139,28.0112,18.970032,12.170441,15.309021,26.4516,20.623444,24.319733,4.8725586,16.722198,9.827393
1978-03-01,22.80362,9.809021,28.021362,18.345123,11.578888,14.606293,27.139343,20.200043,24.785645,5.693207,15.680206,10.04245
1978-04-01,22.894958,9.660645,28.618744,18.896088,11.6441345,14.600983,28.176025,20.65097,25.431824,7.3451233,16.068787,11.2395935
1978-05-01,24.892944,11.482697,29.162445,21.812836,13.758087,16.189606,29.120392,23.259857,26.635742,11.014862,17.889862,14.728577
1978-06-01,27.53952,14.078522,29.331604,24.500488,17.253357,19.805206,29.10202,26.083313,28.41333,15.638153,22.159363,18.205475
1978-07-01,27.394531,19.523438,29.123291,27.542908,22.332397,24.373383,29.348022,27.127258,28.065338,22.740295,25.48352,23.877045
1978-08-01,27.971588,22.365265,28.957031,27.709625,25.147156,26.034027,28.749695,27.913116,28.536072,26.152435,26.89624,26.648285
1978-09-01,28.36789,20.842865,29.446136,27.532257,23.74701,25.468567,28.749695,28.382874,29.010681,22.680359,26.65216,24.011383
1978-10-01,27.811615,17.988953,29.677643,25.653168,21.549927,23.254059,28.427826,27.49408,28.208893,17.6922,25.271362,20.40207
1978-11-01,26.176117,14.962494,29.5578,23.28064,19.146942,20.87909,28.56363,25.12735,27.18283,13.509186,22.300964,17.101105
1978-12-01,24.835419,12.881378,29.161957,20.893127,16.480072,18.979218,27.736206,23.250671,26.291626,10.3454895,20.156067,14.710693
1979-01-01,23.461578,11.325897,28.758636,19.371857,14.275909,17.147125,26.709442,21.912811,24.499695,7.0161743,18.352081,12.5095825
1979-02-01,23.030731,10.643158,28.305084,19.225342,12.786652,16.593475,26.759247,21.110168,24.01715,6.0573425,18.005402,10.468597
1979-03-01,23.11972,9.151947,28.473358,18.424622,11.287689,15.581451,26.91156,20.976227,24.542755,5.7633667,17.147125,10.531952
1979-04-01,23.199005,9.843384,28.387299,19.425537,12.407074,15.699921,27.77127,21.344177,25.308167,7.554352,17.05719,10.822052
1979-05-01,24.200409,11.290131,28.63971,20.871277,14.567505,16.499207,28.857788,22.581055,26.381134,11.554596,18.001038,14.666138
1979-06-01,26.299896,14.1796875,29.137726,23.42096,17.424683,19.758698,29.466553,25.288818,27.279999,17.147125,21.163818,19.494202
1979-07-01,27.325958,16.813965,29.512482,26.111816,20.732025,23.148224,29.222351,27.019379,28.544434,20.297333,24.364807,21.756622
1979-08-01,28.094269,20.968475,29.490723,28.291565,24.737122,25.67276,28.762512,28.320099,28.95691,23.61969,26.364685,24.47409
1979-09-01,28.170197,19.736938,29.570496,27.499542,23.769104,25.00644,29.54245,28.418243,28.924988,21.212189,26.061035,23.38034
1979-10-01,27.712769,18.391754,29.374664,25.707092,22.212616,23.56842,28.268341,27.455048,28.226288,18.82788,24.693115,20.692383
1979-11-01,25.664062,16.873932,29.282318,23.223663,19.673096,20.854858,28.364563,24.980835,26.643677,14.629852,22.544312,17.790222
1979-12-01,24.34497,14.539459,28.7659,21.405579,16.725006,19.111725,27.169281,23.056854,25.505463,10.471008,19.978699,14.753174
1980-01-01,22.52652,11.736511,28.495361,19.590363,14.556885,16.395874,26.88797,20.668243,23.908752,6.360565,17.689026,11.528656
1980-02-01,21.22052,10.646301,28.190521,18.484314,13.356293,15.339783,26.584106,19.399353,23.118896,5.4470215,16.692322,10.074188
1980-03-01,22.579987,10.475555,28.430542,18.216553,12.83963,14.962677,27.493225,20.285187,24.453125,5.5781555,16.626984,9.51944
1980-04-01,23.643005,10.824951,28.467651,20.440094,13.627472,15.498657,28.07669,21.486786,25.486938,7.852173,17.17334,10.5789795
1980-05-01,25.096985,11.522736,28.799225,22.4122,14.686554,17.439606,28.62503,23.89093,26.295105,10.6651,19.395874,14.240143
1980-06-01,26.72464,14.32428,29.405457,24.973755,17.80185,20.747406,29.561829,26.119415,27.896545,15.464996,23.091187,18.126984
1980-07-01,28.072235,17.457397,29.216888,27.317535,19.895721,23.135742,28.8779,27.926727,29.074371,20.116425,25.281555,21.055725
1980-08-01,28.663605,21.29477,29.331726,28.13855,22.654694,24.44223,28.965485,27.85202,29.51236,22.358276,25.883362,23.125854
1980-09-01,29.116943,19.707672,29.530151,28.328583,22.10141,24.7164,29.073883,28.744781,29.584595,20.286682,26.143158,21.785675
1980-10-01,27.686218,17.421783,29.162964,25.204865,20.491058,23.695953,28.952637,27.52884,28.174683,16.892242,25.066284,19.268188
1980-11-01,26.929047,15.034454,29.08725,23.509369,18.25122,21.385315,28.903625,25.845245,27.943573,11.854797,22.931854,15.806976
1980-12-01,25.146942,12.680267,28.981323,21.380371,16.244934,18.703522,28.420624,23.830566,26.668732,8.790466,20.690002,13.714569
1981-01-01,23.569427,10.92691,28.70111,19.092957,13.405579,15.9739685,26.677643,21.28711,25.065369,5.090851,17.875397,10.087189
