,50,60,75,90
0,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4
1,mpi_cluster1,mpi_cluster1,mpi_cluster1,mpi_cluster3
2,mpi_cluster3,mpi_cluster3,mpi_cluster3,msl_cluster1
3,mpi_cluster5,mpi_cluster5,mpi_cluster5,msl_cluster3
4,msl_cluster1,msl_cluster1,msl_cluster1,r700_cluster2
5,msl_cluster2,msl_cluster2,msl_cluster3,r700_cluster6
6,msl_cluster3,msl_cluster3,msl_cluster7,sst_cluster3
7,msl_cluster6,msl_cluster7,r700_cluster2,vo850_cluster6
8,msl_cluster7,r700_cluster2,r700_cluster6,w_cluster4
9,r700_cluster2,r700_cluster6,sst_cluster3,PDO
10,r700_cluster6,sst_cluster3,sst_cluster5,month
11,sst_cluster3,sst_cluster5,vo850_cluster6,
12,sst_cluster5,vo850_cluster2,vws850-200_cluster1,
13,vo850_cluster2,vo850_cluster4,w_cluster4,
14,vo850_cluster4,vo850_cluster6,PDO,
15,vo850_cluster6,vws850-200_cluster1,month,
16,vws850-200_cluster1,vws850-200_cluster5,,
17,vws850-200_cluster5,w_cluster1,,
18,w_cluster1,w_cluster4,,
19,w_cluster4,PDO,,
20,PDO,SOI,,
21,SOI,month,,
22,TSA,,,
23,month,,,
