,50,60,75,90
0,abs_vo850_cluster2,abs_vo850_cluster2,abs_vo850_cluster2,abs_vo850_cluster2
1,abs_vo850_cluster5,abs_vo850_cluster5,msl_cluster1,msl_cluster1
2,mpi_cluster2,mpi_cluster2,r700_cluster1,PDO
3,msl_cluster1,msl_cluster1,PDO,
4,msl_cluster6,msl_cluster6,,
5,msl_cluster7,r700_cluster1,,
6,r700_cluster1,sst_cluster2,,
7,sst_cluster2,vo850_cluster3,,
8,vo850_cluster3,PDO,,
9,vws850-200_cluster1,TSA,,
10,vws850-200_cluster2,,,
11,vws850-200_cluster7,,,
12,w_cluster1,,,
13,PDO,,,
14,TSA,,,
