,50,60,70,75,80,90
0,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,mpi_cluster7,mpi_cluster7,mpi_cluster7
1,mpi_cluster7,mpi_cluster7,mpi_cluster7,msl_cluster2,msl_cluster2,msl_cluster2
2,msl_cluster2,msl_cluster2,msl_cluster2,msl_cluster4,msl_cluster4,msl_cluster4
3,msl_cluster4,msl_cluster4,msl_cluster4,r700_cluster2,r700_cluster2,r700_cluster5
4,r700_cluster2,r700_cluster2,r700_cluster2,r700_cluster5,r700_cluster5,vo850_cluster2
5,r700_cluster5,r700_cluster5,r700_cluster5,vo850_cluster2,vo850_cluster2,vo850_cluster7
6,sst_cluster2,sst_cluster2,vo850_cluster2,vo850_cluster5,vo850_cluster5,vws850-200_cluster6
7,vo850_cluster2,vo850_cluster2,vo850_cluster5,vo850_cluster7,vo850_cluster7,vws850-200_cluster7
8,vo850_cluster5,vo850_cluster5,vo850_cluster7,vws850-200_cluster6,vws850-200_cluster6,w_cluster1
9,vo850_cluster7,vo850_cluster7,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster7,
10,vws850-200_cluster6,vws850-200_cluster6,vws850-200_cluster7,w_cluster1,w_cluster1,
11,vws850-200_cluster7,vws850-200_cluster7,w_cluster1,,,
12,w_cluster1,w_cluster1,,,,
