experiment,model,n_clusters,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
test1_linreg_nc5_nv8_nd10,linreg,5,0.7903555236880437,0.8090960913783048,0.8137500719195199,0.791427966971184,0.8143297968201978,0.7910810506166226,0.9687467618312348,0.9960346624363486,0.9948164906206678,0.996329253004953,0.9948344764232924,0.9959501758533956,0.032014437282563,-0.2907544104721626,-0.0149992498931682,-0.3786067082797812,0.0485622301491138,-0.3237377897942296
test2_linreg_nc5_nv8_nd10,linreg,5,0.8097797551061225,0.8093277974379517,0.818937673134418,0.791427966971184,0.8207426441128736,0.7910810506166226,0.9875087940639052,0.9954584603948446,0.9964466868398424,0.996329253004953,0.996942074126844,0.9959501758533956,-0.1503360585717082,-0.3866248773727117,0.1239281961251315,-0.3786067082797812,0.1274462029322304,-0.3237377897942296
test2_linreg_Anc5_nv8_nd10,linreg,5,0.8156143922547155,0.8149335957923007,0.7947405241145318,0.7978194719978354,0.787384029409574,0.7899946072535382,0.991159323614506,0.9942622116078708,0.9910794268530178,0.992257435977532,0.9934328313449676,0.9922893545900316,0.138982292189221,0.2757982594324165,0.0325699799458029,0.0021178059188002,-0.0456485449918659,-0.0144741539225368
test3_linreg_nc5_nv8_nd10,linreg,5,0.7998215590133511,0.8112181771254652,0.810044807362823,0.791427966971184,0.8049177058607584,0.7910810506166226,0.987976590386248,0.9967100892513214,0.995575147323016,0.996329253004953,0.995732707045199,0.9959501758533956,-0.2111010384739996,-0.3523110803134365,-0.0720080182281704,-0.3786067082797812,-0.117095917761126,-0.3237377897942296
test3_linreg_Anc5_nv8_nd10,linreg,5,0.804235345995978,0.8128184254198869,0.7992473527472723,0.7978194719978354,0.7972569613638432,0.7899946072535382,0.9831605650844156,0.9948407458119608,0.9916204944791532,0.992257435977532,0.9927912085404486,0.9922893545900316,0.3037625957040485,0.216974350095417,0.0226482019737926,0.0021178059188002,-0.0237358407136472,-0.0144741539225368
test4_linreg_nc5_nv8_nd10,linreg,5,0.810766816360644,0.8112818379948992,0.8029239755294537,0.791427966971184,0.7962330177711018,0.7910810506166226,0.9941116127644652,0.9962745990234676,0.9968328286764536,0.996329253004953,0.9963563853319044,0.9959501758533956,-0.1645700275249448,-0.3706865601493206,-0.2171184913611732,-0.3786067082797812,-0.3498319694909391,-0.3237377897942296
test5_linreg_nc5_nv8_nd10,linreg,5,0.8164231966519175,0.8109578704789434,0.8038885359144938,0.791427966971184,0.8005788355540036,0.7910810506166226,0.9930679928481542,0.9953845863897752,0.9956754682622044,0.996329253004953,0.9955055350244442,0.9959501758533956,-0.02044764403739,-0.243111411575967,-0.2002534906821257,-0.3786067082797812,-0.1678160268316058,-0.3237377897942296
test5_linreg_Anc5_nv8_nd10,linreg,5,0.7975660263267503,0.8142258187725875,0.7984593147483794,0.7978194719978354,0.7979372305013541,0.7899946072535382,0.9754442871661464,0.9961135932030818,0.992106212995862,0.992257435977532,0.9928714731916778,0.9922893545900316,0.1850182033870162,0.1562972574741956,-0.1204947918379418,0.0021178059188002,-0.1352167082740683,-0.0144741539225368
test1_lgbm_nc5_nv8_nd10,lgbm,5,0.7456104045697061,0.8043352193962112,0.8058326001114553,0.791427966971184,0.8153751845306895,0.7910810506166226,0.9182980181380368,0.9960172853424322,0.994084744436627,0.996329253004953,0.9933073820429912,0.9959501758533956,-0.2271339304779511,-0.3990684526228936,-0.3096415573517447,-0.3786067082797812,-0.2744950236534319,-0.3237377897942296
test1_lgbm_Anc5_nv8_nd10,lgbm,5,0.7870308559625778,0.8133737860930956,0.8015127541323406,0.7978194719978354,0.7970051281537351,0.7899946072535382,0.9615159483999528,0.9959561666118364,0.9928513798732588,0.992257435977532,0.992468948934366,0.9922893545900316,-0.0050128519432968,0.2774131213771257,-0.0124036185280734,0.0021178059188002,-0.1300562461842217,-0.0144741539225368
test2_lgbm_nc5_nv8_nd10,lgbm,5,0.7792434094072531,0.8101812427084013,0.8136919844324549,0.791427966971184,0.8124471617552744,0.7910810506166226,0.9717276023465083,0.9969834785289536,0.9937964365475508,0.996329253004953,0.9929974023978178,0.9959501758533956,-0.3454884331136635,-0.2906013152641887,-0.2412704861276808,-0.3786067082797812,-0.1286731067656972,-0.3237377897942296
test2_lgbm_Anc5_nv8_nd10,lgbm,5,0.2892698562529546,0.8166312878818386,0.8156940119667933,0.7978194719978354,0.8152818583617829,0.7899946072535382,0.3585484760345021,0.9955343128270931,0.9970763399226602,0.992257435977532,0.9968788162953806,0.9922893545900316,-0.4168155264085595,0.1790598309137682,-0.4206167718590042,0.0021178059188002,-0.420787855478562,-0.0144741539225368
test3_lgbm_nc5_nv8_nd10,lgbm,5,0.7505415658337509,0.8129855736885101,0.8045839224198907,0.791427966971184,0.8121862052513603,0.7910810506166226,0.947575918557356,0.9960161173135856,0.9925315595321412,0.996329253004953,0.9930584567690574,0.9959501758533956,-0.2773208888657961,-0.2768939880648413,-0.2958053097925786,-0.3786067082797812,-0.2368222818487886,-0.3237377897942296
test3_lgbm_Anc5_nv8_nd10,lgbm,5,0.2948226236274273,0.8140443377813007,0.8156940119667933,0.7978194719978354,0.8152818583617829,0.7899946072535382,0.3644652772680035,0.9960030722868394,0.9970763399226602,0.992257435977532,0.9968788162953806,0.9922893545900316,-0.3720537558940054,0.1116024210813202,-0.4206167718590042,0.0021178059188002,-0.420787855478562,-0.0144741539225368
