,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,mpi_cluster6,mpi_cluster6
1,abs_vo850_cluster3,abs_vo850_cluster5,mpi_cluster6,mpi_cluster6,msl_cluster1,r700_cluster6
2,abs_vo850_cluster5,mpi_cluster3,msl_cluster1,msl_cluster1,r700_cluster6,w_cluster1
3,mpi_cluster3,mpi_cluster6,msl_cluster8,msl_cluster8,r700_cluster7,w_cluster2
4,mpi_cluster6,msl_cluster1,msl_cluster9,msl_cluster9,w_cluster1,
5,msl_cluster1,msl_cluster8,r700_cluster6,r700_cluster6,w_cluster2,
6,msl_cluster8,msl_cluster9,r700_cluster7,r700_cluster7,,
7,msl_cluster9,r700_cluster1,sst_cluster3,sst_cluster3,,
8,msl_cluster10,r700_cluster6,w_cluster1,w_cluster1,,
9,r700_cluster1,r700_cluster7,w_cluster2,w_cluster2,,
10,r700_cluster6,r700_cluster8,,,,
11,r700_cluster7,r700_cluster10,,,,
12,r700_cluster8,sst_cluster1,,,,
13,r700_cluster9,sst_cluster3,,,,
14,r700_cluster10,sst_cluster5,,,,
15,sst_cluster1,w_cluster1,,,,
16,sst_cluster3,w_cluster2,,,,
17,sst_cluster5,,,,,
18,vo850_cluster1,,,,,
19,vo850_cluster5,,,,,
20,vws850-200_cluster1,,,,,
21,w_cluster1,,,,,
22,w_cluster2,,,,,
