,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1
1,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,mpi_cluster7,mpi_cluster7
2,mpi_cluster1,mpi_cluster1,mpi_cluster1,mpi_cluster1,mpi_cluster8,vo850_cluster1
3,mpi_cluster7,mpi_cluster7,mpi_cluster7,mpi_cluster7,vo850_cluster1,w_cluster5
4,mpi_cluster8,mpi_cluster8,mpi_cluster8,mpi_cluster8,w_cluster5,
5,mpi_cluster10,msl_cluster11,msl_cluster11,msl_cluster11,SOI,
6,msl_cluster11,r700_cluster12,vo850_cluster1,vo850_cluster1,,
7,r700_cluster12,sst_cluster12,vo850_cluster4,vo850_cluster4,,
8,sst_cluster1,vo850_cluster1,w_cluster1,w_cluster1,,
9,sst_cluster8,vo850_cluster4,w_cluster2,w_cluster2,,
10,sst_cluster12,vo850_cluster5,w_cluster5,w_cluster5,,
11,vo850_cluster1,vws850-200_cluster10,SOI,SOI,,
12,vo850_cluster4,w_cluster1,,,,
13,vo850_cluster5,w_cluster2,,,,
14,vws850-200_cluster10,w_cluster5,,,,
15,w_cluster1,SOI,,,,
16,w_cluster2,,,,,
17,w_cluster5,,,,,
18,w_cluster10,,,,,
19,ENSO3.4,,,,,
20,SOI,,,,,
21,month,,,,,
