,50,60,75,90
0,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5
1,msl_cluster1,msl_cluster1,msl_cluster1,msl_cluster1
2,msl_cluster12,r700_cluster2,r700_cluster2,r700_cluster2
3,r700_cluster2,r700_cluster9,r700_cluster9,r700_cluster9
4,r700_cluster9,,,
