,50,60,70,75,80,90
0,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6
1,abs_vo850_cluster10,abs_vo850_cluster10,msl_cluster3,msl_cluster3,msl_cluster3,msl_cluster3
2,msl_cluster3,msl_cluster3,sst_cluster4,sst_cluster4,sst_cluster4,sst_cluster10
3,r700_cluster3,r700_cluster9,sst_cluster10,sst_cluster10,sst_cluster10,vo850_cluster6
4,r700_cluster9,sst_cluster4,vo850_cluster6,vo850_cluster6,vo850_cluster6,vws850-200_cluster5
5,sst_cluster4,sst_cluster10,vo850_cluster10,vws850-200_cluster5,vws850-200_cluster5,w_cluster7
6,sst_cluster10,vo850_cluster6,vws850-200_cluster5,w_cluster2,w_cluster7,w_cluster8
7,vo850_cluster6,vo850_cluster10,w_cluster2,w_cluster7,w_cluster8,NAO
8,vo850_cluster10,vws850-200_cluster5,w_cluster7,w_cluster8,NAO,
9,vws850-200_cluster4,w_cluster2,w_cluster8,NAO,,
10,vws850-200_cluster5,w_cluster7,NAO,,,
11,w_cluster2,w_cluster8,,,,
12,w_cluster7,NAO,,,,
13,w_cluster8,,,,,
14,NAO,,,,,
