,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,mpi_cluster6
1,abs_vo850_cluster5,mpi_cluster1,mpi_cluster1,mpi_cluster6,mpi_cluster6,vo850_cluster2
2,abs_vo850_cluster10,mpi_cluster3,mpi_cluster3,mpi_cluster10,mpi_cluster10,w_cluster5
3,mpi_cluster1,mpi_cluster6,mpi_cluster6,sst_cluster4,sst_cluster4,
4,mpi_cluster3,mpi_cluster10,mpi_cluster10,vo850_cluster2,vo850_cluster2,
5,mpi_cluster6,r700_cluster3,sst_cluster4,vws850-200_cluster1,vws850-200_cluster1,
6,mpi_cluster10,sst_cluster4,vo850_cluster2,w_cluster5,w_cluster5,
7,r700_cluster3,vo850_cluster2,vws850-200_cluster1,SOI,SOI,
8,sst_cluster4,vo850_cluster10,w_cluster5,,,
9,vo850_cluster2,vws850-200_cluster1,SOI,,,
10,vo850_cluster3,w_cluster5,,,,
11,vo850_cluster10,SOI,,,,
12,vws850-200_cluster1,,,,,
13,w_cluster5,,,,,
14,w_cluster6,,,,,
15,SOI,,,,,
