,50,60,75,90
0,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster2,mpi_cluster7
1,abs_vo850_cluster2,abs_vo850_cluster2,mpi_cluster6,vws850-200_cluster3
2,abs_vo850_cluster7,mpi_cluster5,mpi_cluster7,vws850-200_cluster5
3,mpi_cluster3,mpi_cluster6,msl_cluster7,
4,mpi_cluster5,mpi_cluster7,r700_cluster8,
5,mpi_cluster6,msl_cluster7,sst_cluster3,
6,mpi_cluster7,msl_cluster8,vws850-200_cluster3,
7,msl_cluster7,r700_cluster7,vws850-200_cluster5,
8,msl_cluster8,r700_cluster8,w_cluster4,
9,r700_cluster7,sst_cluster3,SOI,
10,r700_cluster8,sst_cluster6,,
11,sst_cluster3,vo850_cluster2,,
12,sst_cluster6,vws850-200_cluster3,,
13,vo850_cluster1,vws850-200_cluster5,,
14,vo850_cluster2,w_cluster4,,
15,vws850-200_cluster3,ENSO3.4,,
16,vws850-200_cluster5,SOI,,
17,w_cluster4,,,
18,ENSO3.4,,,
19,SOI,,,
