,50,60,70,75,80,90
0,abs_vo850_cluster2,abs_vo850_cluster2,mpi_cluster4,mpi_cluster4,mpi_cluster4,vo850_cluster6
1,mpi_cluster4,mpi_cluster4,r700_cluster5,r700_cluster5,r700_cluster5,w_cluster4
2,r700_cluster4,r700_cluster4,sst_cluster2,sst_cluster2,sst_cluster2,PNA
3,r700_cluster5,r700_cluster5,vo850_cluster2,vo850_cluster2,vo850_cluster2,TSA
4,r700_cluster6,r700_cluster6,vo850_cluster6,vo850_cluster6,vo850_cluster6,WP
5,sst_cluster2,sst_cluster2,w_cluster4,w_cluster4,w_cluster4,
6,vo850_cluster1,vo850_cluster2,NAO,NAO,NAO,
7,vo850_cluster2,vo850_cluster6,PNA,PNA,PNA,
8,vo850_cluster6,w_cluster1,TSA,TSA,TSA,
9,vws850-200_cluster6,w_cluster4,WP,WP,WP,
10,w_cluster1,w_cluster5,,,,
11,w_cluster4,AMM,,,,
12,w_cluster5,NAO,,,,
13,AMM,PNA,,,,
14,NAO,TSA,,,,
15,PNA,WP,,,,
16,TSA,,,,,
17,WP,,,,,
18,month,,,,,
