,50,60,70,75,80,90
0,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4
1,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7
2,r700_cluster6,r700_cluster6,r700_cluster6,r700_cluster6,r700_cluster6,sst_cluster1
3,sst_cluster1,sst_cluster1,sst_cluster1,sst_cluster1,sst_cluster1,PDO
4,PDO,PDO,PDO,PDO,PDO,
5,month,month,,,,
