,50,60,70,75,80,90
0,abs_vo850_cluster7,abs_vo850_cluster7,mpi_cluster6,mpi_cluster6,msl_cluster6,r700_cluster3
1,mpi_cluster6,mpi_cluster6,msl_cluster6,msl_cluster6,r700_cluster3,r700_cluster4
2,msl_cluster5,msl_cluster6,r700_cluster2,r700_cluster2,r700_cluster4,w_cluster8
3,msl_cluster6,r700_cluster2,r700_cluster3,r700_cluster3,r700_cluster6,
4,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster4,r700_cluster10,
5,r700_cluster3,r700_cluster4,r700_cluster6,r700_cluster6,w_cluster8,
6,r700_cluster4,r700_cluster6,r700_cluster10,r700_cluster10,,
7,r700_cluster6,r700_cluster10,sst_cluster5,sst_cluster5,,
8,r700_cluster10,sst_cluster5,sst_cluster8,sst_cluster8,,
9,r700_cluster12,sst_cluster8,vws850-200_cluster9,vws850-200_cluster9,,
10,sst_cluster1,vo850_cluster3,vws850-200_cluster10,vws850-200_cluster10,,
11,sst_cluster2,vws850-200_cluster1,w_cluster8,w_cluster8,,
12,sst_cluster5,vws850-200_cluster9,,,,
13,sst_cluster8,vws850-200_cluster10,,,,
14,sst_cluster12,w_cluster8,,,,
15,vo850_cluster3,AMM,,,,
16,vo850_cluster5,,,,,
17,vo850_cluster7,,,,,
18,vo850_cluster11,,,,,
19,vws850-200_cluster1,,,,,
20,vws850-200_cluster9,,,,,
21,vws850-200_cluster10,,,,,
22,w_cluster2,,,,,
23,w_cluster8,,,,,
24,AMM,,,,,
25,ENSO3.4,,,,,
26,SOI,,,,,
