,50,60,75,90
0,abs_vo850_cluster5,mpi_cluster1,mpi_cluster1,mpi_cluster1
1,mpi_cluster1,mpi_cluster2,mpi_cluster2,mpi_cluster2
2,mpi_cluster2,mpi_cluster3,mpi_cluster3,mpi_cluster3
3,mpi_cluster3,sst_cluster5,vo850_cluster1,vo850_cluster2
4,mpi_cluster4,vo850_cluster1,vo850_cluster2,vo850_cluster6
5,msl_cluster2,vo850_cluster2,vo850_cluster6,vws850-200_cluster5
6,sst_cluster5,vo850_cluster5,vws850-200_cluster4,
7,vo850_cluster1,vo850_cluster6,vws850-200_cluster5,
8,vo850_cluster2,vws850-200_cluster4,vws850-200_cluster6,
9,vo850_cluster5,vws850-200_cluster5,SOI,
10,vo850_cluster6,vws850-200_cluster6,,
11,vws850-200_cluster4,w_cluster6,,
12,vws850-200_cluster5,SOI,,
13,vws850-200_cluster6,,,
14,w_cluster6,,,
15,PDO,,,
16,SOI,,,
