experiment,model,n_clusters,n_features,MAE_mlp,MAE_mlp_noFS,MAE_lgbm,MAE_lgbm_noFS,MAE_pi-lgbm,MAE_pi-lgbm_noFS,MAE_S_mlp,MAE_S_mlp_noFS,MAE_S_lgbm,MAE_S_lgbm_noFS,MAE_S_pi-lgbm,MAE_S_pi-lgbm_noFS,MAE_Y_mlp,MAE_Y_mlp_noFS,MAE_Y_lgbm,MAE_Y_lgbm_noFS,MAE_Y_pi-lgbm,MAE_Y_pi-lgbm_noFS,RMSE_mlp,RMSE_mlp_noFS,RMSE_lgbm,RMSE_lgbm_noFS,RMSE_pi-lgbm,RMSE_pi-lgbm_noFS,RMSE_S_mlp,RMSE_S_mlp_noFS,RMSE_S_lgbm,RMSE_S_lgbm_noFS,RMSE_S_pi-lgbm,RMSE_S_pi-lgbm_noFS,RMSE_Y_mlp,RMSE_Y_mlp_noFS,RMSE_Y_lgbm,RMSE_Y_lgbm_noFS,RMSE_Y_pi-lgbm,RMSE_Y_pi-lgbm_noFS,R2_mlp,R2_mlp_noFS,R2_lgbm,R2_lgbm_noFS,R2_pi-lgbm,R2_pi-lgbm_noFS,R2_S_mlp,R2_S_mlp_noFS,R2_S_lgbm,R2_S_lgbm_noFS,R2_S_pi-lgbm,R2_S_pi-lgbm_noFS,R2_Y_mlp,R2_Y_mlp_noFS,R2_Y_lgbm,R2_Y_lgbm_noFS,R2_Y_pi-lgbm,R2_Y_pi-lgbm_noFS,R2adj_mlp,R2adj_mlp_noFS,R2adj_lgbm,R2adj_lgbm_noFS,R2adj_pi-lgbm,R2adj_pi-lgbm_noFS,R2adj_S_mlp,R2adj_S_mlp_noFS,R2adj_S_lgbm,R2adj_S_lgbm_noFS,R2adj_S_pi-lgbm,R2adj_S_pi-lgbm_noFS,R2adj_Y_mlp,R2adj_Y_mlp_noFS,R2adj_Y_lgbm,R2adj_Y_lgbm_noFS,R2adj_Y_pi-lgbm,R2adj_Y_pi-lgbm_noFS,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS
test1_linreg_nc5_nv8_nd9,linreg,5,24,0.7982257171903574,0.7552545374566098,0.8474131176320667,0.8330834926851227,0.6790437426596073,0.6721501834898898,0.3608639658916564,0.2663476931962318,0.4386286249031534,0.4130211635219001,0.3165093370192953,0.3067974182018957,3.842392989567348,3.792972859882173,4.0787170202447625,4.25624341940716,3.972117709296024,4.120547726457808,1.2146388660740708,1.1834220081541575,1.225353154090685,1.2084645925110775,1.1918548690786444,1.180100920941778,0.4843476523651683,0.3850846007985731,0.5323185230437093,0.5381924468035945,0.4918666247182207,0.4745563482352279,5.003805104413113,4.840819561998416,5.234435345348823,5.267821396187913,5.225003303941872,5.335331394891038,0.5476425172300348,0.5705953780178388,0.539626859689023,0.5522296916819626,0.5644538475529812,0.5730021089060282,0.8829874364500678,0.9260342952092936,0.8586612477184322,0.8555248038226687,0.8793262509064165,0.8876705400679559,0.1487327965753399,0.2032851354532805,0.0684529178455832,0.0565319144551992,0.0718070425521757,0.0321948468005792,0.5249774241476148,0.5231997243774236,0.5165601470220846,0.5028069203444309,0.5426310758228592,0.525872098851506,1.0990106306960965,1.0208621218640457,1.1195943288536343,1.0407494143064269,1.10210855692534,1.0316826681859612,-1.053056196494769,4.6294788273795,-1.2466723746077109,5.298021278592981,-1.2385830150212236,5.4088901423529165,0.7444317147198353,0.7580092814261097,0.7783837066869805,0.7863069347733597,0.77165224875459,0.7786629553327059,0.956764191904502,0.9759646892887004,0.997034782539568,0.9892669194179278,0.965431484170966,0.97080650565436,0.3885756121588523,0.451198450262443,0.2930452653036457,0.2708084275332837,0.4629111727359087,0.401988896908235
test1_linreg_Anc5_nv8_nd9,linreg,5,23,0.8215030349628438,0.8309502581925323,0.8748207606488809,0.8762694445126068,0.7113040268765519,0.6915996278024492,0.3800444380557608,0.3801770133986359,0.4427880151797448,0.4754238003275087,0.3210522415340204,0.3272919511498501,4.085683413914272,3.680842490423293,4.355382631649097,4.126650059725812,3.997087654507189,3.845978674206207,1.2449063757899712,1.259492681636934,1.2580428696095585,1.2626604646982456,1.219100803539578,1.1999487372554023,0.5147315553094032,0.5402149717614849,0.5404349992480811,0.5943998615531402,0.5139136665632178,0.524334072010216,5.258508920542444,4.850861544673926,5.519031720127228,5.326478810702723,5.302794513046694,5.141331885102308,0.5248170888189324,0.5136166180018946,0.5147357330665505,0.5111669100194685,0.5443129711335899,0.558518186752925,0.8678461917961633,0.8544368891044174,0.8543182903630886,0.8237717635364326,0.8682658328235626,0.8628694381234645,0.0598646992726711,0.1999762349095699,-0.035597302239364,0.0354038203915266,0.0439629423644462,0.1012965494741026,0.502047907658173,0.4599319180021037,0.4914834869426561,0.4572118228251492,0.5224779676670744,0.5097895097940867,1.121140990853517,1.041056262047472,1.1335415671671687,1.0497054000281856,1.1207563199117343,1.0386778507856895,-1.1414192961011382,4.6445527076341815,-1.3588605217674403,5.3942714848830455,-1.177639964614317,5.094093496840199,0.732148210492615,0.7240803921890505,0.7577977085166467,0.7690599681655824,0.7563795280737158,0.7721751766483935,0.9559802216514756,0.9602598223384738,0.9942696400991338,0.992741576342729,0.9585788660536084,0.9608114645881825,0.2655623550958559,0.4531072285264901,0.0823479363629949,0.2363893851923885,0.3866688563826281,0.536447019004404
test1_linreg_DSnc5_nv8_nd9,linreg,5,17,0.7142134634276295,0.686455382417527,0.7584158957946656,0.7244916853679622,0.7558947119223751,0.9737102820156588,0.1697780793266636,0.0854881815612316,0.088098484141049,0.0583860433376365,0.2573195685761187,0.5047432793267957,4.10189528195631,3.167407533242589,5.055096041782238,4.870063315976919,4.557807274554895,6.437640870940726,1.1120604947814428,1.069854807224336,1.1333201132020014,1.1329901671896476,1.1346684209679412,1.2687335987210655,0.1773453023139516,0.0931143925067296,0.0973415821201574,0.0678616764704624,0.2726912614105267,0.5857356693498005,5.427968649863782,4.17970642889815,6.169479634034827,6.059584010442269,5.969535815693008,8.133262848970624,0.620821016910444,0.6490565699917488,0.6061846642767026,0.6064139355718496,0.6052470648737346,0.5064532304745484,0.9843123650799624,0.9956753424393175,0.995273769512492,0.9977029668400024,0.962909683627746,0.8288718561199125,-0.0017048844176767,0.4060406975706048,-0.29408320245577,-0.2483913534351214,-0.2115637047247809,-1.2490273976999902,0.6075575545389986,0.6103210920658932,0.5924092307225954,0.5629717651051663,0.5914388346326924,0.4519778695997745,1.028760664020069,1.0012197752094232,1.0086647558937645,1.0006478811476918,1.067998913349132,1.048266912376435,-0.7112458442135312,3.705814599956134,-1.2107254708619402,6.687116165648886,-1.0697546622381675,11.245569256188844,0.7936898311256378,0.8072678089137946,0.7799984463351539,0.7790860580866685,0.791082286613965,0.777855281716121,0.9998081045455458,0.999770206701529,0.9997455939593852,0.9997192878702288,0.9981195588097588,0.9934713825601228,0.3976965028912481,0.6963697283657836,-0.1405835943677728,-0.1738017108976463,0.3603226859080926,0.1182965420840631
test2_linreg_nc5_nv8_nd9,linreg,5,23,0.8266787579253553,0.8077692623908025,0.8999323930375704,0.8330834926851227,0.7272775709007702,0.6721501834898898,0.3637154222953887,0.3531427910728824,0.4742998762534549,0.4130211635219001,0.2956433434762456,0.3067974182018957,4.209484531765892,3.8455541474478574,4.637096419147149,4.25624341940716,4.525730402957407,4.120547726457808,1.2406814530312793,1.225545884062781,1.2808215415060484,1.2084645925110775,1.20323610419007,1.180100920941778,0.5190845976664338,0.4983077983267757,0.5848766971939466,0.5381924468035945,0.421280546864808,0.4745563482352279,5.489398826058801,5.056831605484513,5.940906499046904,5.267821396187913,5.841228597991379,5.335331394891038,0.5280369364353537,0.5394820284948991,0.4970038304110195,0.5522296916819626,0.5560959154166155,0.5730021089060282,0.8656015124908074,0.876145022843942,0.8293734015641758,0.8555248038226687,0.9114760249592914,0.8876705400679559,-0.0245064580176748,0.1305950400257388,-0.1999704867330372,0.0565319144551992,-0.1600415254406457,0.0321948468005792,0.5054220396395477,0.4886522303155282,0.4729019306182142,0.5028069203444309,0.5348255113636616,0.525872098851506,1.123198613550093,1.0349334550952984,1.156407715232839,1.0407494143064269,1.0811469771206497,1.0316826681859612,-1.333598043262482,4.9606225954383,-1.733266108669696,5.298021278592981,-1.6423168079481374,5.4088901423529165,0.7335288683914624,0.7390401192676357,0.7479598887762544,0.7863069347733597,0.7566629277200851,0.7786629553327059,0.9542774368367386,0.9553545016808568,0.992970192543787,0.9892669194179278,0.974396493962582,0.97080650565436,0.1266904440381122,0.363713208938641,-0.0956089337355601,0.2708084275332837,-0.1023430920529885,0.401988896908235
test2_linreg_Anc5_nv8_nd9,linreg,5,21,0.8248771623161341,0.7651720322975297,0.8547002736061278,0.8762694445126068,0.7038159928884258,0.6915996278024492,0.397097190700671,0.263336783452634,0.4413310544287858,0.4754238003275087,0.3322821392901985,0.3272919511498501,3.538474151066372,3.0437714145297097,4.087817386916031,4.126650059725812,3.888199707488692,3.845978674206207,1.2346944854100736,1.171381542645406,1.224544920351606,1.2626604646982456,1.207331995088548,1.1999487372554023,0.5407116008590614,0.3597525554350166,0.5534253069167373,0.5943998615531402,0.5303437400760496,0.524334072010216,4.6318154135815615,4.1818487262238,5.157613408843201,5.326478810702723,5.193098628463299,5.141331885102308,0.5325809069648451,0.5792886925178653,0.5402339767307244,0.5111669100194685,0.5530686171211747,0.558518186752925,0.8541691286411933,0.9354455967032964,0.8472306871515755,0.8237717635364326,0.8597079730321863,0.8628694381234645,0.2705968787879229,0.405431677038189,0.0955955247004921,0.0354038203915266,0.0831078132802558,0.1012965494741026,0.5122161746956786,0.532852565864208,0.5202026769617311,0.4572118228251492,0.5335965029293587,0.5097895097940867,1.160413958494687,1.0182076522118908,1.168046244133267,1.0497054000281856,1.154321229664595,1.0386778507856895,-0.4952763984847581,3.708589026826028,-0.8540291743639912,5.3942714848830455,-0.8796289827754755,5.094093496840199,0.7383020001594959,0.7629080391371693,0.7814562161795701,0.7690599681655824,0.7689725811678358,0.7721751766483935,0.95451164977559,0.980509709354759,0.9922557536238684,0.992741576342729,0.9602796633533578,0.9608114645881825,0.536571386192437,0.6460906388292209,0.3447684603914805,0.2363893851923885,0.5242780306525897,0.536447019004404
test2_linreg_DSnc5_nv8_nd9,linreg,5,14,0.7134123361611233,0.714721544026993,0.7548263250310828,0.7244916853679622,0.7684091749021023,0.9737102820156588,0.2084973055928472,0.0369555981110329,0.0894880615643046,0.0583860433376365,0.3054910967945928,0.5047432793267957,4.23331188020252,3.6356385073491504,4.999648480936917,4.870063315976919,4.634636159961066,6.437640870940726,1.1235837041525214,1.0829574839485183,1.1401209110759518,1.1329901671896476,1.1466988625250136,1.2687335987210655,0.2174697906420663,0.0451669919604846,0.0987920101354249,0.0678616764704624,0.3167462032978688,0.5857356693498005,5.701659830339767,4.72036281896264,6.198925451059875,6.059584010442269,6.111732435835156,8.133262848970624,0.6129221722782554,0.640407814450864,0.6014440896083291,0.6064139355718496,0.5968318694031296,0.5064532304745484,0.9764106502921842,0.9989824390487936,0.9951318747849914,0.9977029668400024,0.9499572771575548,0.8288718561199125,-0.1052683560266249,0.2424419946105614,-0.3064655343287998,-0.2483913534351214,-0.2699709779471617,-1.2490273976999902,0.6018401894804959,0.6007177277456615,0.5900334909468088,0.5629717651051663,0.5852892235373706,0.4519778695997745,1.0864942822619912,1.0002870043708532,1.0178497924550314,1.0006478811476918,1.1834899837556323,1.048266912376435,-0.6783704665589492,4.451097580107442,-0.983892107684474,6.687116165648886,-0.9284744479938384,11.245569256188844,0.7917783140082333,0.8004312547072663,0.776904268331422,0.7790860580866685,0.7909189594492264,0.777855281716121,0.999777661934672,0.9997275825539754,0.9996280586432216,0.9997192878702288,0.998301925343595,0.9934713825601228,0.3498586828150786,0.4971437996709491,-0.1814158362615635,-0.1738017108976463,0.4910174126353591,0.1182965420840631
test3_linreg_nc5_nv8_nd9,linreg,5,21,0.7977424576095055,0.7524666099491278,0.8526729651858487,0.8330834926851227,0.6743830620469304,0.6721501834898898,0.3749838489595623,0.2657656880272996,0.4416525282876662,0.4130211635219001,0.3272914071743167,0.3067974182018957,3.8034489041283015,3.5608201708112444,4.271035935472406,4.25624341940716,3.973778813223505,4.120547726457808,1.224126962326611,1.176124635643607,1.233480299480491,1.2084645925110775,1.1866870231911164,1.180100920941778,0.5359118596205799,0.3639160390617956,0.5184443528085916,0.5381924468035945,0.5094022409884498,0.4745563482352279,5.138870381421956,4.665175753546016,5.51133719995491,5.267821396187913,5.233731796106744,5.335331394891038,0.540547775108584,0.575874753057755,0.5334997652561444,0.5522296916819626,0.568222688331605,0.5730021089060282,0.8567466350852103,0.9339427500006126,0.865932845281882,0.8555248038226687,0.8705685553979865,0.8876705400679559,0.1021568838561696,0.2600520868198385,-0.0327116983762709,0.0565319144551992,0.0687033155124341,0.0321948468005792,0.5205301470531489,0.5290618118941518,0.5131750662320345,0.5028069203444309,0.549410813756841,0.525872098851506,1.1575787014062686,1.0186315320511092,1.14747387018993,1.0407494143064269,1.1423745890622148,1.0316826681859612,-0.8405783880948523,4.370873826709625,-1.1170589816713554,5.298021278592981,-0.9091582031995098,5.4088901423529165,0.745369312028862,0.7603453853941283,0.7702170925892056,0.7863069347733597,0.7769759464432358,0.7786629553327059,0.953687824298618,0.977289027682818,0.9969824237144704,0.9892669194179278,0.9636518416057048,0.97080650565436,0.3223556893191854,0.5142648317642129,0.1018515521003339,0.2708084275332837,0.4701052542703211,0.401988896908235
test3_linreg_Anc5_nv8_nd9,linreg,5,18,0.8086402171720115,0.7953436533072298,0.855406787544228,0.8762694445126068,0.708571561505256,0.6915996278024492,0.371998839385231,0.3497117321997408,0.4285413252451638,0.4754238003275087,0.3245498274659327,0.3272919511498501,3.3655750637962702,3.549693697974796,4.118526925882912,4.126650059725812,3.880639854859852,3.845978674206207,1.2436547791767845,1.2065216099946332,1.2337068472645007,1.2626604646982456,1.2036770417844846,1.1999487372554023,0.5443291112095113,0.4737436765454856,0.5490981796916897,0.5943998615531402,0.5157957067021037,0.524334072010216,4.593142747379814,4.6983501315778895,5.221710674024146,5.326478810702723,5.141705033612809,5.141331885102308,0.5257720816876202,0.5536683941150458,0.533328389515854,0.5111669100194685,0.5557705098493443,0.558518186752925,0.8522113034503211,0.8880549361821908,0.8496102961923094,0.8237717635364326,0.8672991997654129,0.8628694381234645,0.2827261204738853,0.2494910310790222,0.0729765089677739,0.0354038203915266,0.1011660922186745,0.1012965494741026,0.508171870286336,0.5044044199555585,0.5160086184051023,0.4572118228251492,0.5392836421736498,0.5097895097940867,1.2322393802923526,1.0315742487691255,1.2363266774120851,1.0497054000281856,1.2085298289400654,1.0386778507856895,-0.2786186548074219,4.418985302862232,-0.6525201361878812,5.3942714848830455,-0.6022691399580149,5.094093496840199,0.7317127376801562,0.7488404870886889,0.7753981033829406,0.7690599681655824,0.7651593639965018,0.7721751766483935,0.9484699260700372,0.9623626516331146,0.991345096945301,0.992741576342729,0.9571613475125952,0.9608114645881825,0.5662520693910321,0.5062565770333738,0.3211893599068912,0.2363893851923885,0.4789548498597339,0.536447019004404
test3_linreg_DSnc5_nv8_nd9,linreg,5,17,0.7327260449543855,0.6880872246146348,0.7544872628987664,0.7244916853679622,0.7653322262436667,0.9737102820156588,0.2813180671443068,0.0278163500400059,0.0816081556152309,0.0583860433376365,0.2780814536164548,0.5047432793267957,4.655087092802638,3.1868889459541867,4.950677903176438,4.870063315976919,4.50172452290425,6.437640870940726,1.149832524913832,1.0731518307067078,1.1412566264424897,1.1329901671896476,1.144419916127183,1.2687335987210655,0.2859358998707326,0.0350886219948346,0.0955637022121544,0.0678616764704624,0.3036971503145744,0.5857356693498005,6.225199946100129,4.275928715043359,6.09725054444469,6.059584010442269,5.9123509803835175,8.133262848970624,0.5946253282988831,0.6468901982199418,0.6006496624279183,0.6064139355718496,0.5984327876214752,0.5064532304745484,0.9592192257581876,0.9993858835626898,0.9954448358835808,0.9977029668400024,0.9539955831845942,0.8288718561199125,-0.31756406111294,0.3783784772280962,-0.2639596571554545,-0.2483913534351214,-0.1884626709445451,-1.2490273976999902,0.5804455558319717,0.6079156064119884,0.5866806176980306,0.5629717651051663,0.58438619788807,0.4519778695997745,1.0747647527766555,1.000173212328472,1.0083511342134357,1.0006478811476918,1.084341430828244,1.048266912376435,-1.2508386044012725,3.83183138151645,-1.1592644143072346,6.687116165648886,-1.0302903961969312,11.245569256188844,0.7868381498565364,0.8044986086533308,0.7763212874027634,0.7790860580866685,0.7887222648873982,0.777855281716121,0.9997456306976732,0.9998738338929296,0.9996529194891564,0.9997192878702288,0.9960967150930086,0.9934713825601228,0.2912023414317096,0.6428408625788806,-0.0761387975834563,-0.1738017108976463,0.5124319402533546,0.1182965420840631
test4_linreg_nc5_nv8_nd9,linreg,5,22,0.8261343638508744,0.827390944533464,0.8854494779123824,0.8330834926851227,0.7203964832792663,0.6721501834898898,0.39873345471209,0.3886396412604622,0.4806551488920899,0.4130211635219001,0.3100361191221296,0.3067974182018957,4.0837509745643255,4.123573121570406,4.4032080295787495,4.25624341940716,4.316902973782699,4.120547726457808,1.237885752748953,1.260795495796651,1.2696965280690389,1.2084645925110775,1.2001157384054124,1.180100920941778,0.5334826416564895,0.5436871081167299,0.5977613646592351,0.5381924468035945,0.4506221858700224,0.4745563482352279,5.402736523139198,5.351885152401178,5.64318677599544,5.267821396187913,5.641124019161613,5.335331394891038,0.5301615440860006,0.5126098715590772,0.5057037728741632,0.5522296916819626,0.558395293001344,0.5730021089060282,0.8580423889914565,0.8525597134296612,0.8217728840748215,0.8555248038226687,0.8987154423190472,0.8876705400679559,0.0075863992859579,0.0261799756486738,-0.0827145657271977,0.0565319144551992,-0.0819231800174906,0.0321948468005792,0.5086720512999132,0.4588140516428606,0.4830956294297382,0.5028069203444309,0.5381971567145032,0.525872098851506,1.1419576110085434,1.0415857218531726,1.1782271159251785,1.0407494143064269,1.101284557680953,1.0316826681859612,-1.141524085751354,5.436291222044931,-1.336384062885006,5.298021278592981,-1.334676335827217,5.4088901423529165,0.7348159568722878,0.7229197398058889,0.7620846387013308,0.7863069347733597,0.7616790674351055,0.7786629553327059,0.9485572155512872,0.9575340005929308,0.9935299593352154,0.9892669194179278,0.9710674772422484,0.97080650565436,0.1933008093570271,0.2469480466838871,0.0377364079051284,0.2708084275332837,0.0599858668410542,0.401988896908235
