,50,60,70,75,80,90
0,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7
1,mpi_cluster2,mpi_cluster2,r700_cluster3,r700_cluster3,r700_cluster3,r700_cluster3
2,mpi_cluster4,r700_cluster3,r700_cluster7,r700_cluster7,r700_cluster7,sst_cluster8
3,msl_cluster7,r700_cluster7,sst_cluster8,sst_cluster8,sst_cluster8,w_cluster7
4,r700_cluster3,sst_cluster8,vo850_cluster6,vo850_cluster6,vo850_cluster7,PDO
5,r700_cluster7,vo850_cluster6,vo850_cluster7,vo850_cluster7,w_cluster7,
6,sst_cluster8,vo850_cluster7,w_cluster7,w_cluster7,w_cluster8,
7,vo850_cluster6,w_cluster7,w_cluster8,w_cluster8,PDO,
8,vo850_cluster7,w_cluster8,PDO,PDO,,
9,w_cluster7,PDO,,,,
10,w_cluster8,,,,,
11,PDO,,,,,
