,50,60,70,75,80,90
0,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5,abs_vo850_cluster5
1,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6,abs_vo850_cluster6
2,abs_vo850_cluster8,abs_vo850_cluster8,mpi_cluster12,mpi_cluster12,mpi_cluster12,mpi_cluster12
3,mpi_cluster12,mpi_cluster12,msl_cluster11,msl_cluster11,msl_cluster11,msl_cluster11
4,msl_cluster4,msl_cluster11,r700_cluster12,sst_cluster9,sst_cluster9,sst_cluster9
5,msl_cluster11,r700_cluster12,sst_cluster9,sst_cluster12,sst_cluster12,sst_cluster12
6,r700_cluster12,sst_cluster9,sst_cluster12,vo850_cluster8,vo850_cluster8,PDO
7,sst_cluster9,sst_cluster12,vo850_cluster8,vws850-200_cluster2,vws850-200_cluster2,
8,sst_cluster10,vo850_cluster3,vws850-200_cluster2,PDO,PDO,
9,sst_cluster12,vo850_cluster8,w_cluster3,month,month,
10,vo850_cluster3,vws850-200_cluster2,w_cluster7,,,
11,vo850_cluster8,w_cluster3,PDO,,,
12,vo850_cluster12,w_cluster7,month,,,
13,vws850-200_cluster2,PDO,,,,
14,vws850-200_cluster9,month,,,,
15,w_cluster3,,,,,
16,w_cluster7,,,,,
17,PDO,,,,,
18,month,,,,,
