,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1
1,abs_vo850_cluster5,mpi_cluster4,mpi_cluster4,mpi_cluster4,mpi_cluster5,mpi_cluster5
2,mpi_cluster4,mpi_cluster5,mpi_cluster5,mpi_cluster5,mpi_cluster6,mpi_cluster6
3,mpi_cluster5,mpi_cluster6,mpi_cluster6,mpi_cluster6,msl_cluster1,vws850-200_cluster2
4,mpi_cluster6,msl_cluster1,msl_cluster1,msl_cluster1,msl_cluster3,vws850-200_cluster3
5,msl_cluster1,msl_cluster3,msl_cluster3,msl_cluster3,sst_cluster3,w_cluster1
6,msl_cluster3,r700_cluster4,r700_cluster4,r700_cluster4,sst_cluster5,w_cluster4
7,r700_cluster4,sst_cluster1,sst_cluster1,sst_cluster3,vws850-200_cluster2,month
8,sst_cluster1,sst_cluster3,sst_cluster3,sst_cluster5,vws850-200_cluster3,
9,sst_cluster3,sst_cluster5,sst_cluster5,vws850-200_cluster2,vws850-200_cluster6,
10,sst_cluster5,vws850-200_cluster2,vws850-200_cluster2,vws850-200_cluster3,w_cluster1,
11,vo850_cluster5,vws850-200_cluster3,vws850-200_cluster3,vws850-200_cluster6,w_cluster4,
12,vws850-200_cluster2,vws850-200_cluster6,vws850-200_cluster6,w_cluster1,w_cluster5,
13,vws850-200_cluster3,w_cluster1,w_cluster1,w_cluster4,month,
14,vws850-200_cluster5,w_cluster4,w_cluster4,w_cluster5,,
15,vws850-200_cluster6,w_cluster5,w_cluster5,month,,
16,w_cluster1,month,month,,,
17,w_cluster4,,,,,
18,w_cluster5,,,,,
19,month,,,,,
