,50,60,70,75,80,90
0,abs_vo850_cluster7,mpi_cluster7,mpi_cluster7,mpi_cluster7,r700_cluster5,w_cluster1
1,mpi_cluster7,r700_cluster5,r700_cluster5,r700_cluster5,vo850_cluster2,
2,msl_cluster2,vo850_cluster2,vo850_cluster2,vo850_cluster2,vws850-200_cluster7,
3,msl_cluster4,vo850_cluster5,vo850_cluster7,vo850_cluster7,w_cluster1,
4,r700_cluster5,vo850_cluster7,vws850-200_cluster7,vws850-200_cluster7,,
5,vo850_cluster2,vws850-200_cluster6,w_cluster1,w_cluster1,,
6,vo850_cluster5,vws850-200_cluster7,,,,
7,vo850_cluster7,w_cluster1,,,,
8,vws850-200_cluster6,,,,,
9,vws850-200_cluster7,,,,,
10,w_cluster1,,,,,
