,50,60,75,90
0,abs_vo850_cluster1,abs_vo850_cluster1,msl_cluster4,msl_cluster4
1,msl_cluster2,msl_cluster4,r700_cluster2,r700_cluster2
2,msl_cluster4,r700_cluster2,w_cluster2,w_cluster2
3,msl_cluster7,w_cluster2,,
4,r700_cluster2,month,,
5,r700_cluster7,,,
6,sst_cluster1,,,
7,vo850_cluster1,,,
8,vo850_cluster6,,,
9,vws850-200_cluster6,,,
10,w_cluster2,,,
11,month,,,
