experiment,model,n_clusters,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_xgb,R_xgb_noFS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_xgb,R_S_xgb_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_xgb,R_Y_xgb_noFS
test1_linreg_nc5_nv8_nd10,linreg,5,0.8112722663659802,0.8049618168785752,0.7879437841158252,0.7947691533400065,0.7765411313821318,0.7960449746125164,0.9944872964138648,0.9971721575019338,0.9953779665395645,0.9908951417652332,0.990015236446005,0.9920692317788218,0.3648379889135533,0.4879112983438989,0.2281687140886724,0.5890888214463355,0.316931461186683,0.6246984448225322
test1_linreg_Anc5_nv8_nd10,linreg,5,0.8264890296319429,0.8212794327528753,0.7915481287860441,0.7966180010962056,0.7848780530984025,0.7849871935033765,0.9955697670346508,0.9970812322943624,0.9937378505729711,0.9956029026104276,0.9961802760573322,0.9947429353125804,0.7378546477524837,0.7238787961909329,0.7231603943522567,0.6720604172583498,0.6418389130515093,0.6763572762340849
test2_linreg_nc5_nv8_nd10,linreg,5,0.8330203264779696,0.8303470446373524,0.7867333047232017,0.7947691533400065,0.7979496459822606,0.7960449746125164,0.9954197757523534,0.9982290337815564,0.9974484279668826,0.9908951417652332,0.9981607588399102,0.9920692317788218,0.7007112486387026,0.7471391579597395,0.5332037401360862,0.5890888214463355,0.5459647309541741,0.6246984448225322
test2_linreg_Anc5_nv8_nd10,linreg,5,0.8318969015087408,0.8224843603779953,0.8021116028148113,0.7966180010962056,0.7902919700741987,0.7849871935033765,0.992813508383527,0.9974825752734444,0.9936545511820396,0.9956029026104276,0.9940466364638894,0.9947429353125804,0.7605887444193699,0.6732030782729108,0.6394985923774923,0.6720604172583498,0.5731358980389183,0.6763572762340849
test3_linreg_nc5_nv8_nd10,linreg,5,0.825800004697719,0.8251933807732772,0.7931732063979148,0.7947691533400065,0.7907345476277552,0.7960449746125164,0.994632199447881,0.9984631852936358,0.9957561212663838,0.9908951417652332,0.9948784638432532,0.9920692317788218,0.6790711296705199,0.6916528376025703,0.567296409324785,0.5890888214463355,0.5759181885759539,0.6246984448225322
test3_linreg_Anc5_nv8_nd10,linreg,5,0.8205753716654278,0.81531462149276,0.7802536872813517,0.7966180010962056,0.7684478569156871,0.7849871935033765,0.993530273376482,0.9964515111271924,0.9936222155958953,0.9956029026104276,0.9951765340490282,0.9947429353125804,0.611521073931367,0.6351453452404962,0.4316461132624909,0.6720604172583498,0.3525710632962806,0.6763572762340849
test4_linreg_nc5_nv8_nd10,linreg,5,0.8271483562667412,0.8199719584488101,0.7943508655162855,0.7947691533400065,0.7892620616844184,0.7960449746125164,0.9970932610448512,0.9980019092675708,0.9975964110715614,0.9908951417652332,0.9936237712301068,0.9920692317788218,0.6270657745849197,0.6508778607861478,0.6021891443334162,0.5890888214463355,0.6104960413237493,0.6246984448225322
test4_linreg_Anc5_nv8_nd10,linreg,5,0.8292370656713323,0.8173363799527301,0.7566372401002106,0.7966180010962056,0.7648349726061473,0.7849871935033765,0.9937037732580376,0.9975387326704884,0.9895129364305886,0.9956029026104276,0.990044904173822,0.9947429353125804,0.741652481356133,0.6094333443074694,0.5967449509794396,0.6720604172583498,0.5714258639495698,0.6763572762340849
test5_linreg_nc5_nv8_nd10,linreg,5,0.8350608431983191,0.8242848987008217,0.7882722836948759,0.7947691533400065,0.7957843872966933,0.7960449746125164,0.9957313667687682,0.9972932420800986,0.994821512460582,0.9908951417652332,0.9966263449037268,0.9920692317788218,0.6177656943178387,0.7099997072486002,0.4995998915856736,0.5890888214463355,0.5582058716447176,0.6246984448225322
test5_linreg_Anc5_nv8_nd10,linreg,5,0.8313028097633967,0.8144536044229378,0.79248006577352,0.7966180010962056,0.7930554343631564,0.7849871935033765,0.9969899043783418,0.9972197491233064,0.9938509924221306,0.9956029026104276,0.9964012943162944,0.9947429353125804,0.7354612474949538,0.5501193396865265,0.5421040983960672,0.6720604172583498,0.5035201417318627,0.6763572762340849
