,50,60,70,75,80,90
0,mpi_cluster3,mpi_cluster3,mpi_cluster6,mpi_cluster6,mpi_cluster6,r700_cluster1
1,mpi_cluster6,mpi_cluster6,r700_cluster1,r700_cluster1,r700_cluster1,vws850-200_cluster4
2,r700_cluster1,r700_cluster1,r700_cluster7,r700_cluster7,r700_cluster7,w_cluster5
3,r700_cluster7,r700_cluster7,r700_cluster10,r700_cluster10,vws850-200_cluster4,w_cluster10
4,r700_cluster10,r700_cluster10,vws850-200_cluster4,vws850-200_cluster4,w_cluster5,
5,sst_cluster5,sst_cluster5,w_cluster5,w_cluster5,w_cluster8,
6,vo850_cluster2,vo850_cluster7,w_cluster8,w_cluster8,w_cluster10,
7,vo850_cluster7,vws850-200_cluster4,w_cluster10,w_cluster10,PDO,
8,vws850-200_cluster4,w_cluster4,PDO,PDO,,
9,w_cluster4,w_cluster5,,,,
10,w_cluster5,w_cluster8,,,,
11,w_cluster8,w_cluster10,,,,
12,w_cluster10,PDO,,,,
13,ENSO3.4,WP,,,,
14,PDO,,,,,
15,WP,,,,,
