,50,60,70,75,80,90
0,abs_vo850_cluster4,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7
1,abs_vo850_cluster7,mpi_cluster1,mpi_cluster1,mpi_cluster1,mpi_cluster1,mpi_cluster1
2,mpi_cluster1,mpi_cluster3,mpi_cluster3,mpi_cluster3,mpi_cluster3,mpi_cluster3
3,mpi_cluster3,mpi_cluster6,mpi_cluster6,r700_cluster1,r700_cluster1,r700_cluster1
4,mpi_cluster6,r700_cluster1,r700_cluster1,vo850_cluster1,vo850_cluster1,vo850_cluster1
5,msl_cluster6,sst_cluster1,sst_cluster1,vws850-200_cluster1,vws850-200_cluster1,vws850-200_cluster1
6,r700_cluster1,vo850_cluster1,vo850_cluster1,vws850-200_cluster3,vws850-200_cluster7,w_cluster7
7,sst_cluster1,vws850-200_cluster1,vws850-200_cluster1,vws850-200_cluster7,w_cluster7,TSA
8,vo850_cluster1,vws850-200_cluster3,vws850-200_cluster3,w_cluster1,TSA,WP
9,vws850-200_cluster1,vws850-200_cluster7,vws850-200_cluster7,w_cluster7,WP,
10,vws850-200_cluster3,w_cluster1,w_cluster1,TSA,,
11,vws850-200_cluster7,w_cluster7,w_cluster7,WP,,
12,w_cluster1,TSA,TSA,,,
13,w_cluster7,WP,WP,,,
14,TSA,,,,,
15,WP,,,,,
