,50,60,70,75,80,90
0,abs_vo850_cluster3,abs_vo850_cluster3,abs_vo850_cluster3,abs_vo850_cluster3,abs_vo850_cluster3,abs_vo850_cluster3
1,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,abs_vo850_cluster4,sst_cluster7,sst_cluster7
2,mpi_cluster5,mpi_cluster5,sst_cluster6,sst_cluster6,vws850-200_cluster1,w_cluster7
3,sst_cluster6,sst_cluster6,sst_cluster7,sst_cluster7,w_cluster1,
4,sst_cluster7,sst_cluster7,vo850_cluster4,vo850_cluster4,w_cluster3,
5,vo850_cluster1,vo850_cluster1,vo850_cluster5,vo850_cluster5,w_cluster7,
6,vo850_cluster4,vo850_cluster4,vws850-200_cluster1,vws850-200_cluster1,,
7,vo850_cluster5,vo850_cluster5,w_cluster1,w_cluster1,,
8,vws850-200_cluster1,vws850-200_cluster1,w_cluster3,w_cluster3,,
9,w_cluster1,w_cluster1,w_cluster7,w_cluster7,,
10,w_cluster3,w_cluster3,,,,
11,w_cluster7,w_cluster7,,,,
