,50,60,70,75,80,90
0,abs_vo850_cluster3,abs_vo850_cluster3,abs_vo850_cluster3,mpi_cluster2,mpi_cluster2,mpi_cluster2
1,mpi_cluster2,mpi_cluster2,mpi_cluster2,msl_cluster3,msl_cluster3,msl_cluster8
2,msl_cluster3,msl_cluster3,msl_cluster3,msl_cluster8,msl_cluster8,r700_cluster8
3,msl_cluster8,msl_cluster8,msl_cluster8,r700_cluster8,r700_cluster8,vws850-200_cluster6
4,r700_cluster8,r700_cluster8,r700_cluster8,sst_cluster3,sst_cluster3,w_cluster6
5,sst_cluster3,sst_cluster3,sst_cluster3,sst_cluster6,sst_cluster6,w_cluster8
6,sst_cluster6,sst_cluster6,sst_cluster6,vws850-200_cluster6,vws850-200_cluster6,
7,vo850_cluster9,vws850-200_cluster6,vws850-200_cluster6,w_cluster6,w_cluster6,
8,vws850-200_cluster6,w_cluster6,w_cluster6,w_cluster8,w_cluster8,
9,w_cluster6,w_cluster8,w_cluster8,TSA,TSA,
10,w_cluster8,TSA,TSA,,,
11,TSA,,,,,
