,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster1,msl_cluster5,msl_cluster5,msl_cluster5,msl_cluster5
1,abs_vo850_cluster2,abs_vo850_cluster2,msl_cluster10,msl_cluster10,msl_cluster10,msl_cluster10
2,abs_vo850_cluster8,abs_vo850_cluster8,r700_cluster1,r700_cluster1,r700_cluster1,r700_cluster1
3,msl_cluster1,msl_cluster1,vws850-200_cluster7,vws850-200_cluster7,vws850-200_cluster7,
4,msl_cluster4,msl_cluster4,vws850-200_cluster8,vws850-200_cluster8,SOI,
5,msl_cluster5,msl_cluster5,w_cluster5,w_cluster5,,
6,msl_cluster6,msl_cluster10,PDO,PDO,,
7,msl_cluster10,r700_cluster1,SOI,SOI,,
8,r700_cluster1,vws850-200_cluster7,,,,
9,r700_cluster11,vws850-200_cluster8,,,,
10,sst_cluster2,w_cluster5,,,,
11,vo850_cluster8,PDO,,,,
12,vws850-200_cluster7,SOI,,,,
13,vws850-200_cluster8,,,,,
14,w_cluster5,,,,,
15,PDO,,,,,
16,SOI,,,,,
