experiment,model,n_clusters,n_features,MSE_mlp,MSE_mlp_noFS,MSE_lgbm,MSE_lgbm_noFS,MSE_pi-lgbm,MSE_pi-lgbm_noFS,MSE_mlp_TS,MSE_mlp_noFS_TS,MSE_lgbm_TS,MSE_lgbm_noFS_TS,MSE_pi-lgbm_TS,MSE_pi-lgbm_noFS_TS,MSE_S_mlp,MSE_S_mlp_noFS,MSE_S_lgbm,MSE_S_lgbm_noFS,MSE_S_pi-lgbm,MSE_S_pi-lgbm_noFS,MSE_Y_mlp,MSE_Y_mlp_noFS,MSE_Y_lgbm,MSE_Y_lgbm_noFS,MSE_Y_pi-lgbm,MSE_Y_pi-lgbm_noFS,MSE_Y_mlp_TS,MSE_Y_mlp_noFS_TS,MSE_Y_lgbm_TS,MSE_Y_lgbm_noFS_TS,MSE_Y_pi-lgbm_TS,MSE_Y_pi-lgbm_noFS_TS,R2_mlp,R2_mlp_noFS,R2_lgbm,R2_lgbm_noFS,R2_pi-lgbm,R2_pi-lgbm_noFS,R2_mlp_TS,R2_mlp_noFS_TS,R2_lgbm_TS,R2_lgbm_noFS_TS,R2_pi-lgbm_TS,R2_pi-lgbm_noFS_TS,R2_S_mlp,R2_S_mlp_noFS,R2_S_lgbm,R2_S_lgbm_noFS,R2_S_pi-lgbm,R2_S_pi-lgbm_noFS,R2_Y_mlp,R2_Y_mlp_noFS,R2_Y_lgbm,R2_Y_lgbm_noFS,R2_Y_pi-lgbm,R2_Y_pi-lgbm_noFS,R2_Y_mlp_TS,R2_Y_mlp_noFS_TS,R2_Y_lgbm_TS,R2_Y_lgbm_noFS_TS,R2_Y_pi-lgbm_TS,R2_Y_pi-lgbm_noFS_TS,R_mlp,R_mlp_noFS,R_lgbm,R_lgbm_noFS,R_pi-lgbm,R_pi-lgbm_noFS,R_mlp_TS,R_mlp_noFS_TS,R_lgbm_TS,R_lgbm_noFS_TS,R_pi-lgbm_TS,R_pi-lgbm_noFS_TS,R_S_mlp,R_S_mlp_noFS,R_S_lgbm,R_S_lgbm_noFS,R_S_pi-lgbm,R_S_pi-lgbm_noFS,R_Y_mlp,R_Y_mlp_noFS,R_Y_lgbm,R_Y_lgbm_noFS,R_Y_pi-lgbm,R_Y_pi-lgbm_noFS,R_Y_mlp_TS,R_Y_mlp_noFS_TS,R_Y_lgbm_TS,R_Y_lgbm_noFS_TS,R_Y_pi-lgbm_TS,R_Y_pi-lgbm_noFS_TS
test1_linreg_nc10_nv8_nd9_noTS,linreg,10,13,0.6099490081684795,0.6959257482679208,0.6264894507323183,0.6212924265652264,0.6434443305761849,0.6501504218694484,0.6099490081684795,0.6959257482679208,0.6264894507323182,0.6212924265652263,0.6434443305761849,0.6501504218694484,0.0006488142038363,0.0195310317182528,0.0013670046390276,0.0012701922928879,0.0013895712812681,0.0040348745766536,1.7187308057946875,8.075302755011357,1.926177632359936,2.0595284642712577,2.163750146676377,2.681961286273836,1.7187308086178523,8.075302645133805,1.926177632359936,2.0595284642712577,2.1637501466763776,2.681961286273836,0.0524660419073638,-0.0810957472903046,0.0267710562590077,0.0348444473349836,0.0004322571261361,-0.0099854157306764,0.8129830538696619,0.7866216578245716,0.8079115757386917,0.8095050394146366,0.8027130266666505,0.8006568667297677,0.999676377696437,0.9902581086569172,0.9993181511939048,0.9993664402638508,0.999306895169141,0.9979874432505276,0.1249579449128783,-3.1113067237592382,0.0193423960282321,-0.0485493212842458,-0.1016107750319408,-0.365442981351612,0.9415650075861172,0.7254484259884352,0.9345120394826356,0.9299782551273128,0.9264348304152122,0.9088162109901502,0.2303971679244627,0.0181384362527328,0.1814262068408534,0.2403527112172234,0.0449407784496866,0.025791487166927,0.9022975437438738,0.8901908516793464,0.8998236533933179,0.900851075967092,0.8967089347816868,0.8952408756383867,0.9999438994511236,0.9997648588374732,0.9999056878541492,0.9999197017857282,0.9999232636586388,0.9998170541933796,0.3661168944035259,-0.046399704726422,0.2926077667498395,0.1095638623559919,0.0266899794163229,-0.0166426260040783,0.972218352615503,0.9237068551439072,0.9731775062887228,0.9710632861999468,0.966082450877142,0.9596665093069908
test2_linreg_nc10_nv8_nd9_noTS,linreg,10,16,0.6002222334969601,0.6418541495656309,0.6292312739178936,0.6212924265652264,0.6440335439547186,0.6501504218694484,0.6002222334969601,0.6418541495656309,0.6292312739178936,0.6212924265652263,0.6440335439547185,0.6501504218694484,0.0006070372893017,0.0040060180984385,0.0014155461720784,0.0012701922928879,0.0013839475365787,0.0040348745766536,1.381379566896496,2.433365374445664,1.9168262669922465,2.0595284642712577,2.148270549319765,2.681961286273836,1.3813795634074657,2.433365382099384,1.916826266992247,2.0595284642712577,2.148270549319765,2.681961286273836,0.0675762383017388,0.002902546423824,0.0225117320521871,0.0348444473349836,-0.0004830647733118,-0.0099854157306764,0.8159653879179254,0.8032005933196092,0.8070709031707743,0.8095050394146366,0.8025323674882654,0.8006568667297677,0.9996972156208188,0.9980018365851642,0.9992939391426712,0.9993664402638508,0.9993097002390674,0.9979874432505276,0.2967105663102535,-0.2388775664309199,0.0241033731059834,-0.0485493212842458,-0.0937297859688581,-0.365442981351612,0.953034585809676,0.9172682034148616,0.9348299758119204,0.9299782551273128,0.9269611200177306,0.9088162109901502,0.2604322816257478,0.1255125675892696,0.1584449639577828,0.2403527112172234,0.0319965828001756,0.025791487166927,0.9040675811569852,0.8972873784971889,0.8995225584661404,0.900851075967092,0.8966313897624876,0.8952408756383867,0.9999423441221114,0.9999012606365676,0.9999451766482788,0.9999197017857282,0.9999264085378184,0.9998170541933796,0.5629614439814734,0.302169036036401,0.28873881187068,0.1095638623559919,0.0369936222649077,-0.0166426260040783,0.9798670894663678,0.9659863936656288,0.975583998431023,0.9710632861999468,0.9663254814514006,0.9596665093069908
test3_linreg_nc10_nv8_nd9_noTS,linreg,10,14,0.642963776925997,0.6342566394338136,0.6390088010051309,0.6212924265652264,0.6435669862719672,0.6501504218694484,0.642963776925997,0.6342566394338134,0.6390088010051309,0.6212924265652263,0.6435669862719672,0.6501504218694484,0.0011613049188598,0.0017279561693331,0.0012482256950837,0.0012701922928879,0.0009453609587672,0.0040348745766536,1.9897672502156256,2.16694704155117,1.975895346436096,2.0595284642712577,2.0489101331124195,2.681961286273836,1.9897672469437613,2.166947034973055,1.9758953464360964,2.0595284642712577,2.0489101331124195,2.681961286273836,0.0011787800258217,0.0147050065482632,0.0073226935960922,0.0348444473349836,0.0002417158917857,-0.0099854157306764,0.8028603696000863,0.8055300718891594,0.8040730078843266,0.8095050394146366,0.8026754191070946,0.8006568667297677,0.9994207522419234,0.9991381120316588,0.9993773969922036,0.9993664402638508,0.9995284630185872,0.9979874432505276,-0.0130324178187331,-0.1032383815493223,-0.0059699394188081,-0.0485493212842458,-0.0431433052359506,-0.365442981351612,0.9323500612210162,0.9263261396636252,0.9328216908659072,0.9299782551273128,0.9303392669260212,0.9088162109901502,0.1387323840150324,0.1374284628572997,0.0920088417552065,0.2403527112172234,0.0354277601275174,0.025791487166927,0.8966768884132141,0.8978719590619476,0.8976407523915797,0.900851075967092,0.8966507567008519,0.8952408756383867,0.999949146747566,0.9996052052403432,0.9999150122484348,0.9999197017857282,0.999928446604859,0.9998170541933796,0.2748224770773124,0.1147289223071317,0.2262364288645689,0.1095638623559919,0.0425847616905955,-0.0166426260040783,0.9716860684380606,0.9630753847463538,0.9732296907229682,0.9710632861999468,0.9679972954024932,0.9596665093069908
test4_linreg_nc10_nv8_nd9_noTS,linreg,10,12,0.6418411532874484,0.6389320058907716,0.6277199619704144,0.6212924265652264,0.6448284375042593,0.6501504218694484,0.6418411532874483,0.6389320058907716,0.6277199619704144,0.6212924265652263,0.6448284375042594,0.6501504218694484,0.0025687134831633,0.0009421456179864,0.0014730207142822,0.0012701922928879,0.001392789480333,0.0040348745766536,2.9531634011892027,1.452005358130226,1.8716511609132227,2.0595284642712577,2.1476812689316067,2.681961286273836,2.9531634004928327,1.4520053574960887,1.8716511609132227,2.0595284642712577,2.1476812689316063,2.681961286273836,0.0029227356769285,0.0074419920582532,0.0248595010825978,0.0348444473349836,-0.0017179034584673,-0.0099854157306764,0.8032045781187059,0.8040965540948669,0.8075342877181426,0.8095050394146366,0.8022886445505394,0.8006568667297677,0.9987187503453234,0.9995300667997375,0.9992652713921284,0.9993664402638508,0.9993052899623058,0.9979874432505276,-0.5035176904214773,0.260753488392666,0.0471029711401211,-0.0485493212842458,-0.0934297709111549,-0.365442981351612,0.8995956318235032,0.9506333850392588,0.9363658806597231,0.9299782551273128,0.9269811549148996,0.9088162109901502,0.1459958957041342,0.1397977043079556,0.1633409654325329,0.2403527112172234,0.0155749408494231,0.025791487166927,0.8970992547646921,0.8971153085550105,0.8996758027087943,0.900851075967092,0.8964991275617531,0.8952408756383867,0.9999490853544268,0.9998279449205992,0.9999028046608912,0.9999197017857282,0.9999313844276154,0.9998170541933796,0.1378981413266096,0.5422456626376331,0.3273423139166378,0.1095638623559919,0.0406559713903936,-0.0166426260040783,0.9569023617898054,0.9772646453744114,0.9741030023735971,0.9710632861999468,0.9663964789921606,0.9596665093069908
test5_linreg_nc10_nv8_nd9_noTS,linreg,10,14,0.641953556117418,0.6580401332027244,0.6404620476245075,0.6212924265652264,0.6441471872149852,0.6501504218694484,0.641953556117418,0.6580401332027244,0.6404620476245075,0.6212924265652263,0.6441471872149853,0.6501504218694484,0.000670507529065,0.0024466755657443,0.0012936328216317,0.0012701922928879,0.0009351544487555,0.0040348745766536,2.08556776687991,2.3005382741260587,2.132194735213867,2.0595284642712577,2.052681730580739,2.681961286273836,2.085567767601709,2.300538278012469,2.132194735213868,2.0595284642712577,2.05268173058074,2.681961286273836,0.0027481219027349,-0.0222417999656063,0.0050651269751096,0.0348444473349836,-0.000659605511585,-0.0099854157306764,0.8031701141984178,0.7982377961195378,0.8036274267929724,0.8095050394146366,0.8024975232386662,0.8006568667297677,0.9996655572738246,0.9987796216883422,0.9993547483528786,0.9993664402638508,0.9995335539279134,0.9979874432505276,-0.0618064787116274,-0.1712524919032136,-0.0855452504005207,-0.0485493212842458,-0.0450635049487344,-0.365442981351612,0.9290929469191,0.9217841815894304,0.9275076803462096,0.9299782551273128,0.9302110366828998,0.9088162109901502,0.122569896401246,0.0911993777432816,0.07957770644716,0.2403527112172234,0.0155177182981985,0.025791487166927,0.8968103189056345,0.8935982572991567,0.8974851677389423,0.900851075967092,0.8965440875636588,0.8952408756383867,0.9999271117511483,0.9995195930718164,0.999924143678608,0.9999197017857282,0.99992909019622,0.9998170541933796,0.103546423485662,0.2427359213688595,0.0585568609062918,0.1095638623559919,0.0298506411602753,-0.0166426260040783,0.9684021572810138,0.9613246888546444,0.9715708523187604,0.9710632861999468,0.9679085165428308,0.9596665093069908
test1_lgbm_nc10_nv8_nd9_noTS,lgbm,10,18,0.627236539884304,0.6291353536164724,0.6163723736430081,0.6212924265652264,0.6500937051988285,0.6501504218694484,0.627236539884304,0.6291353536164724,0.6163723736430081,0.6212924265652263,0.6500937051988285,0.6501504218694484,0.001615756418551,0.0055561275119192,0.0013990253074413,0.0012701922928879,0.0040320745067184,0.0040348745766536,1.918101113349436,2.969396798321237,2.026437758659603,2.0595284642712577,2.68200155573628,2.681961286273836,1.918101112465972,2.969396781071681,2.026437758659604,2.0595284642712577,2.682001555736279,2.681961286273836,0.0256104799948465,0.0226607408080827,0.0424875734930427,0.0348444473349836,-0.0098973084123883,-0.0099854157306764,0.8076825101449775,0.8071003133699933,0.8110135807188938,0.8095050394146366,0.8006742566728481,0.8006568667297677,0.9991940761914948,0.997228656873316,0.999302179591538,0.9993664402638508,0.9979888398985622,0.9979874432505276,0.0234543219732787,-0.5117824548276129,-0.0317021460633903,-0.0485493212842458,-0.3654634833831434,-0.365442981351612,0.9347866324417936,0.8990437144050103,0.9311033034022907,0.9299782551273128,0.9088148418718912,0.9088162109901502,0.1740535740292164,0.1900117333060933,0.219681409120276,0.2403527112172234,0.0261941386325033,0.025791487166927,0.8991207656982866,0.8997354497982208,0.9017631953039026,0.900851075967092,0.895249996738805,0.8952408756383867,0.9997158039906346,0.9998981138212316,0.9999405132369704,0.9999197017857282,0.9998170767445856,0.9998170541933796,0.3176516709986411,0.1974564550666799,0.2115635400134618,0.1095638623559919,-0.0166665566930281,-0.0166426260040783,0.9688247450171242,0.9607791375529148,0.971512381297526,0.9710632861999468,0.9596561043273136,0.9596665093069908
test2_lgbm_nc10_nv8_nd9_noTS,lgbm,10,16,0.631777211078445,0.6627475518222938,0.6251667339410378,0.6212924265652264,0.6500859569219887,0.6501504218694484,0.631777211078445,0.662747551822294,0.6251667339410378,0.6212924265652263,0.6500859569219887,0.6501504218694484,0.0018983949597518,0.0160159655309257,0.001372120189302,0.0012701922928879,0.0040321858730077,0.0040348745766536,2.1110781905641973,5.648645974071174,2.0673049722767622,2.0595284642712577,2.6798632021212905,2.681961286273836,2.1110782076822456,5.648645964579159,2.0673049722767627,2.0595284642712577,2.67986320212129,2.681961286273836,0.0185567097757576,-0.0295546063432956,0.0288258494628543,0.0348444473349836,-0.0098852717415778,-0.0099854157306764,0.8062902913713785,0.796794450786405,0.8083171349765752,0.8095050394146366,0.8006766323781168,0.8006568667297677,0.9990530987972912,0.9920113899661008,0.9993155996064796,0.9993664402638508,0.9979887843501252,0.9979874432505276,-0.0747943727387672,-1.8758446435859613,-0.0525085053074774,-0.0485493212842458,-0.3643748025173239,-0.365442981351612,0.9282256194905658,0.8079521339619606,0.9297138622485503,0.9299782551273128,0.90888754358681,0.9088162109901502,0.1440403595419981,0.1216055631816627,0.174490256648772,0.2403527112172234,0.0262475653640068,0.025791487166927,0.8987595101572355,0.8953224226908358,0.9001094857984558,0.900851075967092,0.8952515126989342,0.8952408756383867,0.999926515411181,0.9997506322959188,0.9999271233808872,0.9999197017857282,0.9998171320940992,0.9998170541933796,0.2366039372644708,0.1045314102009867,0.1816694184692032,0.1095638623559919,-0.0156751349147609,-0.0166426260040783,0.9668389675255258,0.946265963810018,0.9704523407589118,0.9710632861999468,0.9596971652873,0.9596665093069908
test3_lgbm_nc10_nv8_nd9_noTS,lgbm,10,19,0.6436608855512199,0.6413180478528653,0.6281069075906255,0.6212924265652264,0.650084880792559,0.6501504218694484,0.6436608855512201,0.6413180478528653,0.6281069075906255,0.6212924265652263,0.6500848807925589,0.6501504218694484,0.0006261953615134,0.0004479679658655,0.0012291439367251,0.0012701922928879,0.0040329247459996,0.0040348745766536,1.796198095530931,1.760415514454215,2.0931593635831622,2.0595284642712577,2.6816956746291014,2.681961286273836,1.7961980954094134,1.760415509638098,2.0931593635831622,2.0595284642712577,2.681695674629101,2.681961286273836,9.584672150941832e-05,0.0037353612510213,0.02425839490786,0.0348444473349836,-0.0098836000130164,-0.0099854157306764,0.8026466285750754,0.8033649678882928,0.8074156460165556,0.8095050394146366,0.8006769623310095,0.8006568667297677,0.9996876597581016,0.9997765578740744,0.999386914790303,0.9993664402638508,0.9979884158073616,0.9979874432505276,0.0855177160042629,0.1037353817237142,-0.0656715204960707,-0.0485493212842458,-0.3653077528686643,-0.365442981351612,0.938931203448034,0.9401477727430112,0.928834840849574,0.9299782551273128,0.9088252414993884,0.9088162109901502,0.1141190423261997,0.1283596011212879,0.2204223901229812,0.2403527112172234,0.0262623251600463,0.025791487166927,0.8963323546691094,0.896740979920539,0.8996927969173498,0.900851075967092,0.8952520841575716,0.8952408756383867,0.999872863497531,0.999916617439703,0.999927325911142,0.9999197017857282,0.999817230306014,0.9998170541933796,0.3310328923061292,0.3284573676335512,0.0816319708517412,0.1095638623559919,-0.0164133788023803,-0.0166426260040783,0.972371394249094,0.971984943538262,0.9713551898375828,0.9710632861999468,0.95966930441823,0.9596665093069908
test4_lgbm_nc10_nv8_nd9_noTS,lgbm,10,9,0.6523042582739713,0.6601998734114711,0.6308027166291129,0.6212924265652264,0.6501020651049467,0.6501504218694484,0.6523042582739713,0.6601998734114711,0.6308027166291129,0.6212924265652263,0.6501020651049467,0.6501504218694484,0.0015316710033006,0.0096211578535282,0.0010134506988116,0.0012701922928879,0.0040334657676284,0.0040348745766536,2.7711796896987604,3.928672245780249,2.1280867924605613,2.0595284642712577,2.675954500249451,2.681961286273836,2.771179693599297,3.928672274942412,2.1280867924605613,2.0595284642712577,2.675954500249452,2.681961286273836,-0.0133313235133445,-0.0255968790968776,0.020070552031994,0.0348444473349836,-0.0099102952273963,-0.0099854157306764,0.7999964772522149,0.7975755964719189,0.8065890818825432,0.8095050394146366,0.8006716934354443,0.8006568667297677,0.9992360171903484,0.9952010587174396,0.9994945005091478,0.9993664402638508,0.9979881459509607,0.9979874432505276,-0.4108659497544162,-1.0001697904761624,-0.0834538102186648,-0.0485493212842458,-0.3623848000648597,-0.365442981351612,0.9057828814372608,0.866429382989006,0.9276473459659929,0.9299782551273128,0.90902043523167,0.9088162109901502,0.0451753124943539,0.0698401719529598,0.1454116895436219,0.2403527112172234,0.0261255064994631,0.025791487166927,0.8952917863533022,0.8946582498813915,0.8990170412423518,0.900851075967092,0.8952491249273884,0.8952408756383867,0.9999407584634028,0.9996539733573924,0.9999346071884744,0.9999197017857282,0.999817153507424,0.9998170541933796,0.0339908276400045,0.1015770616334345,0.1387253996994178,0.1095638623559919,-0.013301258933576,-0.0166426260040783,0.9585271583058552,0.9535927719584892,0.9711648665813988,0.9710632861999468,0.9597686755157158,0.9596665093069908
test5_lgbm_nc10_nv8_nd9_noTS,lgbm,10,11,0.6267041928257581,0.6651983673627686,0.6159562855873306,0.6212924265652264,0.6500666954661872,0.6501504218694484,0.6267041928257582,0.6651983673627685,0.6159562855873306,0.6212924265652263,0.6500666954661872,0.6501504218694484,0.0006045815192406,0.0010779658088326,0.0016190311687729,0.0012701922928879,0.004037023732341,0.0040348745766536,1.8232966836886768,2.114713769301503,1.9708571892664288,2.0595284642712577,2.680634520878839,2.681961286273836,1.823296679270351,2.114713769906224,1.9708571892664293,2.0595284642712577,2.680634520878839,2.681961286273836,0.0264374621010681,-0.0333618605867185,0.0431339513984598,0.0348444473349836,-0.0098553497592321,-0.0099854157306764,0.8078457334961715,0.7960430043019118,0.811141157805588,0.8095050394146366,0.8006825381482612,0.8006568667297677,0.9996984405353776,0.999462320990888,0.9991924427774846,0.9993664402638508,0.9979863712722784,0.9979874432505276,0.0717212539919645,-0.0766453224506111,-0.0034049074843516,-0.0485493212842458,-0.3647674971431824,-0.365442981351612,0.9380098808450988,0.9281020142989248,0.9329929827718376,0.9299782551273128,0.9088613195815614,0.9088162109901502,0.1665141626327944,0.0386666783370011,0.2254620660944222,0.2403527112172234,0.0264045642657421,0.025791487166927,0.8995948637960169,0.8925087069514753,0.9018512082295934,0.900851075967092,0.8952562511339092,0.8952408756383867,0.9999024311265684,0.9997381975567016,0.9999232891950888,0.9999197017857282,0.99981728014756,0.9998170541933796,0.269165274044154,0.136689870258573,0.2535697644102475,0.1095638623559919,-0.0156169960216537,-0.0166426260040783,0.9729761173329252,0.966855257355802,0.9723066109892828,0.9710632861999468,0.9597044281539406,0.9596665093069908
