,50,60,70,75,80,90
0,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7,abs_vo850_cluster7
1,abs_vo850_cluster11,abs_vo850_cluster11,sst_cluster9,sst_cluster9,sst_cluster9,sst_cluster9
2,msl_cluster2,msl_cluster2,vws850-200_cluster12,vws850-200_cluster12,vws850-200_cluster12,vws850-200_cluster12
3,msl_cluster6,sst_cluster9,TNA,TNA,TNA,month
4,msl_cluster9,vws850-200_cluster12,month,month,month,
5,sst_cluster9,TNA,,,,
6,sst_cluster11,month,,,,
7,vo850_cluster1,,,,,
8,vo850_cluster7,,,,,
9,vws850-200_cluster12,,,,,
10,w_cluster5,,,,,
11,TNA,,,,,
12,month,,,,,
