,50,60,70,75,80,90
0,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1,abs_vo850_cluster1
1,abs_vo850_cluster5,abs_vo850_cluster5,mpi_cluster4,mpi_cluster4,mpi_cluster5,mpi_cluster5
2,mpi_cluster4,mpi_cluster4,mpi_cluster5,mpi_cluster5,mpi_cluster6,vws850-200_cluster2
3,mpi_cluster5,mpi_cluster5,mpi_cluster6,mpi_cluster6,msl_cluster1,vws850-200_cluster3
4,mpi_cluster6,mpi_cluster6,msl_cluster1,msl_cluster1,msl_cluster3,w_cluster1
5,msl_cluster1,msl_cluster1,msl_cluster3,msl_cluster3,vws850-200_cluster2,w_cluster4
6,msl_cluster3,msl_cluster3,sst_cluster1,sst_cluster1,vws850-200_cluster3,SOI
7,r700_cluster4,sst_cluster1,vws850-200_cluster2,vws850-200_cluster2,vws850-200_cluster6,month
8,sst_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster3,w_cluster1,
9,sst_cluster3,vws850-200_cluster3,vws850-200_cluster6,vws850-200_cluster6,w_cluster4,
10,vws850-200_cluster2,vws850-200_cluster6,w_cluster1,w_cluster1,w_cluster5,
11,vws850-200_cluster3,w_cluster1,w_cluster4,w_cluster4,ENSO3.4,
12,vws850-200_cluster6,w_cluster4,w_cluster5,w_cluster5,SOI,
13,w_cluster1,w_cluster5,ENSO3.4,ENSO3.4,month,
14,w_cluster4,ENSO3.4,NAO,NAO,,
15,w_cluster5,NAO,SOI,SOI,,
16,ENSO3.4,PNA,month,month,,
17,NAO,SOI,,,,
18,PNA,month,,,,
19,SOI,,,,,
20,month,,,,,
