,mgv250_cluster1,mgv250_cluster2,mgv250_cluster3,mgv250_cluster4,mgv250_cluster5,mgv250_cluster6
1965-01-01,0.6980486,0.681565,-1.2125705,0.4054657,0.7424952,1.3175058
1965-02-01,-0.096105,0.2585855,-0.60680044,0.3299652,-0.2706539,2.381283
1965-03-01,-1.2118347,0.49288732,-1.2506886,0.40693742,1.0480295,1.9690472
1965-04-01,0.37500057,0.82417697,-0.16895637,0.072851375,-0.35630938,0.87539375
1965-05-01,-0.95486814,0.38074034,-0.12701169,0.27815977,0.2675632,0.48582307
1965-06-01,-1.0782003,0.13304572,1.346205,0.13907985,-0.41076392,0.85390633
1965-07-01,-0.4911211,0.3529244,0.86229515,-0.23533192,-0.6122458,0.27138978
1965-08-01,0.96178514,-0.06196046,0.27757102,-0.007358551,-2.1355014,0.6324087
1965-09-01,-2.2603056,0.26844636,0.7816437,0.18279056,0.84257376,1.3918291
1965-10-01,0.4434367,0.09654641,-0.14776306,0.082712054,0.564267,-1.1257378
1965-11-01,-0.5118729,0.3480676,0.00250206,-0.022076165,-0.4943592,-0.031495333
1965-12-01,-0.22252779,0.2332716,-0.80092335,0.11052799,-0.40208054,0.6185743
1966-01-01,-0.37743568,0.8102791,-0.99270403,-0.38756257,0.59081936,1.7922777
1966-02-01,0.18618622,0.36383718,-0.9657959,0.12557082,-0.4247419,0.53743726
1966-03-01,0.7147989,0.27486703,-0.58966213,0.36730924,0.49143332,0.44441643
1966-04-01,-0.14698152,-0.06886139,-1.0303174,0.2771818,0.2699484,0.9150179
1966-05-01,0.20701823,0.693967,-0.48969746,0.07725201,0.03920474,0.029801417
1966-06-01,0.01866207,0.047016717,-0.022134017,0.31551856,-0.32723647,0.76470906
1966-07-01,-0.2454998,0.097071454,1.3151665,-0.14510079,-0.7406943,1.058238
1966-08-01,-0.24578896,0.17996559,0.14683685,0.22076169,-0.23103294,0.43428975
1966-09-01,-0.82778376,-0.36788782,0.7001876,0.023002053,-0.16998355,-0.092876054
1966-10-01,-0.02285738,0.0098373415,-0.5856115,0.21049032,0.51834136,-0.042242717
1966-11-01,-0.30712774,0.15407018,-0.043110706,0.025606012,-0.16998348,0.012730693
1966-12-01,0.3605097,0.51834136,-1.2364676,0.24824838,0.3858266,1.4628713
1967-01-01,0.4965868,0.6792681,-0.87027586,-0.1363864,0.29725266,1.2331406
1967-02-01,-1.0852636,0.28692794,-2.2219844,0.3407165,1.8213179,1.1691939
1967-03-01,-0.6313081,0.5640307,0.120899394,0.18051653,-0.08559551,1.0419663
1967-04-01,-1.3626995,0.97385633,0.8689434,-0.098251596,-1.1315584,1.0124909
1967-05-01,-1.0489604,0.22947574,-0.50574577,0.07726903,0.8811002,0.0822649
1967-06-01,-1.0611172,0.21781874,0.6624487,0.27060813,0.5980024,0.2967531
1967-07-01,1.1961712,-0.13089113,0.36536264,0.09841804,-1.1149057,0.37352252
1967-08-01,0.6611166,0.043130778,-0.27760234,-0.1288927,-1.2229825,0.044463016
1967-09-01,-0.728727,-0.18068299,0.37135768,0.23380557,0.5831814,-0.4284768
1967-10-01,-0.19117427,-0.23913436,-1.2456304,0.21781874,0.669443,0.1863449
1967-11-01,-0.43097472,0.35920113,-1.0556215,0.066611245,-0.24879313,1.5701935
1967-12-01,-0.8885937,0.39017543,-1.3263962,-0.02814331,0.071607016,1.9237328
1968-01-01,0.4283742,1.0999565,-0.40883836,0.18813927,0.7202803,1.7566742
1968-02-01,0.7263676,0.9469253,-1.0443215,0.38066703,2.3191102,1.4051696
