,mgu250_cluster1,mgu250_cluster2,mgu250_cluster3,mgu250_cluster4,mgu250_cluster5,mgu250_cluster6
1975-10-01,-0.25683594,0.33125916,1.6600933,0.48802108,2.3682141,1.0023263
1975-11-01,1.1394535,0.1637291,0.56909335,-1.4270089,3.0665174,-0.8487312
1975-12-01,1.1863241,-0.9095362,-0.54850847,-0.17956352,1.9007782,-0.34804344
1976-01-01,2.483623,-1.6426293,-1.085891,-0.10731049,0.12480392,-1.0313947
1976-02-01,0.55337393,-0.91062814,-0.0003364563,-0.013119507,0.527808,-0.26407203
1976-03-01,-2.1808653,-0.1705536,0.7262825,-1.7307647,0.8245104,0.95805967
1976-04-01,-0.24287872,0.1836731,-0.3448078,-0.8191277,2.8563511,2.2370434
1976-05-01,-0.8810253,0.819801,-1.2503895,-1.6345555,2.3739572,2.0025744
1976-06-01,-1.6456566,0.6731316,1.9437046,-0.30612183,1.3445809,1.4690479
1976-07-01,-3.2169693,0.14364167,0.012446975,1.3977318,3.0467522,0.7424294
1976-08-01,-1.2614906,0.11672974,1.0283673,1.3267515,1.2699006,1.0421597
1976-09-01,-0.19780198,0.23749657,1.0943012,-1.3196872,2.4516652,1.2251599
1976-10-01,0.26979104,0.32193223,0.926775,-1.8602784,2.382031,1.5501198
1976-11-01,1.3630825,0.5732212,-2.2895215,0.3229416,1.256108,2.1657271
1976-12-01,0.8615139,0.32226866,-0.5604378,-0.911301,1.2736008,0.82821083
1977-01-01,1.2550446,0.33684883,0.539241,-2.0773513,-2.7574182,0.6945736
1977-02-01,2.7018666,0.025475692,-1.540588,-0.84106064,-0.1617012,-1.0742359
1977-03-01,-0.6241611,-0.3039425,1.3576561,-2.6834674,2.172533,0.8980278
1977-04-01,0.21831512,0.9419025,-1.51865,-0.9610096,1.6481527,2.5553799
1977-05-01,0.1362255,0.68820494,-0.97445524,-0.7179266,1.5611099,2.3045125
1977-06-01,1.084851,0.526857,0.36090928,1.4864514,3.4141319,2.049045
1977-07-01,-3.697906,0.20203857,0.60753095,2.6884212,1.2030312,2.1919937
