,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7
1965-01-01,-28.744773337976657,-36.10622069465199,-7.59583691212598,-38.694406640173625,-25.277391070971024,4.601480955678815,-11.872347569448936
1965-02-01,-31.95554071973914,-40.73595889226468,-3.35140748229537,-41.75694054339488,-21.365610229268025,13.253366965959508,-18.238999888232552
1965-03-01,-25.81668682408348,-45.94323004254734,-4.28642522956199,-31.21033221039933,-23.694340174874014,14.087509424342578,-25.036407164520906
1965-04-01,-35.600473848462435,-37.074983678420885,-1.9805266070880605,-45.147592348901306,-24.412492863919994,19.4707629714376,-10.892256885070784
1965-05-01,-37.63080458368162,-28.869412853082192,-7.881804775428829,-39.66610213995363,-24.01897311306672,6.383896251016339,-18.99103831420622
1965-06-01,-34.24383411559355,-25.089571517793413,-13.017793065760129,-31.23363163196357,-20.5014937561162,-5.0722084894923665,-19.353563097350015
1965-07-01,-35.37710313022932,-18.284159230821622,-17.189518899229817,-25.956214471811695,-21.602576224219536,-7.305490387421557,-21.91262331135605
1965-08-01,-33.852579846443554,-19.078200311614886,-16.216067734769677,-25.510728594706624,-20.664331708213766,-7.44711881969529,-17.131609043099257
1965-09-01,-28.08820254613925,-17.545939654175697,-18.786468169501514,-32.29895675381451,-22.421027370430824,-14.587137943737062,-12.064132536551217
1965-10-01,-19.627556644591127,-25.765294891164192,-21.498372458094398,-36.3001514761281,-26.170776931996524,-22.489384625783234,-7.8507609877325475
1965-11-01,-29.655258798705074,-22.479395642022475,-26.915934300134005,-36.7279076927794,-32.660054372007146,-34.82634043289517,-11.616415817378437
1965-12-01,-20.016578594604496,-33.40490176835132,-32.611763478358725,-31.693739522504195,-35.527669289444034,-45.89014430211025,-5.953407131428842
1966-01-01,-28.314237897001803,-42.946027804822315,-38.16134248660732,-27.96187241034971,-37.29834028225456,-51.0891688906685,-23.595754300897237
1966-02-01,-33.36042007672992,-43.3117420934234,-35.53484060809054,-27.310064881260445,-33.27011718862655,-43.59154602170165,-35.64389229909596
1966-03-01,-48.39255582317386,-36.70700165307213,-34.49423822400356,-50.92754720363936,-40.738408706175115,-36.4552782097585,-10.592361997637882
1966-04-01,-37.76908408350679,-37.300141405499865,-33.25867785544084,-35.037570201875994,-37.877524365417926,-33.264306897193784,-33.261173960893686
1966-05-01,-42.906568143874864,-26.69332084282899,-27.568450126963153,-49.34816705314101,-36.006346605148075,-18.99165528608683,-10.797132551532256
1966-06-01,-39.365725846047546,-27.343027161453243,-13.000894279425118,-34.05893567167069,-21.893177105106233,-0.9390596280921792,-21.13742102525151
1966-07-01,-37.06282847899526,-22.162787899580813,-9.157605957212336,-28.880566161079628,-18.480617287328172,6.200615527558239,-25.8739668432845
1966-08-01,-30.52662411127074,-22.827045516621727,-3.3472227238769907,-22.22764572779283,-11.79794952533418,18.24355606835042,-20.553943559654414
1966-09-01,-21.25769397739904,-27.459764407668168,0.5130662675737421,-25.955998978220236,-8.447607218425071,19.330821181364943,-15.278173908918932
1966-10-01,-15.384702377497069,-27.65255609274272,5.623426248267696,-26.09159717500296,-6.580630081329368,17.348814469132858,-13.123685293130805
1966-11-01,-22.93525164814689,-22.59171409930244,4.548797469111569,-23.781465280226016,-8.722131522045126,4.015684243523871,-11.151410059786599
1966-12-01,-25.706446683201243,-32.07824033414807,4.715117695405507,-28.689725410797386,-10.46459786179211,9.558600080794799,-2.043141883304855
1967-01-01,-19.042787566796164,-33.92067561394638,-2.594361636930831,-33.95311013629882,-13.55133925834559,7.83577727357121,-14.446216672671245
1967-02-01,-22.353511006062906,-42.597115184909065,3.0675424591889593,-38.567813140220935,-13.502957378520469,11.724762846679756,-12.568089123754797
1967-03-01,-34.56861795981574,-30.874708040480762,-1.3256288927007778,-43.01859810308901,-18.81380483422582,17.764258688434715,-11.434037387291674
1967-04-01,-40.58266477263376,-32.80679672214115,3.4359558757768274,-46.82835324451873,-17.81384895761661,25.001673685436934,-16.3983038029173
1967-05-01,-33.091478462680975,-32.15210391693178,4.563296016746288,-38.82817470827473,-15.635344866623846,29.097973867605607,-17.4630916028002
1967-06-01,-30.5757618494622,-20.72471068005331,1.1005275074243503,-31.143617405145708,-13.673499450389338,30.389960826548652,-16.2548627122094
1967-07-01,-29.842077158314943,-19.118690837158486,1.0915764746520482,-19.11556494384187,-8.081781950711244,22.89175154883793,-22.12687861460698
1967-08-01,-28.713456157670823,-18.825695883605444,-0.4868807300070508,-17.43600306659544,-9.60340263421949,23.27680970119965,-21.107810390844502
1967-09-01,-24.52659463733525,-22.040961308526114,2.348154357250169,-20.840633342556554,-7.898802521448347,26.82297975379581,-13.80963617660517
1967-10-01,-19.616187316235667,-24.702336435026908,0.9441362597711214,-31.318656703407203,-11.053418690912062,11.478470514427634,-4.101650416038594
1967-11-01,-19.706455346560258,-35.76189389764762,-2.969984926508081,-33.210219552377154,-15.827713880368242,1.8125501784706473,-5.693195953372402
1967-12-01,-22.593829295066175,-32.85201453252604,-10.456837939027707,-34.46871043483199,-24.76381397058299,-8.416044205485077,-9.290717915148948
1968-01-01,-30.542577097894707,-36.17449388598425,-18.174763853843196,-37.36336735213379,-26.30335378558884,-11.99415640993585,-12.796263645213353
1968-02-01,-35.890181170607065,-45.169142296042274,-6.644795071676088,-28.19588771624062,-18.69656584546195,-3.9522630751286973,-21.770755558079493
1968-03-01,-39.13005583973869,-38.704679926603106,-2.3492117982361322,-36.295676986305054,-17.08290726204904,6.274413624134171,-11.861545282292905
1968-04-01,-43.18027840048459,-36.378672307801644,-15.993889801617962,-47.75495858535687,-30.085470788987404,-4.9574184396636936,-20.207324908020613
1968-05-01,-33.4193160466266,-37.297467933337266,-15.327275398190839,-43.73563585435924,-26.392301392897522,-5.783821380766456,-21.3058736147102
1968-06-01,-32.66481192824752,-24.738966529928604,-14.357579871523209,-32.63028215011554,-19.46856016876143,-6.802500756510457,-16.719233538704945
1968-07-01,-33.06798427708411,-18.76604920356508,-20.94378495822483,-25.9311094755996,-23.01033387005356,-10.854506669687987,-23.657204975989938
1968-08-01,-32.02633614491597,-17.23112926720065,-21.49184015651454,-24.904461359599818,-22.697443282196318,-15.38895094475663,-19.052320260827038
1968-09-01,-23.83835891507226,-23.99331783454178,-20.08488942053248,-28.613910585038703,-21.617447246636385,-16.001986725517746,-14.711826719290935
1968-10-01,-18.250048845753078,-24.248934614303703,-21.031415713192494,-31.455505826230613,-25.828664980141884,-20.7575508667993,-14.864389138152866
1968-11-01,-18.107855428163848,-31.7565472630902,-20.941358133367245,-28.017501357437954,-26.103233433486682,-30.25898352077921,-14.243882052164755
1968-12-01,-17.836109808355015,-32.742337684137944,-25.693661523135166,-32.80685584411451,-29.31170784755513,-34.070083911599994,-8.013284029284922
