,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7
1965-01-01,25.22581800629821,24.933566469134707,28.205048243204754,33.79956740367262,88.67697880185884,30.0536568100388,185.19328832626343
1965-02-01,24.37497875358485,24.532503070253316,27.323430379231773,33.88518562799767,92.2281265258789,29.418705605171823,137.5652313232422
1965-03-01,23.844013938420936,24.49888942217586,27.19789187113444,34.294005285335494,95.57850936363484,29.304192517254805,114.4876480102539
1965-04-01,24.485757079305525,25.15332963731554,27.96202341715495,34.966587114937695,95.63734778042497,29.951368795858848,141.4108157157898
1965-05-01,26.346486731420587,25.710693513504182,30.179169972737633,35.290409039847454,94.35774704505658,31.38473871591929,244.05062198638916
1965-06-01,28.91280983067766,26.786284013227984,33.10589790344238,35.14386068416547,89.76318096292431,33.52705465780722,380.3959608078003
1965-07-01,31.47145524809632,27.41014114534012,36.15609169006348,34.71853159650971,86.41389649489831,35.25182620899098,520.626974105835
1965-08-01,32.91343495815615,27.982403533627288,38.50746154785156,34.69852012924001,84.80552147174704,36.170286745638464,578.9309501647949
1965-09-01,32.195709325090235,28.353084217418324,37.68288930257162,35.067666935015325,85.03696836274246,36.38413145735457,522.1500396728516
1965-10-01,30.71860784216772,28.028098982994003,35.28561592102051,35.30150787739814,87.76698934620825,35.59544022018845,401.09715461730957
1965-11-01,28.77595877345604,27.189247054283065,32.13747024536133,35.079440587683564,88.93407624343347,34.184417209109746,317.1069145202637
1965-12-01,27.038376240790644,26.16881746234316,29.82580820719401,34.757935246334796,88.72443232043037,32.22844922864759,235.98389625549316
1966-01-01,25.21261384215536,25.227475407147647,28.326400121053062,34.66867495186721,91.85193818191003,30.56388803430506,173.69719743728638
1966-02-01,24.270086650606952,24.723368943339647,27.238054275512695,34.62649719624579,93.58061428727775,29.80961155247044,128.60403060913086
1966-03-01,23.956704441505142,24.644618564181858,26.927277247111004,34.738966784899745,93.46890285097321,29.467672915072054,123.42407703399658
1966-04-01,24.615997604176968,25.297498221349233,27.617483139038086,35.3466311587563,93.48119538405847,30.39169827023068,151.58140659332275
1966-05-01,26.224141181269776,26.06799000441426,29.495855967203777,35.560743114616294,90.5523234400256,31.68102470604149,226.19574069976807
1966-06-01,28.634986394568333,26.95652354847301,32.502339680989586,35.496802269657955,88.15552283977641,33.406631366626634,382.18207359313965
1966-07-01,30.82828038855444,27.644232547644414,35.63235918680827,35.25289945964572,85.46576006659147,34.97201043206292,545.7583904266357
1966-08-01,32.462260089343104,28.26426342280224,37.876650492350265,34.95931746084479,82.8798688691238,36.30280881314664,559.2530727386475
1966-09-01,32.323272318779665,28.58182733709162,38.05351893107097,35.03875490985339,83.2708819159146,36.701741089691986,516.178035736084
1966-10-01,31.218164178389536,28.30218498152916,35.57429631551107,35.176475138603884,85.14627259353112,36.25020723085146,414.0109062194824
1966-11-01,28.8879853260668,27.39881265043008,32.26043383280437,35.134385507318036,87.16665465256264,34.45372710356841,347.37534523010254
1966-12-01,26.50482805469368,26.121603840529318,29.82258478800456,34.73323991027059,88.17103155728044,31.939607053189665,280.9093952178955
1967-01-01,25.084674207470083,25.11885864566071,28.262513478597008,34.41525471361378,90.15220115924704,30.373753728093327,224.4847297668457
1967-02-01,24.525577207154864,24.584627633142954,27.380619049072266,34.26767421674125,93.386827666184,29.648409663019955,190.99019765853882
1967-03-01,24.279391614696646,24.582514136728616,27.274745305379234,34.26313279550287,93.90054242364292,29.38843804436761,169.9542760848999
1967-04-01,24.715382539773287,25.160978297994596,27.928590774536133,34.89506757712062,93.69770576213969,30.195169191102725,164.1235113143921
1967-05-01,26.25221542165249,25.814499517883917,29.463491439819336,35.214092158064055,90.57618502912851,31.38463303849504,217.44329929351807
1967-06-01,28.457969955251187,26.877908032349865,32.63472557067871,35.03275641912146,86.14371069546404,33.22084529979809,378.4599542617798
1967-07-01,31.239405764809135,27.50069781987354,36.71671549479167,34.66335127625284,81.19539721258757,34.948400548986484,523.9349365234375
1967-08-01,32.9671280293525,27.81813265097262,38.892580668131515,34.47984743721877,80.19192136567214,35.98177110826647,557.2250366210938
1967-09-01,32.62225525288642,28.250861890388258,38.52470397949219,34.697094446496116,80.95979361698546,36.24959894128748,482.31520652770996
1967-10-01,31.240668477891365,27.914536601365214,36.617631912231445,34.78893931907943,83.0264584771518,35.620075947529564,437.3578071594238
1967-11-01,29.0742632708972,26.957128505514127,32.88144111633301,34.652811364282535,85.21276671310952,33.72738554671004,339.1636848449707
1967-12-01,26.66067292418661,26.05382553254715,30.108938217163086,34.296086468274076,85.73276914399246,31.89404719584697,256.2856435775757
1968-01-01,25.074712536003016,25.08713500668304,28.24383099873861,33.881547179403185,87.6562052759631,30.429963807801943,183.58558416366577
1968-02-01,24.26390104655978,24.46749523432568,27.330894470214844,33.897140358067766,91.4032245504445,29.48623090176969,159.825599193573
1968-03-01,24.012724960906596,24.257378626351404,26.872027715047203,34.07936579064478,91.80495821196457,29.034282065726615,141.73884391784668
1968-04-01,24.972094765192345,24.962641012789025,27.695296605428062,34.734837012954905,92.66850043987407,29.988997691386455,198.82631301879883
1968-05-01,26.018528998652588,25.96600272438743,29.0763791402181,35.144552399840535,90.17894350249192,31.471876195959144,289.3578767776489
1968-06-01,28.35762651660774,26.940519159490414,31.960738499959312,35.09503859507887,87.70238942113417,33.58745832700987,421.7867374420166
1968-07-01,31.214390525334995,27.612946250221945,35.76218922932943,34.969859787180454,85.5824898029196,35.591550775476406,538.8860702514648
1968-08-01,32.70803765405582,28.309677586410984,37.79107411702474,34.940320027025436,84.684759995033,36.92330540837468,580.3673267364502
1968-09-01,32.39023232761817,28.530359749842173,37.543541590372726,35.038008870957775,85.24882875639817,36.882062860437344,538.070011138916
1968-10-01,30.70593000967291,28.333904767277264,35.49699147542318,35.33437342583378,87.22207957300647,36.14944767307591,476.7124652862549
1968-11-01,28.660709043092364,27.39130077940045,32.382405598958336,35.14438943017887,88.74464363887392,34.537952010695996,352.3439407348633
1968-12-01,26.521388186684135,26.14440532645794,29.390602111816406,34.79564642604393,88.4664535522461,32.346418741587044,261.31930351257324
1969-01-01,25.127471247805822,25.262399153275922,28.026412328084312,34.68706879434706,90.90353867103315,30.71585990287162,207.15034008026123
1969-02-01,24.071369895452186,24.84438154432509,27.344284057617188,34.81041630612144,93.31273046033137,29.82832161155907,185.50212383270264
1969-03-01,23.442092122910896,24.96402624881629,26.734768549601238,35.442774808859525,96.7376972066945,29.645927532299144,174.33860301971436
1969-04-01,24.36726244190071,25.645479529795022,27.271709442138672,36.009512068350105,97.58733552077722,30.407070469211888,223.4180212020874
1969-05-01,25.789748566060126,26.405758327907986,28.70917638142904,36.3216532936579,95.0814280016669,31.69254612278294,314.9282217025757
1969-06-01,28.45857354659068,27.38762094516947,31.893742879231773,35.98438093933878,89.7490928912985,33.66770357699008,445.8585262298584
1969-07-01,31.274648255939724,28.10488421507556,36.035216649373375,35.39630310444892,84.46575690960063,35.644495165025866,537.4565124511719
1969-08-01,32.71253078798704,28.369618425465593,38.12042236328125,35.073125815089746,83.66223039298222,36.53510067913983,581.602668762207
1969-09-01,32.366943359375,28.607757645423966,37.36525535583496,35.25435894350462,83.78905592293576,36.629382984058275,556.9613933563232
1969-10-01,30.978197991093502,28.212109960690892,34.95516777038574,35.21817243551906,85.81423923887056,35.83111634125581,464.5606994628906
