,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7
1965-01-01,20.299072,24.2229,17.225952,26.69278,26.156372,22.27945,6.0013123
1965-02-01,18.734833,24.131592,16.434113,26.53009,27.469147,21.566925,4.063324
1965-03-01,18.445435,24.513794,16.29889,26.864899,28.31839,21.642273,3.319397
1965-04-01,19.279175,24.894012,17.154114,27.164795,28.304413,22.191132,3.9500732
1965-05-01,20.954712,25.37851,18.521759,27.491608,27.446686,23.250427,8.174286
1965-06-01,22.862732,26.491669,19.86496,27.80246,25.145996,25.142487,12.604065
1965-07-01,25.033722,27.169281,21.812927,27.66275,23.366669,26.31604,19.358032
1965-08-01,26.554565,27.728607,23.400116,27.412262,23.32129,27.372864,22.938568
1965-09-01,26.009674,28.254028,23.01242,27.693176,24.430481,27.490112,19.869965
1965-10-01,24.678467,27.858826,20.86789,28.163696,25.249756,26.541565,15.111847
1965-11-01,22.696564,26.961212,18.821625,27.330444,25.676392,25.444855,12.171478
1965-12-01,21.529999,25.949799,17.516357,27.2117,25.389465,24.299255,8.515076
1966-01-01,19.848663,25.223938,16.449219,27.031311,26.755981,23.049927,5.7450867
1966-02-01,18.784607,24.689392,15.76944,27.28598,26.988953,22.118988,4.1520386
1966-03-01,18.687286,24.314178,15.587402,27.606201,27.716644,21.46643,3.7496033
1966-04-01,19.243011,24.871918,15.895508,27.742859,28.398468,22.398376,4.7057495
1966-05-01,20.35144,25.267303,17.402344,28.318268,27.471558,22.939484,7.2862244
1966-06-01,22.246582,26.099396,18.812347,28.2966,26.388336,24.419586,14.066956
1966-07-01,24.157349,26.947601,21.479553,28.020752,24.645508,25.826569,21.089233
1966-08-01,25.370667,27.880554,22.907715,27.69397,23.971252,27.155884,22.028229
1966-09-01,25.641998,28.396942,22.454346,27.37323,24.586487,27.39795,19.89505
1966-10-01,24.99295,28.130676,21.207733,27.787262,25.395386,27.208832,15.638824
1966-11-01,22.49469,27.174042,19.013062,27.776672,25.777649,25.64502,13.931274
1966-12-01,20.549622,25.77008,17.703918,27.39038,26.789764,23.498749,11.688202
1967-01-01,19.529602,24.647522,17.065552,27.168182,27.45816,22.108368,8.37323
1967-02-01,19.319763,24.227356,16.406952,26.70694,28.034607,21.985138,6.9178467
1967-03-01,19.577698,24.437683,16.607788,26.612762,27.939972,22.031738,5.971283
1967-04-01,20.116058,24.546356,17.260376,27.129608,28.176361,22.400848,6.21167
1967-05-01,21.480316,25.424316,17.881378,27.762177,26.434479,23.813171,7.460724
1967-06-01,23.385956,26.270721,19.922241,27.924927,24.707123,25.113312,13.759094
1967-07-01,25.075745,26.822632,22.108856,27.646973,23.011353,26.093414,19.50055
1967-08-01,26.512604,27.444153,23.566254,27.287872,22.976288,27.164185,21.251953
1967-09-01,26.278717,28.034119,23.764587,27.37201,23.871246,27.222778,18.552002
1967-10-01,25.068726,27.915405,22.401825,27.250336,24.68811,26.453522,17.2854
1967-11-01,23.242218,27.157166,20.24527,27.128113,25.164398,25.419312,13.119537
1967-12-01,21.355621,25.752869,18.595062,26.90625,25.308624,23.861237,9.934814
1968-01-01,20.177673,24.809692,17.294098,26.583374,26.392944,22.869354,6.6213684
1968-02-01,19.311615,24.372955,16.55365,26.569519,27.448456,22.315369,5.3165894
1968-03-01,19.41153,24.066803,16.494293,26.330627,27.739777,22.0755,4.58902
1968-04-01,20.379974,24.62027,16.459198,26.820282,28.101837,22.61908,6.852844
1968-05-01,21.317749,25.967102,17.678894,27.131897,27.814453,24.136047,10.379913
1968-06-01,22.437042,26.864807,19.631622,27.215485,27.156128,25.664886,15.366089
1968-07-01,24.209259,27.648773,21.299438,27.28769,25.548157,27.01419,20.708405
1968-08-01,26.007141,28.482697,23.130493,27.353973,24.705353,28.044464,22.125458
1968-09-01,25.84491,28.560822,23.010315,27.356934,25.155426,27.789246,20.88794
1968-10-01,23.932251,28.184418,20.655975,27.973236,25.847382,26.540833,18.769012
1968-11-01,22.04779,27.63095,18.174988,27.454376,26.401367,25.722748,14.098907
1968-12-01,21.02246,26.189667,16.436432,27.374268,25.905273,24.30371,10.395752
1969-01-01,19.621246,25.34253,15.855621,27.207886,27.008942,22.69107,8.133606
1969-02-01,18.579865,24.904114,15.457733,27.429413,27.972412,22.172699,8.532013
1969-03-01,17.68512,24.931274,15.109558,27.865753,28.303131,21.541504,8.226929
1969-04-01,18.764954,25.191772,15.81665,27.778595,28.80716,21.85788,9.42215
1969-05-01,19.664825,25.732208,16.641663,28.217499,27.777039,22.750061,13.274414
