,vws_v500-200_cluster1,vws_v500-200_cluster2,vws_v500-200_cluster3,vws_v500-200_cluster4,vws_v500-200_cluster5,vws_v500-200_cluster6,vws_v500-200_cluster7
1970-01-01,5.893487991640758,-5.506002249595137,6.791388047589853,1.0110993777003818,1.171314946043825,-2.285210204487569,2.215544496392772
1970-02-01,6.0237551963665,-5.718285180069326,6.517969859758776,1.1351063803298962,1.4792244636359906,-2.516489719070574,2.1600276816477937
1970-03-01,4.2592788995782,-5.523960802074158,4.275088645139284,2.143304063203636,-0.5301036385633063,-0.7946941423466997,1.0211681338383745
1970-04-01,1.535292171426695,-3.605237217901585,3.9817719347873446,0.48596424085236695,-2.1849070456628694,-0.793022296958211,1.038849845527897
1970-05-01,-1.5392923419374853,-2.3670435818087956,2.427505662959025,2.444553522868647,-4.5708475445753995,-0.5183189380218447,0.3709404794102428
1970-06-01,-4.3744234317473385,-3.2812040263446094,2.949088320590204,5.26948880385174,-6.096289424040367,-0.11777025227239131,-0.7280204628859808
1970-07-01,-5.5184149931444155,-2.3224448470057792,2.3369792316562124,4.134644793794775,-6.0282540629985695,-0.2841031985824024,-0.7277268179269881
1970-08-01,-4.866805859478057,-1.6712858632114944,1.3899203160826956,4.557939420028084,-6.414490504332413,-0.13017946968449437,-1.0830355532496252
1970-09-01,-3.6724209032383635,-1.1990880024428958,1.6173950293370163,3.7997484121987775,-5.697721668254993,-0.0015896625782137704,-0.17079689153375996
1970-10-01,-0.7571000293017456,-2.182705974572816,3.7659495266832224,2.7107611289297298,-4.335139485245106,-0.2930196637657479,0.5696118882466424
1970-11-01,2.882527668358921,-4.153883427578119,5.162611044234269,1.3365994818607965,-2.4254563150855732,-1.029696141741041,1.1902037193053756
1970-12-01,5.089276393848012,-6.9421975501333115,6.966307296526386,1.8335531152785385,-1.8064309635296012,-1.90137216137276,2.202920809147135
1971-01-01,6.942021097962979,-6.3426843786763,7.005718836752957,2.080928215511262,0.4834645985258882,-2.544458526610771,2.437807929353908
1971-02-01,5.178422683879755,-4.850430462080135,6.295631612307722,2.1513594629333697,1.098918934753969,-2.139080821985621,1.573297740843122
1971-03-01,5.655095837053474,-5.749777962921942,4.382005095744637,1.693260822379043,-1.0102400015532784,-1.8047012224090946,1.6471676122589454
1971-04-01,2.883796080278897,-4.3727106769224635,3.362432212632648,0.7434264834631474,-1.9554031660559248,-0.30151000591954424,1.2049053182749017
1971-05-01,-1.1029552388499242,-4.0006390597811174,1.9122383035572819,2.5842964604136913,-3.997306026930084,0.057035066871172324,0.20143974441189866
1971-06-01,-4.3544057635185975,-3.0207901595200357,1.845967490841243,4.883700705542716,-5.367633962149241,-0.03844487286827066,-0.7006524145729552
1971-07-01,-4.684679787931438,-2.1740924064488105,1.392993612659587,4.606142339552407,-6.355333930415826,0.3247196601284358,-0.9004026379804537
1971-08-01,-4.138184886182351,-1.5315938578371138,0.37223082521935946,3.534682406354624,-5.698284095880294,0.2677118024665379,-0.6503669676343417
1971-09-01,-3.7513915704248717,-1.9582880873408717,1.5171213168999111,4.262651742990287,-4.806679149832105,-0.19850286633596617,-0.6653648442178437
1971-10-01,-1.6284452004440795,-2.8925921076424426,2.8165735779736907,3.1883359422363355,-5.417346550777019,-0.5012228755864735,0.6815703275252036
1971-11-01,3.8232165825262263,-5.2202869037833795,4.88141896269382,0.7776744926555232,-2.6878102192728903,-1.4847937103524702,1.3447412489671313
1971-12-01,4.394745533202757,-6.276637798539182,7.973224357394297,2.0956722332178517,-1.3511594213926668,-2.293447690204225,2.0553071298092815
1972-01-01,5.890382735312995,-5.275471749813481,5.724641917247735,0.49348479875546825,-0.4348513948260629,-2.032032642160695,2.355607858988722
