,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7
1965-01-01,0.605534535387288,0.16164739175717183,0.6510340961916694,-0.00010481930183544316,-0.07576356292702258,-0.12517021944191545,-0.5473111951073935
1965-02-01,0.6416790511297142,0.13813510046322997,0.6906375288963318,-0.014141912643726056,0.026353997236583382,-0.1257295958063704,-0.6176309761150862
1965-03-01,0.6011254761530005,0.14144869902384377,0.2826770831798685,-0.07834227744644211,0.026718887966126204,-0.0906493170484108,-0.44521431821261265
1965-04-01,0.5200245458146799,0.1137525708944456,0.1400630921125412,-0.08891149076837056,0.1689191733021289,-0.06742629054141172,-0.4657207648883494
1965-05-01,0.4558468480472979,0.10034634511743666,-0.4627040747938485,-0.18742861038834388,0.3873286070302129,-0.020188436734470284,-0.40009318627128304
1965-06-01,0.44287062533523724,0.10437717996017458,-1.448166062091959,-0.2712172305090188,0.5256544565781951,0.0020646469489834767,-0.2960888885481413
1965-07-01,0.4229015468255333,0.10818078453495927,-1.8221740064949825,-0.291448796289207,0.5701201502233744,0.01766923427992956,-0.3611789077751396
1965-08-01,0.46154403168222174,0.10992196463749637,-1.6467382167947704,-0.26476718970304414,0.5559238838031888,0.013143775574095112,-0.3488865933677023
1965-09-01,0.4331902803286262,0.0979414624775549,-1.142562771665639,-0.22276973583289153,0.4204169730655849,-0.005215157363365623,-0.31863108508346616
1965-10-01,0.4505806319091631,0.09423541857928273,-0.08885081985901143,-0.1265914112153138,0.25213955086655915,-0.04689841892847673,-0.3384326548539391
1965-11-01,0.5401366430780161,0.09044656670258201,0.3184732178161884,-0.025317221136003206,0.16229607863351703,-0.08311730484723391,-0.37759076948313747
1965-12-01,0.5920437367066093,0.14134659937966862,0.41338988933069953,-0.07358385040562535,0.11594242096180096,-0.10211646669554188,-0.5358800754066585
1966-01-01,0.6158757144990175,0.15573202975605502,0.5491568096752825,-0.03782572588447989,0.028470109828049317,-0.13854290665860505,-0.5357146956199823
1966-02-01,0.5402235071296277,0.11212817994333718,0.3311882502046125,-0.024408675157106843,0.058922023526974954,-0.07476758297304921,-0.5412442739619765
1966-03-01,0.5373652052620183,0.12017741740546085,0.34842265063318717,-0.06744256893382271,0.15035927208373323,-0.06791139987515325,-0.5038006245627884
1966-04-01,0.43656369266302686,0.11753310660340241,0.0007084565807198142,-0.09964105248803924,0.21138628362677991,-0.061333514849080686,-0.36062611223653307
1966-05-01,0.3618489788926166,0.10155295075551264,-0.5910869302420781,-0.19674870389453056,0.3043758391868323,0.00281324178200869,-0.3175603211388107
1966-06-01,0.45062058969684265,0.09110838315620992,-1.5068760205959453,-0.2595599321924018,0.5636002984829247,0.009506127412834681,-0.3974471327870391
1966-07-01,0.4220989897199299,0.1069101364180473,-1.8593946407581199,-0.33039685008088515,0.608154060319066,0.028411976366422755,-0.33172172631404195
1966-08-01,0.41717391299164813,0.10689454753705062,-1.8038934674756282,-0.2876613267074675,0.5677599576301873,0.00899776055024283,-0.2943458771982858
1966-09-01,0.3906304421632186,0.10936030063158413,-1.0627676700723583,-0.22801351617779253,0.3762870794162154,-0.023820563411449103,-0.2651152540315953
1966-10-01,0.4485597914975622,0.09288599716898667,-0.24486967715723762,-0.13093272196514721,0.24346934515051544,-0.029779048596305695,-0.3579078603160474
1966-11-01,0.47581273576487665,0.09050074575721097,0.2017224143291342,-0.03214697138621257,0.08185712504200637,-0.06590162675104481,-0.37702573824298474
1966-12-01,0.5963870364686716,0.12257960322468514,0.6120376031974267,-0.03801059123878119,0.07309906632144703,-0.09292226453173034,-0.5462666699128558
1967-01-01,0.6279101190359696,0.13885453216727026,0.879399427052202,-0.008336259644566732,0.06018137573846616,-0.11293296274937135,-0.5975483461867931
1967-02-01,0.6097675341626871,0.16151713054688252,0.6121812195613466,-0.04362038576413365,0.06800392675359035,-0.1344617889039813,-0.5872463764146316
1967-03-01,0.5400819784921148,0.12327191110589539,0.08988601380381092,-0.04094728318280017,0.11767110700020567,-0.07768923595072108,-0.5590705908546152
1967-04-01,0.49546404701212177,0.10267956194800902,0.16739585533224305,-0.09932180216326517,0.16066551324911416,-0.04850604588121295,-0.479231924973717
1967-05-01,0.5040818258472111,0.08818238032682058,-0.4541101126835264,-0.17365323192269141,0.4423513659276068,-0.027710758397316047,-0.43350292961726816
1967-06-01,0.4391887913579526,0.10924824820543032,-1.6472020025911003,-0.27932200206102004,0.5247084540314972,0.021157166741025496,-0.40272171645201454
1967-07-01,0.41645993681057636,0.09820533709393608,-2.019752099596221,-0.2844017497181187,0.6192739121615887,0.02164506879241944,-0.3426477659580319
1967-08-01,0.4492583806100099,0.10079040158705127,-2.001132841767936,-0.30300659011806963,0.6373155396431684,0.016535692749188303,-0.2906338131242944
1967-09-01,0.4172230220359304,0.10166586137534492,-1.2985233602852657,-0.2296404611076829,0.42587750358507037,-0.006698274862967393,-0.2879507146602453
1967-10-01,0.49852234837801557,0.11967640261561059,0.01391547828398902,-0.16481332524993716,0.30509037896990776,-0.06807216274690756,-0.362112748530484
1967-11-01,0.4620751608972964,0.11651073381729972,0.4170708872120956,-0.06521257687602523,0.06672018498647958,-0.07973885964949001,-0.40773346211559086
1967-12-01,0.5502801064563834,0.14251828845081435,0.6382866152401628,-0.03354100637226063,0.010563073647062993,-0.1183412914620118,-0.4368593179902365
1968-01-01,0.6182068068048228,0.14326895050519006,0.6919052066474126,0.015603959362006047,0.00280923668469768,-0.13408106931316804,-0.6321283620457316
