,abs_vo500_cluster1,abs_vo500_cluster2,abs_vo500_cluster3,abs_vo500_cluster4,abs_vo500_cluster5,abs_vo500_cluster6,abs_vo500_cluster7
1973-09-01,2.8363236e-05,-2.596492e-05,8.5607666e-05,-8.240372e-05,-2.3444882e-06,-5.0920247e-05,5.4203367e-05
1973-10-01,4.1883075e-05,-2.7230195e-05,8.444856e-05,-9.188884e-05,9.494215e-06,-4.7823425e-05,6.258248e-05
1973-11-01,3.1265397e-05,-2.5319012e-05,8.597043e-05,-7.832476e-05,6.0191087e-07,-4.5761826e-05,5.4875818e-05
1973-12-01,2.4009987e-05,-2.2584962e-05,8.950081e-05,-8.335931e-05,8.653649e-06,-5.031858e-05,6.741352e-05
1974-01-01,3.0961743e-05,-2.7639257e-05,9.3732146e-05,-7.7956036e-05,7.1169925e-06,-5.8233745e-05,5.5006094e-05
1974-02-01,1.9186042e-05,-2.3100205e-05,9.024305e-05,-8.349659e-05,5.0574527e-06,-5.4776956e-05,5.813982e-05
1974-03-01,2.7989543e-05,-3.1677566e-05,8.3870604e-05,-8.379542e-05,5.7924262e-06,-6.196514e-05,6.703217e-05
1974-04-01,2.5994621e-05,-2.6783138e-05,7.348408e-05,-7.928867e-05,5.703583e-06,-5.4050062e-05,6.1362385e-05
1974-05-01,2.5510028e-05,-3.0772982e-05,8.9629226e-05,-9.9181365e-05,-1.0161602e-06,-5.9744074e-05,6.952784e-05
1974-06-01,2.578463e-05,-3.59824e-05,7.81362e-05,-8.879484e-05,-1.2019154e-06,-6.366123e-05,4.925555e-05
1974-07-01,2.8514525e-05,-1.8230006e-05,7.68278e-05,-0.00010040901,-6.1232276e-07,-6.0907107e-05,6.296963e-05
1974-08-01,2.7093043e-05,-2.0620686e-05,7.581822e-05,-8.0799e-05,2.5213958e-06,-5.619036e-05,5.4763797e-05
1974-09-01,3.0824438e-05,-3.0869905e-05,8.32487e-05,-8.615379e-05,2.723311e-06,-4.4172364e-05,5.3285774e-05
1974-10-01,3.2488217e-05,-3.267099e-05,8.619667e-05,-8.241432e-05,1.4633624e-06,-5.6836492e-05,6.151584e-05
1974-11-01,3.2367072e-05,-3.0805288e-05,8.8611574e-05,-7.659108e-05,2.4890905e-06,-4.792799e-05,4.915055e-05
1974-12-01,2.0534837e-05,-2.4255158e-05,8.998459e-05,-6.982288e-05,8.756542e-06,-4.852566e-05,6.453649e-05
1975-01-01,2.2886241e-05,-2.9233015e-05,9.5357915e-05,-7.562377e-05,1.6392733e-07,-5.0048486e-05,7.134657e-05
1975-02-01,2.7065213e-05,-3.0941454e-05,9.2267655e-05,-7.214828e-05,9.459836e-06,-5.0835708e-05,7.0207614e-05
1975-03-01,2.0633448e-05,-2.7834441e-05,8.648074e-05,-7.880616e-05,-2.9933326e-06,-5.1380062e-05,5.9982114e-05
1975-04-01,2.6143996e-05,-3.4174085e-05,8.790444e-05,-8.859618e-05,1.5373771e-06,-5.0643088e-05,7.482207e-05
1975-05-01,2.7031714e-05,-4.1192077e-05,8.6715234e-05,-7.400746e-05,-1.1843986e-06,-5.9068032e-05,7.9034544e-05
1975-06-01,2.7366703e-05,-3.0154231e-05,8.9705e-05,-8.6695116e-05,2.659588e-06,-7.121971e-05,5.42957e-05
1975-07-01,2.6286369e-05,-2.3194862e-05,8.188303e-05,-8.36886e-05,-1.9213694e-06,-5.831431e-05,5.8692414e-05
