,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1965-01-01,1959.7098130446213,1055.0346334567246,1677.1739108503357,1123.1529744466145,1349.5677897135417,1517.669677734375,1781.3265616433664,1480.196605009191,2060.4595573580996,1272.166011018573
1965-02-01,1954.9622168907752,1054.622054973822,1677.339512848657,1121.9544474283855,1352.699462890625,1519.8322353078356,1777.9905084978072,1480.6411743164062,2062.504484215561,1272.1232096354165
1965-03-01,1957.291236290565,1056.948676783377,1678.7895770112345,1123.105706108941,1351.9404296875,1518.337056174207,1781.5488581071822,1484.6932803883271,2067.601542570153,1273.753232176199
1965-04-01,1953.1661987304688,1057.440537058246,1679.2594468298037,1123.4102376302083,1359.6490885416667,1517.3524771163711,1781.7221122875549,1488.17138671875,2077.8297891422194,1275.201531176297
1965-05-01,1955.6529118464543,1057.1533203125,1680.336843443311,1123.4032864040798,1356.09033203125,1515.717919193097,1781.4377098752743,1489.590633616728,2077.6435696348854,1276.4723675805817
1965-06-01,1951.3461773212139,1058.9926195394307,1680.0519959000517,1125.0946384006077,1361.1937662760417,1507.8888394939365,1776.9033331620067,1493.968110926011,2088.284239477041,1277.8385954083137
1965-07-01,1952.7927105243389,1058.2237683041558,1677.5283687370868,1124.6286010742188,1356.101318359375,1502.5590127973414,1767.2700580797698,1494.23630658318,2086.4011180644134,1276.7218823702829
1965-08-01,1955.6654123159556,1058.415533734866,1681.7682439630682,1125.2410888671875,1357.6649576822917,1514.5958743878264,1781.9028620134322,1493.172409955193,2080.390400789222,1278.1886838517098
1965-09-01,1968.3478722205527,1058.363158540576,1684.7100880520404,1125.1972113715278,1358.9495442708333,1519.3552501166043,1783.9388663308664,1492.7600636201746,2078.0868841677297,1279.10582344487
1965-10-01,1963.4270888108472,1058.0894270492474,1684.743178186338,1124.9280124240452,1358.9290364583333,1524.6827993819961,1783.2892166940792,1491.841843548943,2075.857979910714,1278.7680955802869
1965-11-01,1958.7070171649639,1057.3047578022743,1678.8777501129907,1123.782450358073,1352.480712890625,1514.9314766499533,1782.2308456688597,1488.4571748621322,2068.719482421875,1275.5787591514347
1965-12-01,1959.7258934607871,1055.6126779286649,1679.8051818343233,1122.8456285264756,1354.4973958333333,1517.4964107684234,1788.3370382743972,1484.9796968347885,2064.344258211097,1275.094892393868
1966-01-01,1961.1243614783652,1055.4977656659032,1678.8397166354598,1121.7887030707466,1354.1678059895833,1519.8830675722947,1785.2229603549893,1483.073335535386,2066.69809769611,1272.919238588345
1966-02-01,1965.3901320237378,1055.9591722738057,1680.1332584097365,1122.323777940538,1351.8157552083333,1523.842518365205,1789.0442965323466,1483.4958244772517,2061.690848214286,1273.975453886596
1966-03-01,1960.746882512019,1055.9254271821826,1678.9336401568958,1121.9246419270833,1353.2360026041667,1520.2910921466882,1781.3075015419408,1485.2839750402113,2069.0665108816966,1273.183762652319
1966-04-01,1954.5595022348257,1056.6203651627945,1678.4512606534092,1123.254123263889,1356.1494140625,1515.135443388526,1779.3718304550441,1487.7499748678767,2076.02501694037,1275.1593055965016
1966-05-01,1957.2355417104868,1058.3722019694862,1678.682790708936,1124.9634806315105,1354.8170572916667,1509.4599937325092,1769.2788642749454,1491.9298059800092,2083.15467055963,1275.8108846796383
1966-06-01,1958.5335364708533,1058.876556875818,1682.9110137687242,1125.8734469943577,1359.3292643229167,1520.7691705048974,1785.8368455317984,1494.57810345818,2084.946612922513,1280.0192395096306
1966-07-01,1957.420407808744,1057.3337095570191,1680.5031516335227,1125.063713921441,1353.5010579427083,1510.6042662663244,1774.9972159402414,1492.4872005687039,2081.656818000638,1277.7518026483883
1966-08-01,1963.4412912222056,1058.4116031986257,1684.4727571345559,1126.1491563585068,1361.4911295572917,1517.0226139808767,1781.5044202302633,1494.143766515395,2085.360281808036,1279.8838489460495
1966-09-01,1968.6009333683894,1058.7023031025033,1684.739798553719,1126.0031127929688,1356.3914388020833,1521.6407889750465,1788.0162289268094,1492.1481861787684,2075.8125149473854,1278.8616444329796
1966-10-01,1967.9932814378003,1057.8315455251964,1685.1011670325413,1125.4875013563367,1357.8636881510417,1524.3295242537313,1785.9285053453948,1490.89158002068,2076.6165597098216,1278.3461852643475
1966-11-01,1962.935579740084,1056.4685761616493,1681.757096219654,1124.224412706163,1352.9181315104167,1522.810295446595,1781.2921892132676,1487.3861873851101,2068.608622648278,1276.2679190005895
1966-12-01,1958.1770676832932,1055.463860796384,1679.8102765043905,1123.3705308702256,1354.16943359375,1518.9285506063432,1784.5389382881033,1484.9555520450367,2066.1191356425384,1275.3360004545007
1967-01-01,1959.775895338792,1055.220870572235,1679.2680724593233,1123.548143174913,1350.6070963541667,1520.3869264517257,1781.0041461074563,1480.9793808880972,2057.808763153699,1274.1309591809159
1967-02-01,1961.6124666654146,1055.989050740347,1682.2159696216427,1123.5845608181423,1354.8584798177083,1522.0613849696826,1787.3447351288378,1482.9144646139705,2064.0622508769134,1275.1424153645833
1967-03-01,1963.5932922363281,1055.6464869314464,1681.427506375904,1123.0843438042534,1356.4102376302083,1522.543744898554,1790.2162786115682,1482.5415218577664,2068.5592962771047,1274.3157536728577
1967-04-01,1962.0211674616887,1056.7410294298102,1681.659893950155,1123.6409844292534,1358.9076334635417,1521.8988674790112,1785.3501704701207,1487.4178718118105,2078.225645727041,1274.8509820902123
1967-05-01,1955.9639563927283,1056.7076358495583,1680.3034002130682,1123.8535563151042,1359.712158203125,1518.8826375932836,1781.2792326274673,1490.0767606847426,2081.3040597098216,1276.615896164996
1967-06-01,1965.0159395658052,1057.4316853628109,1687.2087967297264,1125.0999959309895,1363.8460286458333,1522.1952979244402,1783.9524653919957,1491.668970444623,2082.095648317921,1279.5296147184552
1967-07-01,1963.3483299842246,1057.2339442387927,1684.9129164514463,1125.3229437934028,1357.796630859375,1517.8042283698694,1788.1918388500549,1492.4568625057443,2082.4243662308672,1279.0636746388561
1967-08-01,1965.8925569974458,1057.8469161587861,1687.5119548198606,1125.8558146158855,1355.0502115885417,1523.6950319204757,1794.5468835663378,1492.1098596909467,2078.481993383291,1280.4885960225038
1967-09-01,1967.454646183894,1058.3795517526996,1686.630526455966,1126.4056057400173,1353.959716796875,1521.0474725979477,1778.7173622532896,1491.949462890625,2077.771618901467,1279.4316513733293
1967-10-01,1960.8771690955527,1057.6802358577388,1684.4166653215393,1125.4206000434028,1360.03369140625,1519.0043435167909,1790.7662374931472,1489.5281623391543,2073.935870735013,1278.8824885146423
1967-11-01,1961.257817195012,1056.1331064913286,1682.5254834387913,1124.0127902560764,1350.090576171875,1519.931531308302,1782.7321905838817,1486.2372903262867,2067.491679288903,1276.0484995332154
1967-12-01,1960.8612060546875,1055.8308386677847,1679.2730158025568,1123.780788845486,1350.0428873697917,1516.3719063374533,1780.7556152343752,1483.8267606847426,2063.31787109375,1274.3049285696736
1968-01-01,1965.6372657189002,1054.0129177233312,1678.102452301782,1122.5377739800347,1351.900390625,1520.540425314832,1780.4389819764256,1479.2386223288142,2058.545544682717,1272.161020722779
1968-02-01,1958.8751572829026,1055.8280265768162,1678.442433254778,1123.4423149956597,1354.9883626302083,1517.6279551947293,1781.0850979989036,1481.4586863798252,2063.8239646444517,1273.2473697302476
1968-03-01,1968.29587496244,1056.4803358147906,1682.1588689630682,1123.8431125217014,1355.3174641927083,1525.191213123834,1791.0222639117326,1484.3352373908547,2068.351153938138,1274.7835363232114
1968-04-01,1960.22215623122,1057.232314504254,1679.579603967588,1123.9795939127605,1349.0072428385417,1517.0359141791043,1775.8083410430374,1487.1202356675092,2069.6171974649237,1274.0412874041863
1968-05-01,1959.42629300631,1057.5963844179482,1681.3500774793388,1124.9955579969617,1349.2808430989583,1512.4575486823694,1776.9580506441887,1489.5357917336855,2075.418153101084,1276.3242709561714
1968-06-01,1959.4747103177583,1058.7458585569373,1682.2742808948865,1126.2284003363716,1350.5873209635417,1517.6273175139925,1775.3679242050441,1492.3752728630514,2081.186971859056,1278.4006946491745
