,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10
1968-07-01,1021.7453,1009.96594,1018.6496,1012.9571,1017.16547,1021.4197,1014.97437,1015.5368,1021.45905,1016.95294
1968-08-01,1018.7062,1010.46606,1019.17346,1013.77716,1012.71735,1012.94495,1010.17126,1014.721,1017.5298,1017.02094
1968-09-01,1017.39233,1010.3773,1016.9272,1013.0222,1017.4353,1013.0616,1011.644,1015.5189,1018.95874,1015.8989
1968-10-01,1023.5787,1009.865,1018.4886,1012.3624,1016.0935,1022.931,1015.486,1014.4498,1017.056,1015.6248
1968-11-01,1020.4615,1009.4507,1017.363,1011.9359,1011.6418,1016.65533,1009.34045,1012.4254,1012.84906,1015.1182
1968-12-01,1019.7109,1007.5923,1016.71466,1010.8346,1013.84515,1015.07886,1012.0261,1009.6088,1011.576,1013.0122
1969-01-01,1015.58923,1005.5403,1012.752,1008.3345,1014.3569,1017.0318,1014.4193,1008.45044,1011.35815,1011.32697
1969-02-01,1019.71796,1006.65533,1015.1843,1009.26416,1015.5355,1021.3546,1014.24585,1006.3359,1009.8082,1011.34436
1969-03-01,1018.241,1009.0039,1015.9786,1011.35876,1020.73376,1017.91095,1018.3801,1010.2076,1015.60486,1012.8475
1969-04-01,1019.55505,1009.4601,1015.62976,1010.86273,1016.9189,1018.36774,1008.8311,1010.8502,1017.7949,1014.0062
1969-05-01,1016.1071,1009.3783,1016.0609,1011.3918,1017.9334,1012.8794,1012.09686,1012.4906,1018.40454,1014.3357
1969-06-01,1019.217,1009.84564,1018.0482,1012.2903,1017.66327,1018.3646,1008.30695,1014.42303,1020.39557,1016.2855
1969-07-01,1016.1907,1009.6822,1017.1329,1012.44696,1024.5531,1008.43304,1016.17944,1015.77826,1023.84546,1015.58545
1969-08-01,1021.59607,1010.4147,1019.4403,1012.82007,1023.50476,1019.6362,1019.6362,1016.084,1021.7714,1015.81885
1969-09-01,1020.1803,1009.7558,1016.4041,1011.9659,1011.5796,1013.9257,1021.93304,1013.5183,1017.10046,1014.81177
1969-10-01,1020.2271,1009.837,1016.93195,1011.85425,1022.4178,1018.0707,1016.283,1014.29456,1017.49414,1014.84296
1969-11-01,1023.3544,1008.9746,1018.2679,1011.5503,1015.5281,1020.5672,1017.72437,1011.16406,1012.55304,1014.28827
1969-12-01,1018.9879,1008.3631,1016.70044,1011.2683,1010.16327,1017.06055,1018.0757,1008.5709,1009.6079,1013.2918
1970-01-01,1021.0047,1008.9639,1017.1264,1011.664,1014.56244,1019.64874,1017.6487,1008.8564,1011.1535,1013.5784
1970-02-01,1019.9269,1008.0834,1015.99445,1010.8434,1017.07416,1018.26544,1016.2304,1007.608,1012.65326,1012.38416
1970-03-01,1016.572,1008.64667,1014.6843,1010.7269,1013.0193,1019.3106,1017.83405,1008.48206,1012.2528,1012.75903
1970-04-01,1017.35876,1009.551,1015.531,1011.1637,1018.46094,1013.01514,1013.6563,1011.3847,1017.2149,1013.4377
1970-05-01,1020.9239,1009.7762,1017.4799,1011.58966,1014.72766,1019.2287,1013.82263,1013.2065,1019.2239,1015.919
1970-06-01,1023.0,1010.141,1019.625,1012.8387,1015.71875,1016.8786,1017.616,1014.156,1019.4289,1016.8786
1970-07-01,1024.9253,1010.92596,1020.6072,1013.46375,1019.01,1017.01764,1015.7609,1015.27844,1022.454,1018.05634
1970-08-01,1021.13007,1010.2765,1019.34515,1013.3734,1015.30396,1021.0136,1021.24774,1013.9052,1018.9797,1016.3474
1970-09-01,1022.83484,1010.2112,1018.89,1013.1976,1013.8399,1023.11237,1021.1574,1012.94147,1015.7514,1015.84
1970-10-01,1022.3381,1009.46545,1018.4634,1012.78284,1015.0479,1021.60425,1015.9867,1011.90576,1015.21313,1015.45905
1970-11-01,1024.3857,1010.008,1019.8466,1013.0354,1017.86554,1022.44446,1020.0421,1010.2991,1013.0829,1015.73303
1970-12-01,1021.1705,1007.6496,1016.95404,1011.19037,1013.7371,1016.54584,1015.5334,1006.33575,1008.68823,1012.8904
1971-01-01,1021.8853,1008.5896,1017.44336,1011.5533,1011.5904,1019.927,1017.34546,1007.4179,1008.2869,1012.8044
1971-02-01,1020.12994,1008.39764,1016.93524,1011.6223,1014.7876,1021.92755,1019.0324,1005.7738,1008.12115,1012.56116
1971-03-01,1020.48706,1009.81836,1016.85596,1011.8892,1020.3904,1018.30414,1013.27924,1006.993,1013.8782,1013.283
1971-04-01,1020.1799,1009.5924,1016.5474,1011.55255,1017.0709,1017.42993,1017.396,1010.4001,1016.6166,1014.61224
1971-05-01,1016.568,1010.1306,1016.8694,1012.48694,1011.47455,1013.54095,1015.4307,1012.0729,1015.9657,1016.0009
1971-06-01,1025.0275,1010.68225,1020.13635,1013.35345,1016.91736,1017.7615,1016.68634,1013.5602,1020.391,1017.2162
1971-07-01,1018.7335,1010.2938,1018.0814,1013.0002,1015.46655,1008.54865,1013.6113,1014.25256,1020.30975,1015.93115
1971-08-01,1024.8451,1010.5703,1020.2765,1013.7976,1014.3448,1019.3485,1019.46375,1014.63654,1017.34357,1017.48755
1971-09-01,1024.4028,1010.65094,1020.54205,1013.78094,1014.9757,1024.6108,1017.6258,1014.1233,1016.53595,1016.7734
1971-10-01,1021.15125,1010.5402,1018.9537,1013.81866,1010.55237,1014.21735,1012.4549,1012.7026,1012.9925,1015.84216
1971-11-01,1022.133,1009.3006,1017.77814,1012.40955,1009.0184,1016.02905,1013.7182,1009.0568,1009.3134,1014.9559
1971-12-01,1020.4659,1007.13696,1016.0521,1010.40454,1012.10815,1019.6128,1016.31836,1006.67554,1008.61584,1012.51447
1972-01-01,1015.8614,1007.7989,1013.8666,1010.8537,1014.1716,1012.5248,1012.2223,1006.2365,1008.4588,1011.70483
1972-02-01,1017.48126,1008.6001,1014.604,1010.9737,1018.3487,1020.2361,1014.394,1007.7689,1011.9324,1011.8836
1972-03-01,1019.4242,1009.1319,1015.827,1010.9143,1014.6509,1018.7968,1019.65295,1007.52203,1012.35913,1012.4604
1972-04-01,1017.8731,1009.4169,1015.2059,1010.6743,1018.22815,1013.5041,1008.782,1011.85046,1018.32556,1014.32837
