,vws_u850-250_cluster1,vws_u850-250_cluster2,vws_u850-250_cluster3,vws_u850-250_cluster4,vws_u850-250_cluster5,vws_u850-250_cluster6,vws_u850-250_cluster7,vws_u850-250_cluster8,vws_u850-250_cluster9,vws_u850-250_cluster10
1965-01-01,22.944779636704823,90.59388403428571,5.8393690113472525,-11.013795746774395,-1.635999846679471,21.99163794679739,9.700144803605232,44.88734827943678,28.606841760889015,16.330566360864303
1965-02-01,17.150108616688264,19.2252141773717,6.36958687667999,-15.704248518123794,7.386005141279069,29.899596340838844,12.776637960232133,37.469848330820646,23.093221132494143,20.756917915678876
1965-03-01,19.004400113022086,15.581988314328479,10.558507726084404,-6.036480293672835,1.3146886765586965,29.016795701270674,16.24889554955307,40.846640835725616,16.848082885734954,17.912486497884252
1965-04-01,32.244521600625426,26.003695096419996,15.332080237011798,-3.0213786845835586,-1.0230139389227737,35.96466157748123,25.06135015547877,62.46686884155346,15.384561127241522,21.98121431212657
1965-05-01,38.56611882721439,-2.853264219902268,26.167070834205074,7.646481125822448,6.7700798505967175,45.22927564220646,30.998966200200506,65.0268968104168,11.174380626777634,23.433152370854906
1965-06-01,40.38255374748065,-1.1172954576656005,33.111460061471334,13.530520107805652,6.620278423386781,40.80830648566283,34.93432058060275,66.90975086866352,3.686960473515482,21.432227872376277
1965-07-01,40.431714395135806,17.68511264889179,26.241080544375667,9.668628318555204,0.6827941608353245,49.328979537830314,34.666307099803696,86.51362910925818,7.633996497688279,24.690317067309284
1965-08-01,40.831812578212656,-17.664955638985138,31.9649281705739,6.278633210126713,4.93042089591808,45.613419965306115,35.95439968865141,69.97760231822205,0.9162187078288441,22.59750146547873
1965-09-01,43.81548991425071,-10.492363237145387,32.65276556312163,2.3683588261311943,4.9260898873289,39.25566336781069,32.000231403794615,62.99961424660483,4.495392548621514,19.402291545052158
1965-10-01,32.95334605629281,-3.3407094251367893,29.323637868656334,-3.424321703473538,3.8957608364545706,41.1116919565557,26.738813891636013,56.475218208196445,14.801797142096476,22.733467229646976
1965-11-01,31.631561573553498,16.35563032915223,21.986632682826905,1.981450777775842,-0.8246558484252178,33.75760615807279,26.93444034503089,50.67297591461169,8.956633208539804,18.83794381843401
