,mgv500_cluster1,mgv500_cluster2,mgv500_cluster3,mgv500_cluster4,mgv500_cluster5,mgv500_cluster6,mgv500_cluster7,mgv500_cluster8,mgv500_cluster9,mgv500_cluster10
1968-07-01,-0.28596038,0.11990516,-0.1485012,0.24334943,0.10872157,-0.35235417,-0.43587723,0.27067137,0.19394338,0.19408503
1968-08-01,0.105324015,0.24150905,-0.030577922,0.00014156103,-0.11820631,0.35900766,-0.056484245,-0.5036866,0.05223732,-0.06342091
1968-09-01,-0.038363982,0.3042222,0.035674263,0.095556065,-0.24037659,-0.5116142,0.32120988,-0.10914626,-0.008210754,-0.5034035
1968-10-01,0.088194706,-0.25877994,-0.30323118,0.018969655,0.47523212,-0.41619977,0.03086109,0.17554002,-0.117357016,-0.19040433
1968-11-01,0.1460946,0.23004238,0.0842309,-0.22154851,0.15218182,-0.08946878,-0.07771893,0.24094276,0.2644426,-0.2878007
1968-12-01,-0.46801233,-0.15345596,0.11820638,-0.08210745,0.041478444,0.067243144,0.32559842,0.18997963,-0.26953885,-0.28199658
1969-01-01,-0.24665442,-0.49315757,0.5578116,0.018623997,0.105990246,0.09478559,0.17942636,-0.122494414,0.09160586,-0.001816988
1969-02-01,-0.18835983,0.15777406,0.22742482,-0.026497554,0.07086201,-0.13112506,-0.5222291,0.5140527,0.7352695,-0.34552822
1969-03-01,-0.086306356,-0.07510166,0.2564964,0.0236207,0.24907713,0.12779398,-0.2181885,-0.20032156,0.037096597,-0.30949154
1969-04-01,-0.32766128,0.013930154,-0.055872012,0.1261284,0.3309924,-0.40639696,-0.01302166,0.29980105,-0.32311884,-0.047695637
1969-05-01,-0.20986071,0.45696944,0.23741817,0.200473,-0.012416077,-0.1005394,-0.07888703,-0.19517347,-0.26255304,0.08024979
1969-06-01,-0.6848484,-0.008327866,-0.27496904,0.28799066,0.15035474,-0.05117817,0.04057913,0.14278403,-0.034522533,-0.08161249
1969-07-01,-0.1683731,0.40185452,0.44637042,0.36051828,-0.47862172,-0.006662226,-0.28193408,-0.68333435,0.18941972,-0.50890464
1969-08-01,0.34689096,0.20668106,0.14414676,0.14096704,0.00651083,-0.31933346,0.07676723,-0.24786584,0.085852124,-0.2236394
1969-09-01,-0.19926168,0.105535984,-0.08660917,0.072224796,-0.31191415,-0.8995544,0.1400586,-0.291776,0.2587676,0.15504861
1969-10-01,0.036188103,0.0546607,-0.08327806,0.07040782,-0.049815368,-0.52041215,0.22651632,-0.10265913,0.052238047,-0.42683786
1969-11-01,0.54918087,-0.41184777,-0.2798143,-0.019381082,0.1791236,0.14126985,0.31130853,-0.53479654,0.47407922,-0.55130076
1969-12-01,0.14202695,0.24090068,0.18245466,0.11613502,0.07404175,-0.099025175,-0.31918207,-0.76297843,0.10053931,0.13127652
