,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10
1968-03-01,0.0040850937,0.012863249,0.04607889,0.007358283,0.02636525,0.7044035,-0.13052571,0.020971894,-0.040066063,0.012491286
1968-04-01,0.009738803,0.007023543,0.020116389,-0.08436602,0.028485388,0.7258282,-0.048695445,0.03540376,-0.0076315105,-0.028758615
1968-05-01,-0.0004155934,0.030828714,0.0001423657,0.021009088,0.027481109,1.0100024,0.0033039749,0.029378086,0.0011466444,-0.03876424
1968-06-01,0.02614206,0.045595348,0.06739196,-0.046984434,0.03711477,1.53234,-0.32219458,0.013198018,0.053183258,-0.016484082
1968-07-01,0.018293798,0.027220726,0.034101933,0.05742356,0.023129225,1.6727905,-0.06770241,0.034101933,0.04414472,-0.088457525
1968-08-01,0.029898822,0.020637125,0.07114872,0.02874577,0.034250706,1.5056708,-0.36333287,0.030010402,-0.014959067,-0.037127614
1968-09-01,0.028262228,0.019186497,0.022459716,-0.057771146,0.017475486,1.4469762,-0.37865746,0.034139127,-0.036011755,-0.029465318
1968-10-01,0.01185897,0.034771442,0.038230628,-0.014921844,0.023277998,1.2219429,-0.49783212,0.019372463,0.014983386,-0.025782973
1968-11-01,0.010259539,0.034473866,0.027295142,-0.0063668787,0.02885735,0.84641623,-0.14744973,0.032762885,-0.07398844,-0.13048851
1968-12-01,-0.00569734,-0.03404039,0.02908051,-0.0067016482,0.021009088,1.0870717,-0.002349764,0.024133503,0.0046058297,-0.17527199
1969-01-01,-0.117661536,-0.047382176,0.003697753,-0.1541763,0.023406506,0.12729782,0.040518045,0.048309863,-0.029812276,-0.19435781
1969-02-01,-0.15208822,-0.027724266,-0.01117295,0.011082172,0.015309095,0.52783954,-0.09942967,0.024119496,0.018924952,-0.086901605
1969-03-01,-0.026858509,-0.0014458895,0.02951777,0.032624364,0.01887405,0.67878747,-0.132685,0.031962276,0.0042579174,-0.096374035
1969-04-01,-0.06464642,0.035934627,0.024985254,-0.04009956,0.0008458495,1.4918387,-0.031136394,0.03624016,-0.03841895,-0.06892431
1969-05-01,0.017448068,0.04087454,0.06679642,0.016073048,0.003901422,2.1660118,-0.24299318,0.0265131,0.029365003,-0.12163383
1969-06-01,0.012660921,-0.011885941,0.038175404,0.027531624,0.010318279,1.630055,-0.5117864,0.038175404,0.022031486,-0.056090713
1969-07-01,0.027378857,0.036545753,0.025545478,0.0506016,0.01566559,2.565484,-0.34856504,0.045356095,0.0048181415,-0.050335944
1969-08-01,0.022438943,0.029110372,0.049124718,0.024934351,0.027582526,1.6171196,-0.41696018,0.04342091,-0.010867417,-0.060012043
1969-09-01,0.03089279,0.038684666,0.017906427,0.008230269,0.020299971,2.014402,-0.13828701,0.04087454,-0.043613553,-0.09596664
1969-10-01,0.01566559,0.014239669,0.037717044,-0.022071362,0.018110096,1.4554768,-0.2936147,0.029670596,-0.011580408,-0.016469419
1969-11-01,0.019485116,0.04433757,0.031096518,0.011540532,0.021369457,1.1039779,-0.2534842,0.020096242,-0.054308236,-0.041372776
1969-12-01,-0.082980216,-0.053900838,0.034203053,0.027582526,0.022031486,0.26439363,-0.048095107,0.034304917,-0.10752708,-0.06016487
1970-01-01,-0.0060934424,-0.013188541,0.013620257,0.009443998,0.029741466,0.7329223,-0.08220887,0.018380284,-0.031330526,-0.14287668
1970-02-01,-0.1644764,-0.02679503,0.01766181,-0.016017616,0.029382229,0.29154262,-0.056702316,0.024622202,-0.00039035082,-0.07668543
1970-03-01,-0.05153817,-0.019610107,0.037061095,0.014787793,0.021927834,0.5843737,-0.041793585,0.022376895,-0.07610166,-0.06074387
1970-04-01,0.00823158,0.027406335,0.06292689,0.011644423,0.028708637,0.89476305,0.033468664,0.016224802,-0.029354632,-0.03941357
1970-05-01,0.0036062598,0.033872783,0.058930278,-0.007440567,0.03360337,1.4899902,-0.39749295,0.029741466,0.018649697,-0.05472648
1970-06-01,0.03589356,0.033962607,0.054933667,0.014787793,0.029427111,2.153205,-0.5041444,0.024891615,0.043572485,-0.02050817
1970-07-01,0.021927834,0.015326679,0.022556543,-0.015523672,0.017527044,1.6685808,-0.59085757,0.037510157,0.002708137,0.007063985
1970-08-01,0.027810514,-0.0033092499,0.07213259,0.055068374,0.035758853,1.450563,-0.30390906,0.030998826,-0.020463288,-0.013413072
1970-09-01,0.01954782,0.02498144,0.03126824,0.038498104,0.031627476,1.1680152,-0.3469289,0.03845322,-0.040176988,-0.041793585
1970-10-01,0.0057617426,0.024622202,0.053586483,0.04828757,0.01680857,0.85785043,-0.4899091,0.02269125,-0.0035337806,-0.031959176
1970-11-01,0.015865564,0.00886023,0.06966275,0.035758853,0.015102148,0.68177456,-0.24589074,0.0401147,-0.015119493,-0.0023662448
1970-12-01,-0.14750195,-0.0070364475,0.010656476,0.015416503,0.013530433,1.3941611,-0.040311694,0.023185194,-0.11189163,-0.06245029
1971-01-01,-0.07030541,-0.04031533,0.041794717,0.011477172,0.012600064,0.6795396,0.019805133,0.025092006,-0.022770464,0.017793357
1971-02-01,-0.06572032,-0.09206104,0.048953056,0.017606199,0.014471471,0.50619614,-0.029835165,0.026589155,-0.08523023,0.01606226
1971-03-01,-0.12050718,-0.093230724,0.03875363,0.024203062,0.016764045,0.48008937,-0.05598879,0.024998426,0.008763552,0.012693644
1971-04-01,-0.03442025,0.014424741,0.024109483,0.037724316,0.011102855,0.6669073,-0.15643907,0.01877582,-0.04162532,0.0013713241
1971-05-01,-0.030115902,0.0083425045,0.053725243,0.0130211115,0.024904847,1.5561289,-0.06380206,0.028928459,-0.02492261,-0.022817254
1971-06-01,0.018167615,0.014752209,0.027992785,0.031033874,0.021395862,1.6941954,-0.50181603,0.031033874,0.050496995,-0.008500576
1971-07-01,0.019664764,0.036507845,0.030893505,0.02308017,0.023548067,2.1302443,0.022191226,0.029068828,0.038332522,0.005020678
1971-08-01,0.029677093,0.022331595,0.038051844,0.043900132,0.02439022,1.3576611,-0.28711337,0.028460622,0.029396355,-0.009483099
1971-09-01,0.024109483,0.025747001,0.028133094,0.04993558,0.02317375,1.0158868,-0.38985622,0.03131461,0.009886444,-0.03058374
1971-10-01,0.020974815,0.028179884,0.018307984,0.036648214,0.018729031,0.89171576,-0.07423544,0.014331162,0.015313625,-0.02772981
1971-11-01,0.012366116,0.022050917,0.06261468,-0.06412959,0.023641646,0.60271645,0.054941714,0.021863759,-0.024127245,-0.022302568
1971-12-01,-0.032408416,-0.0065355897,0.02579379,-0.029507697,0.03440249,1.9143721,0.053210616,0.027010262,-0.006114483,-0.08289093
1972-01-01,-0.13732862,-0.053587854,0.013558924,-0.045316517,0.022909105,0.34708357,0.05414498,0.041712284,-0.027386725,-0.08949876
1972-02-01,-0.12802976,-0.12679678,0.04263699,0.009346187,0.02927959,0.15874386,-0.021992385,0.02059728,-0.029390335,-0.030726075
1972-03-01,-0.056362033,-0.050710857,0.01715517,0.036780298,0.01587081,0.6441835,-0.021273136,0.023166,-0.032215953,-0.007350564
1972-04-01,-0.050916314,-0.033911288,0.057176054,0.04263699,0.006982982,0.2842009,-0.12510145,0.029844701,0.0065205693,-0.04439175
1972-05-01,0.008729696,0.024142146,0.03862977,0.04926437,0.02193302,2.420002,-0.07608998,0.028406203,-0.06596911,-0.06643152
1972-06-01,0.028971314,0.02789247,0.008113205,0.014072657,0.01982665,1.9596331,-0.5777127,0.035084903,-0.0019048452,-0.008994579
1972-07-01,0.02393663,0.029741943,0.076492965,0.020237625,0.027841091,1.915194,-0.5610159,0.004414201,0.024810016,-0.06735623
1972-08-01,0.023988008,0.038116038,0.012017667,0.031796932,-0.032935202,1.4986992,-0.94673723,0.051678956,-0.025948226,-0.050762236
1972-09-01,0.025631964,0.034879446,0.060515404,-0.07151759,0.013045192,1.6784593,-0.6111062,0.02049452,0.0032839775,-0.06812686
1972-10-01,0.019621134,0.027019083,0.028714478,-0.081021905,0.008267343,1.7022457,-0.44311088,0.02727598,0.004516959,-0.056002438
1972-11-01,0.024398983,0.03518766,0.035598695,-0.012179792,0.02393663,0.97477984,-0.26627916,0.035547316,0.007342577,-0.07341844
1972-12-01,0.013250649,0.01720655,0.026659489,0.021984398,0.025631964,0.76707184,-0.009302795,0.02588886,0.0020509958,-0.1253069
1973-01-01,-0.035407126,-0.020482957,0.022995949,-0.049833775,-0.00894165,1.0249022,-0.0029720068,0.028468132,-0.0901289,-0.07540375
1973-02-01,-0.09281522,-0.07122499,0.02404064,-0.04013306,0.012101352,0.61792135,-0.116693854,0.031054974,-0.038143218,-0.13087177
1973-03-01,-0.083363295,-0.055654168,0.019812167,0.010161221,-0.028044522,0.5893665,-0.038242698,0.02488637,-0.02570641,-0.028591752
1973-04-01,-0.031327844,-0.006354809,0.04045719,-0.016702175,0.019662917,0.9489384,-0.19121498,0.04095465,0.003694117,-0.023318589
1973-05-01,0.016479135,0.037721097,0.04010898,-0.0039669275,0.026925981,1.5662003,-0.30414087,0.02642852,-0.028890252,-0.006852269
1973-06-01,0.016230345,0.033293605,0.030856013,0.014538944,0.019414186,2.3756847,-0.2535978,0.031154513,0.012648582,-0.050281465
1973-07-01,0.02488637,0.016976595,0.02528435,-0.020035267,0.02503562,1.3853695,-0.8843908,0.037372887,0.0016047359,0.011952102
1973-08-01,0.033890605,0.02498585,0.027622461,0.030358553,0.021702528,1.2337404,-0.21748143,0.028517902,-0.009886861,0.011504412
1973-09-01,0.028915882,0.0073256493,0.033990085,0.031651974,0.02647829,1.0914141,-0.6854523,0.02414018,-0.046301723,0.018618226
1973-10-01,0.015732884,0.038915038,0.04145217,0.027771711,0.023244739,1.3858173,-0.43154317,0.02548331,-0.102068186,-0.004464388
1973-11-01,0.006678939,-0.068190455,0.04135263,0.032547414,0.016180634,0.7154754,-0.07913476,0.02503562,-0.065603554,-0.033864915
1973-12-01,-0.029934943,-0.05953443,-0.00028568506,0.0268265,0.021354318,0.41982844,0.017175555,0.033741355,-0.034412146,-0.033616185
1974-01-01,-0.06372434,-0.1507513,0.0129866,0.005967021,0.002243936,1.2125158,-0.0030304193,0.01930803,-0.03886503,0.009534955
1974-02-01,-0.13512212,-0.07175225,0.02547443,0.019967377,0.027684987,0.38339406,-0.116623044,0.02155739,-0.06795156,-0.0039612055
1974-03-01,-0.0997529,-0.0718686,0.03575164,0.03703147,0.026909351,0.47844887,0.07996321,0.027335942,-0.060970843,0.01255995
1974-04-01,-0.015208006,0.029081106,0.028344274,0.026909351,0.022643328,0.39483476,-0.068572104,0.025551975,-0.10421282,-0.022033632
1974-05-01,0.0042605996,0.013296843,0.036255836,0.040870905,0.034239173,0.93937373,-0.3784408,0.0270257,-0.07900447,0.009069562
1974-06-01,0.016593337,0.011202574,0.035131156,0.03392887,0.025125384,1.9001217,-0.4798947,0.01888144,0.038194895,-0.017728806
1974-07-01,0.02617246,0.030748785,0.045369625,0.04292631,0.03420037,1.7618248,-0.60709983,0.021169603,0.008992016,0.010543287
1974-08-01,0.030477285,0.016127944,0.0211308,-0.011989057,0.017989457,1.2480013,-0.39310044,0.040909648,0.013219297,0.01411128
1974-09-01,0.030942678,0.022022784,0.037109017,0.01861,0.027142048,0.84587014,-0.57425135,0.034588158,0.042848766,0.014886916
1974-10-01,0.019036591,0.04094845,0.043275356,0.022022784,0.025086582,0.8031711,-0.105104804,0.030322134,0.009341061,0.021596193
1974-11-01,0.018726349,0.028344274,0.051303267,0.010969937,0.02182889,1.2857363,-0.15408653,0.027064443,-0.12461215,-0.0075291395
1974-12-01,0.0027868748,0.0075182915,0.067979515,0.02182889,0.018260956,0.59014124,-0.11449003,0.029740453,-0.07652241,-0.057868242
1975-01-01,-0.07478583,-0.035235047,-0.01705116,-0.019795239,0.021658123,0.14945737,0.061830938,0.039110243,-0.03340566,-0.09234774
1975-02-01,-0.12330049,-0.0364058,0.034829557,0.029707313,0.035122216,0.80693007,-0.069114804,0.028829217,-0.0481869,-0.037759542
1975-03-01,-0.07302964,-0.033369064,0.05173284,0.043061674,0.015182197,0.49674344,-0.103909254,0.030658603,-0.060077786,-0.03505212
1975-04-01,-0.032783687,0.02334112,0.023121595,0.025170505,0.0068036914,1.0856516,-0.13050818,0.019682407,-0.08689624,-0.030222595
1975-05-01,-0.020783067,0.010974646,0.05374515,-0.007355571,0.018401861,1.3871305,-0.3446899,0.0060353875,0.0032913089,0.0010595322
1975-06-01,0.02579248,-0.025978446,0.07258755,0.03713453,0.028024316,1.7942734,-0.20401198,0.023999691,0.011011243,0.014413834
1975-07-01,0.02959758,0.03014636,0.0549891,0.047415555,0.03204888,1.6094346,-0.43978018,0.03354895,0.015913904,0.0063280463
1975-08-01,0.029451191,0.018877506,0.056306243,0.016389549,0.026268125,1.3757153,-0.5793604,0.023816764,0.027329147,0.026963294
1975-09-01,0.02864629,0.019426286,0.047671676,0.041817725,0.028829217,0.9305949,-0.24286765,0.02864629,0.020816624,0.023450911
1975-10-01,0.025024176,-0.017819524,0.059013724,0.029012144,0.014523625,1.113275,-0.24634343,0.02974391,0.030951262,0.020633698
1975-11-01,-0.015331566,0.009986818,0.030182958,-0.02210021,0.016828597,1.1595945,-0.108665645,0.025975406,-0.019136667,0.023524106
1975-12-01,-0.08824992,-0.0737614,0.038780928,0.03274405,0.024365604,0.94980323,0.025536358,0.017157912,-0.048260093,0.015657842
1976-01-01,-0.09003425,-0.07318175,0.01410687,-0.078442335,0.017691553,0.49012077,-0.004095733,0.023510754,-0.030259013,-0.018387735
1976-02-01,-0.09548104,-0.110937,0.04608941,0.025466025,0.012524068,0.37527224,0.066293836,0.020531297,-0.026581228,-0.0033974051
1976-03-01,-0.10711956,-0.06466234,0.03566134,0.011080861,0.015456915,0.57726973,-0.060239732,0.023510754,-0.0046077967,-0.046552896
1976-04-01,-0.009495974,0.010615349,0.022719383,0.043528974,0.003911555,0.47387347,-0.15381312,0.028305829,-0.007214844,-0.040268123
1976-05-01,-0.042269945,0.027421296,0.0049822927,0.04455316,0.022067606,1.0021675,-0.29570955,0.035475135,-0.030305564,0.001537323
1976-06-01,0.02835238,0.021881402,0.072019935,0.026629865,0.023557305,2.3021393,-0.22811323,0.017086327,-0.028164089,-0.004887104
1976-07-01,0.022719383,0.021974504,0.08198249,-0.0037232637,0.01992613,2.1659224,-0.42424494,0.02299869,0.01257062,-0.05316353
1976-08-01,0.022253811,0.04143405,0.07006472,-0.029327929,0.032449126,1.1049119,-0.42419833,0.0107550025,0.044832468,-0.0143841505
1976-09-01,0.01908815,0.030121446,0.043901384,-0.014616907,0.030493855,0.6287584,-0.7486792,0.012989581,0.019274354,0.004237473
1976-10-01,0.017784655,0.020391643,0.06229019,0.036220014,0.017831206,1.4955459,-0.43132108,0.022114158,0.012105048,-0.035612702
1976-11-01,0.013781011,-0.011590898,0.027095437,0.014199972,0.02299869,0.778662,-0.23290831,0.029702425,-0.053489447,-0.013266802
1976-12-01,-0.050835848,-0.043340683,0.037430406,0.021089971,0.028398931,1.2166879,0.040130496,0.023976326,-0.043852746,-0.13523811
1977-01-01,-0.09900698,-0.04313934,0.036391586,-0.0254969,0.026963621,0.40314853,-0.044819564,0.020522743,-0.009348035,-0.06754935
1977-02-01,-0.024750143,-0.12332365,0.024349928,0.001993537,0.02005601,0.35148144,-0.04794666,0.022809714,-0.054947615,-0.043792754
1977-03-01,-0.043652743,-0.04099238,0.03779176,0.019915998,-0.014435381,0.62526566,-0.0804311,0.032891095,-0.14068606,-0.092752814
1977-04-01,-0.056161106,-0.009394705,0.031070858,-0.028483987,0.028877199,0.70778364,-0.03203115,0.032984436,-0.051680505,-0.04990691
1977-05-01,0.0046072304,-0.005987555,0.027103633,-0.009721428,0.034384638,1.3750218,0.021409512,0.027337015,-0.068249434,-0.05121377
1977-06-01,0.028737187,0.034104586,0.03139755,-0.07357016,0.022016287,1.9233836,-0.49493465,0.015808761,0.039331973,-0.051960528
1977-07-01,0.02346313,0.015155345,0.038818568,0.0018534958,0.029670656,1.766002,-1.1352425,0.019402593,0.022576362,-0.06456226
1977-08-01,0.03256437,0.022763044,0.06425539,-0.025356889,0.02355647,1.4338299,-0.25783542,0.0212695,0.025563419,-0.025030166
1977-09-01,0.027570367,0.02005601,0.037231684,0.007360935,0.017022252,1.179555,-0.1101152,0.019915998,0.0016668141,-0.031237692
1977-10-01,0.019495934,0.043999285,0.039845377,0.016042113,0.022062957,1.0834552,-0.35449538,0.030417413,-0.04888013,-0.023910016
1977-11-01,0.020382702,0.030744135,0.038678557,-0.00547415,0.026123494,1.2449907,0.042645782,0.020336032,0.005353987,-0.05560103
1977-12-01,-0.0057542026,-0.010094792,0.01907587,-0.05107376,0.019542605,0.7295333,-0.117442876,0.03368455,0.018749148,-0.11156204
1978-01-01,-0.033233166,0.004764676,0.029866695,0.038092375,0.012725115,0.32233328,0.04403627,0.019889593,-0.03710723,-0.1507293
1978-02-01,-0.09394479,-0.013968825,0.033581495,-0.0513829,0.010124683,0.1900838,0.025037289,0.041329622,-0.0043632984,-0.12907684
1978-03-01,-0.011633754,0.01495409,0.017660618,-0.008927226,0.01760757,0.45548493,-0.039919853,0.021534681,-0.058600426,-0.08725798
1978-04-01,-0.038274765,-0.036947966,0.034324527,-0.0121644735,0.019411922,0.29855806,-0.03997302,0.022012353,-0.114376545,-0.04267955
1978-05-01,0.011929154,0.023763657,0.03745556,0.03241396,0.024135113,1.182804,-0.025909543,0.016227722,-0.029252887,-0.007865906
1978-06-01,0.02445352,0.025037289,0.025886416,-0.017312288,0.02578032,1.6016824,-0.39208984,0.02418816,-0.017206073,0.007471204
1978-07-01,0.0116637945,0.009700179,0.050245404,-0.053293467,0.02238381,2.8955727,-0.42133117,0.038145542,0.005666852,0.0003068447
1978-08-01,0.01309669,0.021481633,0.05560541,0.016333938,0.02631092,1.1412505,-0.23102355,0.010071635,-0.027342439,-0.0047347546
1978-09-01,-0.0035672188,0.009700179,0.04907787,0.016121626,0.021906137,1.4044757,-0.20491338,0.0066752434,-0.114641905,-0.023521423
1978-10-01,0.021800041,0.02790308,0.03527975,0.00035989285,0.020367146,1.8069557,-0.07823622,0.024135113,-0.008449674,0.0021111965
1978-11-01,-0.002399683,0.034324527,0.029548168,-0.031959414,0.022489905,0.92982113,-0.2813866,0.018350482,-0.07399058,-0.003673315
1978-12-01,0.0035440922,-0.087947845,0.03474903,-0.003036499,0.01654613,0.19432938,-0.044059277,0.030715704,-0.009670258,-0.16314757
1979-01-01,-0.114172995,-0.044029236,0.0121129155,0.011297286,0.02076763,0.33931452,0.014287949,0.037216067,-0.027082384,-0.10465741
1979-02-01,-0.06392145,-0.059344888,0.020314515,0.0032317042,0.01827544,0.23283017,0.026794195,0.016961396,-0.011630833,-0.10225582
1979-03-01,-0.0598433,-0.0289402,0.031869173,0.03449732,0.01750511,0.44792858,-0.009773016,0.028244197,-7.611513e-05,-0.04448235
1979-04-01,-0.0054230094,0.01745981,0.02552545,0.02801764,0.018501997,0.39894578,-0.31354797,0.036762953,-0.11077458,-0.037413657
1979-05-01,-0.02078396,0.022081673,-0.001707375,-0.025541782,0.025117636,1.7570069,0.038847327,0.04269886,0.014877021,-0.054632366
1979-06-01,0.027564526,0.0012832284,0.063452005,0.04025203,0.021311402,0.9517583,-0.12187612,0.025842607,-0.0040183067,-0.025994897
1979-07-01,0.026023865,0.00359416,0.040659785,0.011841059,0.022852004,1.4030709,-0.29873085,0.038303554,-0.015301108,-0.012854278
1979-08-01,0.0198614,0.026703537,-0.022143304,-0.01271832,0.021809816,2.3210115,-0.22550583,0.023667634,-0.040812075,-0.005287051
1979-09-01,0.026250422,0.02072233,0.021175444,-0.010362089,0.030736387,1.2052364,-0.53014183,0.02797234,0.0072191954,-0.018337071
1979-10-01,0.027700424,0.036491036,0.012747288,-0.032429278,0.020314515,1.5668755,-0.25708866,0.008805096,0.0036848187,-0.087166786
1979-11-01,0.013925433,0.04854417,0.05262232,-0.014440179,0.030328572,1.6086084,-0.1883949,0.028198898,-0.014394879,-0.034241736
1979-12-01,-0.008232355,-0.010769904,0.012294173,-0.07547611,0.025162935,1.1468287,-0.10311675,0.03205043,-0.010362089,-0.10565424
1980-01-01,-0.057201862,-0.052975,0.0182001,-0.002752483,0.02033627,0.039379895,0.018063724,0.030380785,-0.056429207,-0.086471796
1980-02-01,-0.17996293,-0.077881694,0.012973309,0.0012016892,0.023290515,0.8740282,-0.049975276,0.027426481,0.010382652,-0.08201772
1980-03-01,-0.15655607,-0.023795903,0.03369862,-0.061065137,0.025335789,0.6162344,-0.007842898,0.03174424,-0.017751038,-0.099470615
1980-04-01,0.010337234,0.015245855,0.044879377,-0.009751797,0.007882893,1.9042034,-0.4856159,0.024608552,0.0046558976,-0.005752206
1980-05-01,0.029471755,0.03397131,0.04815179,0.048288167,0.018609166,2.385067,-0.09942514,0.026426613,-0.050247967,-0.05415672
1980-06-01,0.033516824,0.028653681,0.038970888,0.009428203,0.02624482,1.8650253,-0.47557133,0.02960813,0.0012925863,-0.030749798
1980-07-01,0.027971923,0.012700617,0.05278772,-0.011478901,0.02683562,1.7858055,-0.47711664,0.00488317,-0.020250797,-0.020250797
1980-08-01,0.023608685,0.03056258,0.03515303,0.074285686,0.020154476,1.6026411,-0.33985692,0.029153585,0.0022016168,-0.07174593
1980-09-01,0.02406317,0.032835066,0.02156341,0.012018859,0.01788193,0.8357591,-0.2043243,0.036834717,0.027381063,-0.020568967
1980-10-01,0.02960813,0.04633379,0.05678737,-0.014024138,0.018745482,0.80867076,-0.4774348,0.02656293,0.0035651326,-0.0055249333
1980-11-01,0.01633662,0.027562857,0.0373801,-0.03597659,0.020154476,1.0950073,-0.21659583,0.022381544,-0.010842621,-0.01211524
1980-12-01,-0.017751038,-0.016796589,0.015109479,0.024154067,0.017472863,0.7818096,-0.07747269,0.016791165,-0.099197865,-0.047611833
1981-01-01,-0.0977723,-0.07654935,0.021825016,-0.030771196,0.008342743,0.60371506,0.027412713,0.021363676,0.004139185,-0.02395314
1981-02-01,-0.089929044,-0.07465261,0.019159317,-0.009599388,0.010034442,0.28372937,0.002806306,0.036076248,-0.09715718,-0.089211404
1981-03-01,-0.025183499,0.024952054,0.029822111,0.028591752,0.024388194,0.62083703,0.03228271,0.019159317,-0.0024738312,-0.053429544
