,abs_vo600_cluster1,abs_vo600_cluster2,abs_vo600_cluster3,abs_vo600_cluster4,abs_vo600_cluster5,abs_vo600_cluster6,abs_vo600_cluster7,abs_vo600_cluster8,abs_vo600_cluster9,abs_vo600_cluster10
1965-01-01,-8.237561e-05,-1.3522977e-05,8.923162e-06,-4.17076e-05,-6.3638894e-05,-6.40427e-05,-7.687674e-05,-7.762542e-05,-2.622326e-05,-8.9453926e-05
1965-02-01,-6.966013e-05,-1.379218e-05,2.3276225e-06,-5.296937e-05,-6.0130245e-05,-6.51285e-05,-7.857274e-05,-8.2210885e-05,-2.3369681e-05,-8.711184e-05
1965-03-01,-6.6994995e-05,-1.1889793e-05,1.4751422e-06,-4.0980747e-05,-5.7518948e-05,-6.88884e-05,-7.4561576e-05,-8.1798105e-05,-2.9005056e-05,-9.205625e-05
1965-04-01,-7.45507e-05,-2.1931168e-05,6.49134e-06,4.148594e-05,-5.9412363e-05,-4.6687906e-05,-7.2524585e-05,-0.00010350506,-2.2508222e-05,-8.498511e-05
1965-05-01,-7.141894e-05,-1.1800059e-05,1.2149103e-06,3.7178645e-05,-6.293896e-05,-8.495999e-05,-7.310786e-05,-9.364315e-05,-2.7667997e-05,-8.934624e-05
1965-06-01,-7.86516e-05,-1.5174102e-05,-2.2085442e-07,4.5541972e-05,-7.126639e-05,-6.971397e-05,-8.927815e-05,-9.119338e-05,-1.9959738e-05,-9.132042e-05
1965-07-01,-9.204907e-05,-1.44113565e-05,1.3136159e-06,9.5174546e-05,-7.5833916e-05,-5.8748323e-05,-8.447732e-05,-9.2602226e-05,-2.0785305e-05,-8.974108e-05
1965-08-01,-7.874134e-05,-1.7884113e-05,3.153189e-06,7.0775524e-05,-6.975884e-05,-5.6460078e-05,-8.4028645e-05,-9.817479e-05,-2.1072457e-05,-9.984527e-05
1965-09-01,-8.120906e-05,-2.4596307e-05,1.3854078e-06,1.4098747e-05,-6.796413e-05,-5.804839e-05,-6.828908e-05,-7.7374156e-05,-1.8784212e-05,-8.402495e-05
1965-10-01,-7.419176e-05,-1.3092247e-05,1.2777236e-06,4.50933e-05,-8.2923e-05,-7.099719e-05,-6.5273976e-05,-8.2883904e-05,-3.2773936e-05,-8.68875e-05
1965-11-01,-8.36678e-05,-1.9221165e-05,5.1094175e-06,9.908108e-06,-7.004599e-05,-7.022546e-05,-8.1569895e-05,-0.00010039125,-2.5873294e-05,-8.424031e-05
1965-12-01,-7.127536e-05,-1.2948671e-05,6.769522e-06,-3.1352156e-05,-6.308254e-05,-7.939641e-05,-7.233614e-05,-9.140875e-05,-2.1978787e-05,-7.2646515e-05
1966-01-01,-6.915956e-05,-1.2651495e-05,7.389717e-07,-3.227899e-05,-6.946914e-05,-7.557924e-05,-6.8652254e-05,-7.689919e-05,-2.6207777e-05,-6.863937e-05
1966-02-01,-7.07319e-05,-1.3580231e-05,5.7085235e-06,-3.9839222e-05,-7.28908e-05,-7.183172e-05,-9.256312e-05,-6.899679e-05,-2.4236251e-05,-7.655806e-05
1966-03-01,-6.7782756e-05,-1.8142442e-05,3.3052165e-06,-6.290691e-06,-6.617783e-05,-7.511488e-05,-7.647318e-05,-7.798271e-05,-2.592264e-05,-8.173128e-05
1966-04-01,-8.414968e-05,-1.8337965e-05,3.7777318e-06,3.753911e-05,-7.6263575e-05,-7.222276e-05,-7.93653e-05,-8.364474e-05,-2.6590678e-05,-7.9572375e-05
1966-05-01,-7.627987e-05,-1.536438e-05,-2.0716725e-06,-1.9765503e-05,-5.889459e-05,-8.432077e-05,-7.585403e-05,-9.44311e-05,-2.2313608e-05,-0.00010288038
1966-06-01,-7.4218726e-05,-1.5502877e-05,1.4314501e-06,7.982916e-05,-6.9998685e-05,-5.9750007e-05,-8.553243e-05,-8.5518506e-05,-2.1466341e-05,-8.672527e-05
1966-07-01,-8.197449e-05,-1.8435725e-05,4.649337e-08,6.6810564e-05,-7.04549e-05,-7.45283e-05,-9.569964e-05,-9.086281e-05,-2.1710744e-05,-9.694136e-05
1966-08-01,-6.756279e-05,-1.2993662e-05,6.2787876e-08,4.715233e-05,-6.698437e-05,-6.2438456e-05,-7.836324e-05,-8.0320846e-05,-2.9727198e-05,-9.901065e-05
1966-09-01,-7.8650584e-05,-1.732776e-05,1.1166776e-07,4.918904e-05,-7.277675e-05,-7.142438e-05,-8.479922e-05,-7.78931e-05,-2.5776e-05,-8.8933055e-05
1966-10-01,-7.906607e-05,-1.4443793e-05,2.0750485e-06,2.4675304e-05,-6.4817315e-05,-7.982373e-05,-7.9349e-05,-8.832915e-05,-2.3030527e-05,-8.666824e-05
1966-11-01,-6.75465e-05,-1.5250325e-05,1.17127165e-05,1.2911318e-05,-7.390915e-05,-8.336759e-05,-7.8094396e-05,-8.2691564e-05,-2.3584507e-05,-8.6831176e-05
1966-12-01,-6.816565e-05,-1.7767687e-05,1.39204985e-05,-8.975039e-07,-6.8866284e-05,-5.7762187e-05,-6.7495406e-05,-7.8121215e-05,-3.0044925e-05,-7.6476594e-05
1967-01-01,-7.61021e-05,-1.7388988e-05,2.9385046e-06,-4.1533953e-05,-6.635725e-05,-6.776083e-05,-7.5638905e-05,-8.597281e-05,-2.9710245e-05,-8.321542e-05
1967-02-01,-6.7616464e-05,-1.6787455e-05,7.863066e-06,-2.9022045e-05,-6.8137786e-05,-6.585998e-05,-8.23841e-05,-7.6933764e-05,-3.1266212e-05,-6.711035e-05
1967-03-01,-6.439224e-05,-1.8383524e-05,2.2808308e-06,-2.2477358e-05,-7.2011666e-05,-6.6228924e-05,-8.443734e-05,-7.9163445e-05,-3.4739067e-05,-8.269408e-05
1967-04-01,-5.9555907e-05,-1.5528245e-05,2.4011351e-06,-2.8885697e-05,-6.461681e-05,-6.470503e-05,-7.5991804e-05,-9.258968e-05,-2.806605e-05,-8.5798e-05
1967-05-01,-7.772223e-05,-1.3001803e-05,8.612078e-07,7.6831886e-05,-6.861902e-05,-6.9469184e-05,-7.976141e-05,-8.453715e-05,-2.5828343e-05,-7.942174e-05
1967-06-01,-6.2034225e-05,-2.9981098e-05,-1.1278644e-06,3.9232e-05,-5.8609494e-05,-5.3853364e-05,-7.848616e-05,-8.0583064e-05,-3.057645e-05,-8.8693385e-05
1967-07-01,-6.626903e-05,-1.8343422e-05,4.4414628e-07,5.5970682e-05,-6.910025e-05,-4.897693e-05,-8.7725726e-05,-9.0528425e-05,-2.7560764e-05,-9.07386e-05
1967-08-01,-7.07284e-05,-1.8904853e-05,1.0697404e-06,4.169428e-05,-6.5531145e-05,-6.539479e-05,-9.3981675e-05,-7.90271e-05,-2.4368623e-05,-8.680056e-05
1967-09-01,-6.4520566e-05,-1.383593e-05,7.0882015e-07,6.882746e-05,-7.541234e-05,-6.444838e-05,-9.046872e-05,-9.47151e-05,-2.877185e-05,-8.915055e-05
1967-10-01,-7.2236246e-05,-1.7429093e-05,-3.7585705e-06,4.649051e-05,-6.86912e-05,-6.756032e-05,-6.622289e-05,-9.30308e-05,-2.5323057e-05,-7.598096e-05
1967-11-01,-7.561285e-05,-1.6691209e-05,1.4455874e-05,-5.0890158e-06,-6.673421e-05,-7.04156e-05,-7.8012956e-05,-8.3759165e-05,-2.309337e-05,-7.840314e-05
1967-12-01,-7.048778e-05,-2.0364578e-05,7.2615294e-06,-2.5845948e-05,-6.848267e-05,-5.9451642e-05,-8.052336e-05,-8.412008e-05,-2.9541814e-05,-8.194818e-05
1968-01-01,-7.570299e-05,-2.411669e-05,3.843619e-06,-4.930291e-05,-6.129788e-05,-6.508527e-05,-6.5900225e-05,-7.674111e-05,-4.2620693e-05,-8.1641134e-05
1968-02-01,-6.435012e-05,-2.2060141e-05,5.518632e-06,-5.0791812e-05,-6.207955e-05,-7.280894e-05,-6.844997e-05,-8.678189e-05,-2.8615712e-05,-6.567266e-05
1968-03-01,-7.0677954e-05,-1.5639254e-05,8.1428225e-06,1.3891644e-05,-7.253908e-05,-5.2001546e-05,-7.222805e-05,-7.132523e-05,-2.8113205e-05,-7.050228e-05
1968-04-01,-6.395928e-05,-1.8337892e-05,-9.673968e-07,-1.2461907e-05,-7.564716e-05,-7.012892e-05,-7.287945e-05,-9.136956e-05,-2.3311502e-05,-0.00010132255
1968-05-01,-6.1446764e-05,-1.5918426e-05,-3.1263044e-06,-4.8685106e-06,-6.5559856e-05,-7.219477e-05,-8.666109e-05,-8.263157e-05,-3.0355866e-05,-8.7606044e-05
1968-06-01,-7.840163e-05,-2.0217629e-05,-4.4383996e-06,5.5832134e-05,-7.8531906e-05,-6.515041e-05,-8.93225e-05,-8.31713e-05,-2.5879857e-05,-9.1393435e-05
1968-07-01,-5.6924226e-05,-8.632114e-06,-1.2930905e-06,4.5484274e-05,-7.8010795e-05,-6.567152e-05,-9.107196e-05,-9.104387e-05,-4.007095e-05,-0.00010148074
1968-08-01,-7.292061e-05,-2.2395148e-05,1.3776225e-06,5.817716e-05,-7.213894e-05,-5.9808972e-05,-8.299467e-05,-0.00010275035,-1.9337996e-05,-0.000102420614
