,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7
1965-01-01,0.11321935787430552,0.19897302127864264,-0.2589863012818729,-0.14422715387561105,-0.1067537160819037,-0.3539787128914234,0.004350411472842097
1965-02-01,-0.022594239868101527,-0.12252000096726091,-0.5274111806761984,-0.7804185152053833,-0.016472014810955317,-0.3663828899694044,0.18027708829322364
1965-03-01,0.2522940640566779,-0.04371527123124632,-0.4318951537796095,-0.1522676172581586,0.11398753053263615,0.12801707137462706,0.015224120579659939
1965-04-01,-0.13073053760606734,-0.13753983051809546,-0.252415458945667,-0.994151153347709,0.20834063751655715,0.7026151862255363,0.16418290997535223
1965-05-01,-0.22960705758973224,-0.8214008318234797,0.21090842053002,0.061879053034565666,0.41059642507318866,-0.10383854251961376,0.2622726373374462
1965-06-01,-0.25180786786997905,-0.7185860039436655,0.26281072447697323,-0.5150235850702632,0.15776497230195163,-0.688573440840078,0.39767103735357523
1965-07-01,-0.16631532735267623,-0.9185443185780147,-0.17755514047309465,-0.019686868075620045,0.734017763221473,0.09266614567401797,0.24937074922490865
1965-08-01,0.0853811881169066,-0.759197424535882,-0.1989959282617943,0.008576768132942643,0.9211561136078417,0.488946188327878,0.13572409807238728
1965-09-01,0.018807844121436604,-0.6604393867597188,-0.29931293490032357,-0.599469854073091,1.0763934829778838,0.2321270316146141,0.17955628572963178
1965-10-01,-0.2067979074037466,-0.48823691394231095,0.1300107979891347,0.05579258907924999,0.2804549639685112,0.11740629236365474,0.05540057181860902
1965-11-01,-0.32467922104186697,-0.13229368280058038,-0.8077117450097028,0.09186414324424484,0.8329015029104133,1.521509192710699,-0.004923598316963762
1965-12-01,0.20704887440947237,0.009150285120696237,-0.4466639722094816,-0.38206048987128516,0.26625949039793856,-0.001699085547697059,-0.042763599776662886
1966-01-01,0.160695844497837,0.07380469612879297,-0.16713767294205872,-0.2783331681381572,0.1685985216968938,0.3300157397292381,-0.11661731696221977
1966-02-01,0.26840818893225465,0.2237610212744099,-0.41969709244428893,-0.4018511284481395,-0.11307552718279655,0.8441620787908864,-0.25447185325901955
1966-03-01,0.3616731064241441,-0.05019134140177949,-0.24266388340323577,-0.6441557949239557,0.3301050840762624,-0.24796064163363257,-0.04820818285224959
1966-04-01,-0.2682946255949677,-0.2868931383302767,0.8030167981690052,0.0716225074773485,-0.35314327269269713,-0.16447361125502477,0.1333557978796307
1966-05-01,-0.09621429394503109,-0.472894841677522,0.15363636079664322,-0.4483261230317029,0.39860083345781294,-0.756323822709017,0.17067985027097166
1966-06-01,0.017034268525780223,-0.5925982782285507,0.07926182930960375,0.18730720674449747,0.6517560858475535,-0.19605949867603392,0.10275030945194885
1966-07-01,0.06958062256701657,-0.22094159910123642,-0.01652296267303766,-0.030072706497528336,0.3825456949702481,-0.3868938878525135,0.12494583397710812
1966-08-01,0.007579744350714762,-0.7313149432613425,-0.04865612067720469,-0.8002833209254525,0.4758019196359735,-0.09009551343529723,0.2532846119720489
1966-09-01,-0.015073306247836255,-0.7147289302251111,0.06721386008019395,0.16803199594671075,0.2943300887158043,0.19632544974948085,0.07977153818501392
1966-10-01,-0.36804601244750573,-0.49314988802557125,-0.30375803802527634,0.3619571639732881,0.885357563955742,0.02263551361339037,0.1281764591112733
1966-11-01,0.08588579223781335,-0.2271681207500092,-0.2557877451181412,-0.46360831369053235,0.79226833686494,-0.9606186733689419,0.13454603031277657
1966-12-01,-0.18413256182045235,0.29482059691050283,-0.5401295335853801,0.22087276659228586,0.2712370272268329,0.40221491525339526,0.020296990624046884
1967-01-01,0.11521919218243146,0.3642934234174964,-0.4676493067367404,-0.06915017200464552,0.045029237343553914,-0.09934058369592179,-0.05580594515777193
1967-02-01,0.0807518414298042,-0.03947474521725145,-0.12997611170159834,0.17721900208429855,-0.10320999120411121,0.1446596931579501,-0.17409525462426245
1967-03-01,0.13665010328175592,0.16449281614120692,-0.21529730920698129,0.2844701097770171,-0.5197230661124514,0.7817831150321073,-0.1525276165921241
1967-04-01,0.396447164601967,0.14501989704288848,-0.20941866415680624,-1.304890350861983,0.3006038174294589,0.4495820680329966,-0.16201163962250575
1967-05-01,0.30972936847170845,-0.20146621008441873,0.022514916810334896,-0.9922887113961306,0.5286155562651785,-0.6181123644806618,0.07541970117017627
1967-06-01,0.7826328277587891,-0.10396679990912137,-0.07212505328888986,-2.452850341796875,0.6414916954542462,-0.5353005126465199,-0.10897265456151217
1967-07-01,0.06858156841309344,-0.7181022265186049,0.49942106592888924,-0.29085549441250885,-0.13016123782124436,0.10878263517867687,0.17731277912389487
1967-08-01,0.3707352720323156,-0.5349870822201036,0.020853565165809555,-0.3530653701587157,0.6179101111596091,0.8429426786511444,0.014901056420058012
1967-09-01,-0.0589293076610956,-0.5961163811487694,0.005857259327290105,0.08047033439983022,0.15362855373767387,0.024924145708250446,0.10985033322867821
1967-10-01,0.1324566050631101,-0.07260775525275975,-0.2675713934734756,-0.4680080169981176,0.4443707696178504,0.11749249384846798,0.02359218560741283
1967-11-01,-0.18349859985660336,0.017474467980943313,-0.4312477859796262,0.05280499515885657,0.6940488752565886,0.4634330092474472,0.035263113386463374
1967-12-01,-0.407889796817889,-0.0454058538969249,-0.15714938441912332,0.3492258827794682,0.1312889289437679,0.7427862217259962,0.16501288992003538
1968-01-01,0.4810662787468707,0.2316820499015181,-0.40220418926693646,-0.7297568023204803,0.2215946714083354,-0.08186238796211953,-0.20676637068390846
