,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7
1965-01-01,1007.0455,1010.92334,1019.8593,1015.93304,1015.4568,1010.9221,1010.91284
1965-02-01,1006.39307,1009.7494,1016.3318,1013.7941,1012.7932,1009.5081,1008.61206
1965-03-01,1008.0446,1013.2118,1018.8683,1017.37555,1018.3995,1011.83563,1011.06537
1965-04-01,1013.592,1014.9705,1021.6082,1017.1932,1017.79297,1011.3197,1010.2654
1965-05-01,1013.37305,1018.7784,1020.663,1013.27936,1018.9595,1013.87164,1009.2607
1965-06-01,1016.85834,1021.00916,1020.3741,1012.3181,1021.7291,1017.17584,1012.39197
1965-07-01,1018.6333,1021.50336,1026.3456,1018.8243,1023.5754,1017.43823,1012.3578
1965-08-01,1014.3963,1019.6739,1026.3834,1013.44995,1023.05383,1016.779,1011.6062
1965-09-01,1013.1715,1018.24133,1024.7853,1015.75635,1021.56354,1016.66235,1012.50977
1965-10-01,1011.72095,1016.1557,1024.9584,1015.6844,1018.673,1014.90546,1011.8195
1965-11-01,1010.20026,1014.63135,1025.0197,1016.8664,1018.81744,1013.52124,1011.2514
1965-12-01,1007.0957,1012.6729,1019.36444,1012.31195,1013.8357,1012.0266,1009.5758
1966-01-01,1006.90674,1013.58813,1020.5054,1018.8381,1014.91315,1012.60547,1011.2992
1966-02-01,1007.8324,1011.09265,1019.4451,1015.9727,1012.9253,1010.55505,1009.9973
1966-03-01,1010.2621,1014.0506,1020.2056,1016.0616,1017.33344,1010.81165,1009.40594
1966-04-01,1011.56213,1015.55835,1021.07056,1019.31055,1016.2243,1011.77057,1009.7921
1966-05-01,1015.89825,1017.90424,1019.61163,1017.79346,1016.9178,1014.813,1011.71295
1966-06-01,1015.9402,1020.94226,1021.37854,1016.5248,1024.1975,1016.404,1011.28485
1966-07-01,1015.9395,1020.22437,1023.8971,1014.7804,1020.01404,1015.8019,1010.52814
1966-08-01,1015.7111,1018.59015,1023.6311,1020.0072,1021.10126,1016.15607,1010.9199
1966-09-01,1012.39575,1017.19696,1023.83954,1016.5329,1019.7131,1015.8932,1011.7417
1966-10-01,1012.3733,1015.72174,1021.57947,1021.49054,1018.9707,1014.43054,1010.92053
1966-11-01,1008.8514,1013.11993,1017.18506,1014.6039,1015.51276,1012.4727,1009.82275
1966-12-01,1007.92633,1010.7065,1018.2848,1018.06384,1014.07886,1010.13885,1009.0761
1967-01-01,1005.2844,1010.89825,1016.72186,1014.199,1012.573,1010.93024,1010.0516
1967-02-01,1004.7417,1011.2517,1019.6068,1018.58813,1013.8195,1010.12415,1009.2919
1967-03-01,1009.02344,1011.0913,1021.2097,1020.2199,1015.6284,1009.62494,1009.9514
1967-04-01,1013.15784,1013.7441,1019.9319,1016.19653,1016.8329,1010.54065,1009.66046
1967-05-01,1014.0742,1017.3133,1017.7929,1013.35956,1019.4472,1012.6796,1009.2367
1967-06-01,1016.69867,1018.82104,1020.0451,1011.6072,1019.416,1014.86365,1009.8898
1967-07-01,1016.4766,1020.5284,1024.8768,1014.77295,1023.75073,1015.3331,1010.02325
1967-08-01,1014.5785,1020.85846,1026.3011,1015.1314,1025.6749,1016.5296,1011.5528
1967-09-01,1014.3565,1018.3074,1025.6685,1019.3275,1021.6675,1015.5726,1011.7088
1967-10-01,1010.72565,1015.09076,1021.68274,1015.7946,1019.173,1014.78534,1011.883
1967-11-01,1008.70056,1013.1905,1021.5594,1016.3091,1016.9918,1011.5542,1010.7205
1967-12-01,1007.8088,1012.37854,1019.31146,1015.32587,1015.83594,1010.99335,1009.6633
1968-01-01,1004.0994,1009.8321,1020.1395,1012.1928,1012.8018,1009.5008,1009.3884
1968-02-01,1005.8784,1011.48584,1022.3256,1016.68823,1013.7757,1010.22284,1010.7766
1968-03-01,1009.6954,1012.2544,1021.9607,1016.84424,1017.6707,1008.9233,1008.5104
1968-04-01,1011.29047,1014.59436,1021.4183,1012.5979,1015.21545,1011.5645,1009.8242
1968-05-01,1012.6122,1016.47565,1018.41205,1016.41846,1017.6671,1013.4959,1010.2257
1968-06-01,1014.89276,1019.84607,1021.85626,1009.4736,1019.0239,1015.4638,1011.44147
1968-07-01,1016.8592,1021.4219,1024.0366,1015.1833,1022.9453,1017.3122,1011.73553
1968-08-01,1015.0309,1019.8139,1028.6165,1015.31354,1021.4927,1017.44104,1012.7238
1968-09-01,1013.66833,1017.67,1024.9161,1017.01526,1019.67505,1016.1071,1011.6877
1968-10-01,1011.70264,1014.69885,1023.1278,1015.2634,1017.8847,1014.5572,1011.30975
1968-11-01,1009.9945,1014.9579,1019.37524,1015.9168,1019.4869,1013.4559,1011.5545
1968-12-01,1008.20483,1012.215,1019.8211,1017.2886,1013.66766,1011.50226,1010.20276
1969-01-01,1006.6797,1010.4684,1018.5518,1011.8317,1011.1972,1009.57544,1009.2991
1969-02-01,1006.4894,1011.08673,1017.31323,1016.6793,1012.61414,1010.3205,1010.2319
1969-03-01,1010.56134,1013.60626,1019.0173,1017.8486,1017.2365,1011.0736,1010.38226
1969-04-01,1013.9601,1014.68884,1021.5212,1017.7587,1017.0449,1011.3675,1009.74023
1969-05-01,1014.05054,1017.5934,1020.65076,1018.2067,1020.62335,1012.77826,1009.65656
1969-06-01,1016.4153,1019.54205,1019.8808,1013.21936,1019.6131,1015.37213,1011.2508
1969-07-01,1017.5734,1021.4257,1024.5505,1018.7908,1024.9917,1016.5732,1011.0069
1969-08-01,1016.5264,1019.60876,1023.7388,1019.79095,1023.36127,1016.19006,1010.9601
1969-09-01,1013.8072,1017.0817,1027.263,1026.1603,1019.6843,1015.22925,1011.4043
1969-10-01,1011.8579,1013.4434,1021.8569,1021.41455,1016.87085,1013.2107,1010.97186
1969-11-01,1009.2404,1013.34296,1021.6897,1018.3296,1016.89703,1012.1917,1010.8371
1969-12-01,1007.3142,1012.3197,1020.08295,1017.9522,1015.4844,1011.32446,1010.6843
1970-01-01,1008.1939,1011.4447,1019.6761,1017.6202,1015.1602,1010.3211,1010.73883
