,vo500_cluster1,vo500_cluster2,vo500_cluster3,vo500_cluster4,vo500_cluster5,vo500_cluster6,vo500_cluster7
1965-01-01,6.2040755237522735e-06,2.0362161497663085e-05,2.981063362119343e-06,3.7573892811433203e-06,1.0798464101849517e-05,-9.023680882887462e-06,2.97573848229149e-05
1965-02-01,1.0480561425122117e-05,9.611584591409923e-06,2.0819659263732785e-06,5.871760970955846e-06,8.356062991017673e-06,-9.58003281688026e-06,4.304522462916793e-05
1965-03-01,3.738957479596385e-06,1.9069487761418498e-05,1.0323182120005864e-06,4.22085763328129e-06,1.3057344499669087e-05,-7.940723016617654e-06,2.3843031726755726e-05
1965-04-01,3.878832562111064e-06,-3.1779193829838642e-06,9.048728238570782e-06,-1.5197368053037316e-06,3.613150080414734e-06,1.1221579379112694e-06,3.236786199067865e-05
1965-05-01,9.759428086014805e-06,9.621642532817764e-07,1.0998955792487362e-05,-5.744573630505061e-06,-4.5035341444370143e-07,5.903775279654845e-06,1.9922775607028598e-05
1965-06-01,-6.697463170121795e-06,-1.0859676034241976e-07,1.5506310909528266e-05,-7.409406734096049e-06,-1.846372254620196e-06,1.9586513249506025e-05,5.2407926887099165e-06
1965-07-01,-6.397701743141732e-07,1.629682183014594e-05,1.537233556712423e-05,-8.390868408742187e-06,-6.676299634770993e-07,1.4178518353576258e-05,9.333049888482492e-06
1965-08-01,5.284290717993873e-06,1.3770546037666158e-05,1.6920328446158624e-05,-8.218890895825599e-06,-3.6880146581097506e-06,1.318577896174213e-05,-5.3430472490845204e-06
1965-09-01,6.581211327318023e-07,1.0638322745602208e-05,1.542769670313066e-05,-3.1643876434907043e-06,5.206509001709492e-08,1.3852717801515082e-05,2.46347099164268e-05
1965-10-01,1.0175027277987052e-05,9.392263956554006e-06,9.307556885029587e-06,-2.3824289249834033e-06,1.4933932920700356e-06,9.664803248053312e-06,2.4091426098493685e-05
1965-11-01,5.001298792055839e-06,2.5308585749121894e-05,9.976375100024521e-06,-3.609918401489328e-06,3.612510337653045e-08,9.80778134013983e-06,3.922467897155002e-05
1965-12-01,9.652102315898047e-06,1.2504631174534534e-05,8.050465402583484e-06,-1.8042108013410662e-06,4.12567954443052e-06,9.96827443019339e-08,1.1883917494515117e-05
1966-01-01,1.3340443235963102e-05,2.723971495773488e-05,2.1169200331217887e-06,1.064952754169654e-06,1.0983846885593315e-05,-2.8117388359464925e-06,3.9865210510470206e-05
1966-02-01,9.677518453642379e-06,2.0367474016715206e-05,2.9543660643189763e-06,1.4536930692756013e-06,6.6460262659299925e-06,-2.426146155834915e-06,4.134647895170929e-05
1966-03-01,6.438077527213787e-06,1.8565575980270903e-05,4.139034435285523e-06,1.448784697281889e-06,5.622348333800849e-06,2.7870060519013928e-06,4.485818294597266e-05
1966-04-01,1.1594275069216827e-05,1.031427491041398e-05,7.380126202831967e-06,-3.534818836443881e-06,7.020437949808854e-06,1.5341023431446786e-05,1.8820190916812862e-05
