,mgu600_cluster1,mgu600_cluster2,mgu600_cluster3,mgu600_cluster4,mgu600_cluster5,mgu600_cluster6,mgu600_cluster7,mgu600_cluster8,mgu600_cluster9,mgu600_cluster10,mgu600_cluster11
1968-06-01,-0.12836686,1.6676689,1.8682407,1.2701706,0.20203094,0.4139084,-0.39932173,-0.29721183,1.2738174,0.7384712,0.2454277
1968-07-01,-0.1608223,0.8157829,1.8128097,1.347482,0.49632567,0.3555603,-1.3471168,-0.048137285,1.0447998,1.5338322,0.6141159
1968-08-01,0.010211182,0.81359404,2.2876194,0.85370904,0.5200294,0.92008054,-1.6235421,-0.22245292,1.525809,1.0535523,0.34534988
1968-09-01,0.008752441,1.1924942,1.6326592,0.23193474,0.3858284,1.0440705,-1.0251076,0.7683746,0.45985755,1.195776,0.36504173
1968-10-01,0.07840576,1.28731,0.14878806,1.3431059,0.30924606,0.63782007,-0.006929016,0.6330795,0.6031761,0.87960166,0.9036697
1968-11-01,-0.019327546,1.069598,0.3657711,2.057508,-0.012034607,0.6159393,0.5182068,0.39458045,-0.06236,0.02115097,1.1388867
1968-12-01,0.0032821656,1.8766285,-0.22901726,0.86939013,0.05433731,0.7169552,0.6316204,0.6735584,-0.47663346,0.2611088,1.9276832
1969-01-01,0.4023857,0.6432201,0.44716913,0.50090885,0.20235404,0.82998276,0.97428435,0.61071074,-0.38049164,0.55531234,1.2267292
1969-02-01,0.28230017,1.5946152,1.6543262,-1.3760067,0.10880699,0.9115879,1.2433155,-1.6811962,-1.1381581,1.1773018,1.4974191
1969-03-01,-0.08027802,1.651009,1.5329139,-0.6727438,0.15226325,2.0460968,0.39442405,-0.5281105,-0.99087065,1.486804,1.5017315
1969-04-01,0.24581032,1.388944,0.48863488,1.4864721,0.08591767,0.13799858,1.5286014,-0.116104506,0.28628102,-1.3189495,0.5831772
1969-05-01,0.27632943,1.7528492,1.7511909,1.0522404,0.46475068,0.4312462,0.28860322,0.35428524,0.871117,-0.5755474,0.11046524
1969-06-01,0.092552185,1.8726028,2.3688679,0.8465694,0.48432237,-0.1542534,-0.90030897,0.012937546,1.5514905,0.9576977,-0.09686432
1969-07-01,0.07662888,1.2741661,1.419131,1.6573117,0.56194687,0.79050714,-1.283123,0.0043125153,1.2572479,1.2602336,0.98224604
1969-08-01,0.27898255,0.76562726,1.9727844,1.2854446,0.6624603,0.9258522,-1.1902393,-0.264719,0.79183424,1.644043,0.8313099
1969-09-01,0.24780044,1.5621059,2.0849087,1.1590569,0.47470284,0.2133007,-0.65980643,-0.54104805,0.73975295,0.74141157,0.38016015
1969-10-01,0.1280468,1.8659687,1.4161457,1.2970555,0.12937394,0.17614746,0.26206475,-0.4614334,1.0950334,0.1303688,0.36257857
1969-11-01,0.16719094,1.3332138,1.1693405,-0.7981369,0.26239663,0.7258202,0.52512515,-0.70823896,-0.04810047,0.36390534,1.3886125
1969-12-01,-0.0033172606,2.1638598,0.65250856,0.12240753,0.078287505,0.5045582,1.1295326,0.75633925,-1.3269112,-0.77557945,1.6204898
1970-01-01,0.11215172,1.3075473,1.0406463,0.42298087,0.04226456,2.1937776,0.6233231,0.18969269,-0.33911666,1.524196,1.607727
1970-02-01,0.27455482,1.3990654,0.9371475,0.5497753,-0.03960266,0.28919792,1.1245105,0.10749245,0.4076725,-0.81268275,0.95112514
1970-03-01,0.115479276,2.0343692,1.9455131,-0.23894596,0.32613793,0.92849505,1.6223705,-1.5258602,-0.6026894,0.038936805,1.3311758
1970-04-01,0.24593468,1.0200135,0.34211236,0.6595974,0.4892067,0.9028702,0.1973465,-0.06655884,-0.3048393,0.62199175,2.0017555
1970-05-01,-0.0076545714,2.278307,1.6772811,0.24427071,0.4309681,0.13078766,0.2971855,-0.23561783,1.5345128,-0.16606407,-0.22729835
1970-06-01,0.04259796,1.6456658,2.8324094,0.75178146,0.6456207,0.38970146,-0.98340607,-0.4961956,0.65161055,0.930159,0.38071632
1970-07-01,0.18270417,0.68655396,1.8829483,0.6306446,0.641626,1.3075478,-1.5188717,-0.21465187,0.7511158,1.9817879,0.97541887
1970-08-01,0.29019624,0.85461503,1.4469879,0.968763,0.7594353,0.80635947,-1.3964036,-0.4522667,0.6113426,1.378432,1.0725949
1970-09-01,0.15075608,0.96210706,1.4596344,1.3012241,0.49220237,0.44561118,-1.269276,-0.14043923,1.6100569,0.90153885,-0.19867782
1970-10-01,0.15707855,1.560138,1.4270203,-0.029285813,0.25358886,0.5927059,0.11581192,-0.7654263,0.54311943,0.7421303,0.38570824
1970-11-01,0.009318543,1.5634658,0.4259762,0.63031197,-0.101169206,0.32547265,0.38104898,0.46857375,-0.3843769,0.039935302,1.1338288
1970-12-01,0.24693337,1.1344944,0.22862968,0.98939645,0.43196678,1.2040485,1.4922478,-0.54711306,0.047922134,0.4895397,2.1152382
1971-01-01,0.23941383,0.8188408,0.39096642,1.6050193,-0.04703331,1.4662052,0.47000885,0.96647376,0.10615196,0.89429015,1.8692564
1971-02-01,0.23974037,1.8885269,0.68786526,0.7299997,0.08524857,0.4321205,1.2705586,-0.12215652,-0.013064956,-0.68035316,1.553413
1971-03-01,0.17082329,2.0044777,0.50855005,1.3205321,0.22438927,0.7228138,1.1938026,-0.2390873,-0.51312256,-0.45367736,2.0309343
1971-04-01,0.24986573,2.6590276,1.0314715,0.3354408,0.20936432,0.7796459,1.083731,-0.99684966,0.4425726,-0.79140437,1.1990286
1971-05-01,0.26227722,2.4434574,0.76004887,0.6862324,0.431794,0.514756,0.75808907,-0.15645179,-0.471315,-0.6702278,1.0827515
1971-06-01,-0.19923858,1.0945095,2.4245133,1.0807915,0.5751808,0.32956123,-0.79630435,-0.30375823,0.756456,1.1546078,0.66369516
1971-07-01,-0.17376252,0.7904251,1.437136,0.93381155,0.4673954,-0.031355668,-1.1030022,-0.7636417,0.85803545,1.4665318,0.8305992
1971-08-01,0.074143216,1.0282059,1.6367016,0.810022,0.42199555,0.6555298,-1.058255,-0.3916195,0.5996777,1.3087734,0.32498854
1971-09-01,0.035928346,1.5184643,1.943726,0.6525906,0.3331543,1.1039817,-0.9991363,-0.5173691,0.9550419,1.7079052,0.11072502
1971-10-01,0.15514565,0.75155675,0.8283127,0.883185,0.47066194,0.11856346,0.379208,0.029069519,0.48829955,0.445512,0.39325255
1971-11-01,0.12607613,2.010357,0.7855253,-0.4272213,0.08622818,0.38345414,0.89527017,-0.48176688,0.082961656,0.09341393,1.109861
1971-12-01,0.18160172,1.3368629,0.24757919,1.3829167,0.24463959,0.2247158,0.7237938,-0.23647423,1.1931492,-0.10549889,1.6625049
1972-01-01,0.24588814,0.5302229,-0.3015499,1.9160326,0.2639637,0.55231553,1.1990268,0.99531555,0.9634678,-0.17071572,1.4173704
1972-02-01,0.19280815,1.19128,0.48029938,1.8836111,0.06082649,1.0280243,0.67138594,0.55346316,0.36754075,-0.39336318,1.6798998
1972-03-01,0.28663024,1.6572335,0.0553751,-0.13513795,0.08607483,-0.011476899,1.1585716,-0.35950717,-0.34430045,-0.61543715,0.99043787
1972-04-01,-0.1276783,1.6919504,-0.16870728,1.4294212,0.18305321,0.49206313,1.2050518,-0.06972122,0.20256348,-0.7534443,1.0561419
1972-05-01,0.1629692,1.8302443,0.6432682,1.5088974,0.41201323,-0.13571206,0.67827225,0.2731453,-0.20887566,-0.39479828,0.31216583
1972-06-01,0.014059067,1.7820423,2.3366532,-0.06398239,0.5190331,0.460215,-0.39565888,-0.28290042,0.0507843,1.048682,0.3339714
1972-07-01,-0.10874138,0.9347763,1.986901,0.3939373,0.63064384,0.7841446,-1.4133542,-0.21145782,0.68601876,1.322401,0.3170433
1972-08-01,-0.10759392,0.5876061,2.2129922,1.1640228,0.42463723,0.52333677,-0.82947767,-0.5678089,0.9758053,1.4259781,0.9571556
1972-09-01,0.17817536,1.8933662,2.5154023,1.0062183,0.6880272,0.48575097,-0.26138154,-0.59621394,0.799925,0.7319256,0.38877258
1972-10-01,0.25506935,1.4208138,2.3880115,0.3755745,0.51042557,0.48230743,0.25679094,-0.7514359,0.83378124,0.4762825,0.6696644
1972-11-01,-0.18133163,1.0768001,0.122226715,0.6762638,-0.044758987,0.7172928,0.77582395,-0.07660675,-0.73135185,-0.23957595,1.56169
1972-12-01,-0.009181214,0.4085701,-0.6676561,2.1705282,0.01319809,0.36008072,0.46652755,0.8871477,0.70552903,-0.34458733,1.6351407
