,abs_vo1000_cluster1,abs_vo1000_cluster2,abs_vo1000_cluster3,abs_vo1000_cluster4,abs_vo1000_cluster5
1970-01-01,4.139282743272573e-07,4.0254540965808666e-05,-8.38069191523299e-05,8.785477267715562e-05,-4.5818851002712927e-05
1970-02-01,9.290576120860217e-07,4.155467070762489e-05,-8.316338453091087e-05,8.751805935400526e-05,-4.7041428692542164e-05
1970-03-01,3.8179116952526724e-07,4.120351685723311e-05,-8.488699216695551e-05,8.894442476129533e-05,-4.614115623123834e-05
1970-04-01,-4.662017336905944e-07,4.3799267892648784e-05,-8.330323622057694e-05,8.683939419125342e-05,-4.56693093057522e-05
1970-05-01,-1.7327783799048302e-06,4.637950436157858e-05,-8.577983398102305e-05,8.704493004456605e-05,-4.505929044128385e-05
1970-06-01,-2.8870192597419565e-06,4.7729516396050395e-05,-8.492631411081278e-05,8.64992072688378e-05,-4.480789303620333e-05
1970-07-01,-3.5088768820187573e-06,4.906900803336214e-05,-8.415715881027525e-05,8.521048550346731e-05,-4.4461501057935316e-05
1970-08-01,-3.8086481279693844e-06,4.905542690308374e-05,-8.549254724281072e-05,8.441076778549829e-05,-4.506702794955574e-05
1970-09-01,-3.4570567912926494e-06,4.766630643211867e-05,-8.560715549001185e-05,8.532132057242724e-05,-4.447823200072574e-05
1970-10-01,-2.1676568699024197e-06,4.550004138847032e-05,-8.430992135311392e-05,8.559102933371039e-05,-4.489007483422802e-05
1970-11-01,-9.327876094367646e-07,4.2986386011440014e-05,-8.43078299124591e-05,8.593481097715894e-05,-4.547249572649488e-05
1970-12-01,3.5018375151719385e-07,4.234386834446568e-05,-8.383287350986738e-05,8.622491923958179e-05,-4.5839634926026725e-05
1971-01-01,2.740447689366776e-07,4.02281447511958e-05,-8.489059837302193e-05,8.731940667771742e-05,-4.660719868276263e-05
1971-02-01,5.201859901033191e-07,3.961307106630783e-05,-8.276154951654542e-05,8.803916845623488e-05,-4.737025453258988e-05
1971-03-01,2.665357402676835e-07,4.206947494315992e-05,-8.388094804946162e-05,8.705615716727227e-05,-4.622758203948065e-05
1971-04-01,-9.233836284789053e-07,4.219942678319452e-05,-8.480093808179745e-05,8.708751559291836e-05,-4.5859193896043375e-05
1971-05-01,-1.8728300818428235e-06,4.563008795726654e-05,-8.567423568875834e-05,8.625908682508201e-05,-4.461428739514805e-05
1971-06-01,-3.078690735986133e-06,4.684651584183383e-05,-8.506911431081333e-05,8.678334768873713e-05,-4.462130930296266e-05
1971-07-01,-3.650127230032112e-06,4.905714993134802e-05,-8.608002362922281e-05,8.616397941765219e-05,-4.4952514868123755e-05
1971-08-01,-3.674649466261498e-06,4.825134041896654e-05,-8.556577784983303e-05,8.549482317881682e-05,-4.47970960092388e-05
1971-09-01,-3.2818528583815047e-06,4.7033948650764085e-05,-8.497508050183517e-05,8.591981004623476e-05,-4.4040284162801124e-05
1971-10-01,-2.5582220297285547e-06,4.557614908819722e-05,-8.528682033558819e-05,8.546938155152072e-05,-4.4182747377079954e-05
1971-11-01,-9.953060744594222e-07,4.2727399014942194e-05,-8.514274128277554e-05,8.46476525477467e-05,-4.541085418597905e-05
1971-12-01,-9.578715802190094e-09,4.255932197037852e-05,-8.366076692818831e-05,8.544713580857975e-05,-4.607312513237377e-05
1972-01-01,4.0676204015645293e-07,4.197881195970576e-05,-8.386357471486147e-05,8.581598879277759e-05,-4.577633069312992e-05
1972-02-01,2.423195833592075e-08,4.043587604204174e-05,-8.356758780593427e-05,8.80431974853204e-05,-4.678886022351592e-05
1972-03-01,3.576123780384553e-07,4.100196962713835e-05,-8.352596154405968e-05,8.836941560730338e-05,-4.6093424409593536e-05
1972-04-01,-8.491350872186933e-07,4.3631395217377857e-05,-8.400026660546758e-05,8.753801416522656e-05,-4.529195261357662e-05
1972-05-01,-2.0131821934270072e-06,4.672634423294592e-05,-8.533460336028675e-05,8.663994903254292e-05,-4.493919506756814e-05
1972-06-01,-2.960008432449811e-06,4.8220540015285624e-05,-8.606022047427966e-05,8.593386017128284e-05,-4.441868140285204e-05
1972-07-01,-4.120095481910773e-06,4.9511158019964695e-05,-8.564643771794327e-05,8.597138196459166e-05,-4.482742139133927e-05
1972-08-01,-4.0620284432715784e-06,4.990729529755745e-05,-8.644416544984977e-05,8.576624667826778e-05,-4.4332269201223374e-05
1972-09-01,-3.5759207737618276e-06,4.935209010785543e-05,-8.434277198401454e-05,8.639465149837534e-05,-4.440243188353662e-05
1972-10-01,-2.8072753874821167e-06,4.7264849883977444e-05,-8.446878267352482e-05,8.490114829527362e-05,-4.4130041801043434e-05
