,r600_cluster1,r600_cluster2,r600_cluster3,r600_cluster4,r600_cluster5
1970-01-01,28.729501645045296,38.71940074902106,54.154597055751644,29.33693259653419,79.74491056017702
1970-02-01,25.869849726403046,39.51714761446515,54.117656930145124,27.345889377272893,78.96011453926366
1970-03-01,27.822536580702838,41.1063282377716,51.65397190726926,30.28973768857192,81.85330007559438
1970-04-01,25.196163382084723,52.811445486603525,45.758955574890955,30.07112098462654,80.55769327867071
1970-05-01,22.77581980484167,63.34060223794254,36.75226416823041,35.30053315339265,73.4720559611273
1970-06-01,19.29124465863185,69.31536781150287,31.932513061660288,38.348754214919374,69.69325391953174
1970-07-01,15.61228366871606,75.30461254150786,28.376471835936133,42.47820202349011,64.67684305387479
1970-08-01,17.029032410222353,77.64649352532732,28.075554766462524,43.74753213490701,67.24951195954485
1970-09-01,18.500875684216773,76.3559900960814,31.565110245093102,41.1757803766013,72.3634029147633
1970-10-01,20.425894433651827,67.71919769831183,38.07637873251876,34.48929770627006,77.90735377821812
1970-11-01,24.28268825306612,55.57850199348536,44.0898228119307,31.14406431564177,76.17771871066174
1970-12-01,24.69297742348641,46.142761749811655,50.511003502815825,30.374512720589685,81.23905397332784
1971-01-01,28.59049536365126,38.582753903282324,52.597779757238825,30.027615454060463,80.27402364534397
1971-02-01,29.137457118314853,39.06421939596365,55.4768344212006,29.439370254876238,81.31593089563111
1971-03-01,28.291509390702295,46.58901641202707,55.010695093950346,30.15193399756846,80.07412780558944
1971-04-01,28.888834554018857,53.65348210017917,48.36049357871838,33.33354577472314,75.94810435146194
1971-05-01,23.87930711660418,64.3561655350597,39.68347947159155,37.14646978410406,74.59705327436377
1971-06-01,20.669380026292636,71.49092490321426,33.83667030676598,40.12865471117424,71.9685019052702
1971-07-01,19.901113691626946,75.57419169470789,31.379482671284354,43.42636622162379,69.74092971446903
1971-08-01,19.59777942578273,74.97962630162169,29.24322269422591,43.89547457197298,69.36046752422752
1971-09-01,20.085685970873982,73.40623926691336,33.046090335589355,41.7137214069816,70.35485074369615
1971-10-01,21.349083181071034,68.39257523151812,38.23113933272426,35.04716622709024,77.28834120538149
1971-11-01,25.346879810610442,53.75026103163461,45.52216679526017,32.67306279654455,77.933002231129
1971-12-01,25.481954495387093,47.014994134392886,50.65049398105776,31.3959074180937,76.97141780409703
1972-01-01,27.870541707867154,41.724136698767666,54.145285259982394,30.810788087170533,80.8156637654352
1972-02-01,30.158680945531717,38.09897300683119,55.5943527563805,30.793674867161197,77.93364097113626
1972-03-01,30.78204422261063,40.653196300834274,52.6508049045443,31.16227737580887,77.66845044107532
1972-04-01,28.694458238806277,53.95179451767784,45.79592093223948,32.625048602068865,75.2769863090642
1972-05-01,23.599479602694924,63.40179443359375,39.03095668741406,35.587661691787666,74.07765119178747
1972-06-01,22.86988104915949,69.42294412918956,31.40102886832883,41.02554860741201,66.54830565088216
1972-07-01,20.333323841688955,76.98439438880166,29.67328234103763,43.666264440876866,66.60532523627298
1972-08-01,21.996669785786665,73.27567646144082,31.21658932467747,45.4237622604627,67.83284539004102
1972-09-01,20.815645534686976,73.70698455860008,34.646133457064096,41.304836080531885,71.74628438347598
1972-10-01,23.71182524209204,68.97113497098802,40.54149063178777,37.383142850214384,68.4944133821912
1972-11-01,23.730640097885395,60.57981926965945,46.44647606819734,32.710087066547636,77.03968314237373
1972-12-01,27.953543382532455,48.47721551187228,53.38681096987874,31.605516041970816,79.17737485562449
1973-01-01,29.43208522862629,35.164191927670274,56.96764847622859,28.586400157273417,76.07632063551995
1973-02-01,28.648203714496123,37.23915322673186,57.18126168700077,29.016113666572956,77.01727844947993
1973-03-01,28.9959722736715,40.12006731821614,54.17740911646274,29.37051728116944,80.19177066131289
1973-04-01,24.941302335798532,50.66711450511865,48.617655493218805,30.891614072651976,80.17064154742168
1973-05-01,22.69769424385678,66.38973180440102,40.118131295447924,36.542148654308384,77.24242416331143
1973-06-01,18.652305141039786,70.36940205232445,33.49971364966422,39.28894312694819,71.97481263119518
1973-07-01,18.383976291207706,76.211231917964,30.745292672127352,42.0008896336411,67.22956622557783
